matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_M3WEArVO,01.09. 02:00,SESI Araraquara W,Sampaio W,74,62,17,14,27,16,,14,15,14,19,
g_3_CEz0ewQN,26.08. 02:00,Sampaio W,SESI Araraquara W,80,52,25,18,16,21,,9,8,25,10,
g_3_02u9zgVa,24.08. 02:00,Sampaio W,SESI Araraquara W,56,70,16,15,8,17,,22,20,15,13,
g_3_MBt5yZFg,18.08. 02:00,SESI Araraquara W,Sampaio W,51,59,7,12,17,15,,20,12,14,13,
g_3_4zn0xF0m,16.08. 02:00,SESI Araraquara W,Sampaio W,62,57,19,13,22,8,,9,18,13,17,
g_3_fDdhZsPh,11.08. 02:00,SESI Araraquara W,Santo Andre W,73,64,4,22,25,22,,9,21,20,14,
g_3_GKhWsVo5,10.08. 00:30,Sampaio W,Campinas W,72,56,22,21,12,17,,20,10,13,13,
g_3_6iAy1Ge9,09.08. 02:00,SESI Araraquara W,Santo Andre W,58,68,16,15,10,17,,13,21,12,22,
g_3_KzCT2xRd,08.08. 00:30,Sampaio W,Campinas W,68,49,22,17,19,10,,17,6,11,15,
g_3_bRAX1dt3,05.08. 02:00,Santo Andre W,SESI Araraquara W,67,85,12,18,19,18,,18,19,30,18,
g_3_IVXpvgld,04.08. 00:30,Campinas W,Sampaio W,79,68,21,18,14,26,,18,8,27,15,
g_3_x2LEsyQ9,25.07. 00:30,Sampaio W,Sodie Mesquita W,74,50,26,15,18,15,,15,13,13,9,
g_3_r3S5qcec,23.07. 22:00,Campinas W,Catanduva W,85,73,30,22,19,14,,16,20,13,24,
g_3_OOOJqfH8,22.07. 23:00,SESI Araraquara W,Ituano W,86,63,27,23,21,15,,24,22,8,9,
g_3_AFJMuFfM,21.07. 00:30,SESI Araraquara W,Ituano W,55,69,12,14,10,19,,17,14,18,20,
g_3_GdzKLg3j,20.07. 00:30,Santo Andre W,Blumenau W,53,48,14,15,8,16,,10,20,4,14,
g_3_QRHArHA3,18.07. 00:30,Sodie Mesquita W,Sampaio W,67,78,20,16,12,19,,23,16,22,17,
g_3_4CT1pwti,16.07. 22:00,Catanduva W,Campinas W,72,86,26,19,16,11,,26,22,14,24,
g_3_WOKIteuG,15.07. 23:00,Ituano W,SESI Araraquara W,78,92,21,17,21,19,,24,25,22,21,
g_3_x6yGMZmp,15.07. 00:30,Blumenau W,Santo Andre W,63,64,11,18,15,19,,22,11,13,18,
g_3_fB7NJwds,16.06. 00:30,Santo Andre W,Campinas W,75,74,32,15,16,12,,20,23,13,18,
g_3_lUUfOJmQ,15.06. 00:30,Sodie Mesquita W,SESI Araraquara W,61,68,14,21,19,7,,20,16,17,15,
g_3_zRQjPaYJ,14.06. 00:30,Ituano W,Blumenau W,70,71,17,17,20,16,,16,17,13,25,
g_3_MNx90GeJ,13.06. 00:30,Catanduva W,Sampaio W,51,81,9,15,18,9,,21,22,25,13,
g_3_rXw51dtD,11.06. 22:00,Campinas W,Blumenau W,76,56,25,23,19,9,,17,19,7,13,
g_3_2LM72xR6,10.06. 23:00,SESI Araraquara W,Sampaio W,67,54,22,7,15,23,,17,11,7,19,
g_3_OUN33IB0,10.06. 00:30,Ituano W,Sodie Mesquita W,79,63,24,20,14,21,,19,18,10,16,
g_3_U7Oa4bdf,09.06. 00:30,Catanduva W,Santo Andre W,78,58,30,22,17,9,,19,19,11,9,
g_3_G4Ke5vsl,08.06. 00:30,Campinas W,Sodie Mesquita W,75,59,22,19,16,18,,12,16,18,13,
g_3_lj4FP8S2,03.06. 00:30,Campinas W,Ituano W,81,52,20,19,19,23,,17,14,12,9,
g_3_YuVj6KRs,27.05. 22:30,Sampaio W,Ituano W,65,38,17,16,12,20,,14,11,11,2,
g_3_dG7NNncF,25.05. 00:30,Blumenau W,Catanduva W,76,69,15,20,21,20,,13,17,18,21,
g_3_St3JOSs9,24.05. 00:30,SESI Araraquara W,Santo Andre W,77,41,18,22,26,11,,16,7,8,10,
g_3_noQW0Pk2,20.05. 00:30,Catanduva W,SESI Araraquara W,71,91,14,17,19,21,,24,26,17,24,
g_3_zBMS15zd,19.05. 00:30,Santo Andre W,Blumenau W,77,69,18,23,15,21,,11,16,21,21,
g_3_tlNO2oLk,17.05. 00:30,Sodie Mesquita W,Sampaio W,71,84,27,20,7,17,,8,21,32,23,
g_3_2cOK3R5q,16.05. 00:30,Catanduva W,Campinas W,71,86,17,16,12,26,,26,15,20,25,
g_3_M3th87cS,14.05. 22:00,Santo Andre W,Sampaio W,77,69,19,18,23,17,,19,18,10,22,
g_3_rDsl9mrM,14.05. 00:00,SESI Araraquara W,Ituano W,79,58,14,19,22,24,,10,9,18,21,
g_3_ljrpATSF,12.05. 00:30,Blumenau W,Sodie Mesquita W,91,74,28,17,28,18,,25,15,15,19,
g_3_zmvtB9D9,09.05. 00:30,Campinas W,SESI Araraquara W,65,59,12,14,18,21,,19,19,11,10,
g_3_hOlyCkb3,07.05. 16:00AOT,Sodie Mesquita W,Catanduva W,71,73,19,12,20,12,8,8,18,16,21,10
g_3_EXkXCVrc,06.05. 22:30,Sampaio W,Blumenau W,70,77,15,19,22,14,,15,12,20,30,
g_3_0Gnjln6d,06.05. 00:30,Ituano W,Santo Andre W,77,74,17,24,19,17,,16,21,25,12,
g_3_MPmnkSjj,01.05. 23:00,Blumenau W,SESI Araraquara W,54,73,18,10,14,12,,18,17,25,13,
g_3_v1bsj8yp,01.05. 21:00,Ituano W,Catanduva W,72,68,15,20,19,18,,21,17,16,14,
