matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_Qm9ADbpT,20.07. 16:00,Corinthians W,Campinas W,52,68,11,16,16,9,,22,15,17,14,
g_3_Gddj6dXR,20.07. 00:30AOT,Ourinhos W,Sao Jose W,71,74,20,14,14,14,9,14,18,16,14,12
g_3_8S2TTJU9,19.07. 00:30,Sampaio W,Cerrado W,71,58,18,12,21,20,,14,11,17,16,
g_3_0tOpJ2Gi,18.07. 01:00,SESI Araraquara W,Sodie Mesquita W,67,53,14,19,15,19,,10,12,5,26,
g_3_fPzHKFid,18.07. 00:30,Ourinhos W,Sao Jose W,67,51,10,20,16,21,,15,9,15,12,
g_3_ULF1FKFG,13.07. 16:00,Campinas W,Corinthians W,73,57,19,18,14,22,,13,14,10,20,
g_3_02aLVu0c,12.07. 23:00,Cerrado W,Sampaio W,65,87,24,13,8,20,,23,22,18,24,
g_3_lhHaeaOp,12.07. 00:30,Sodie Mesquita W,SESI Araraquara W,54,77,16,13,15,10,,20,16,19,22,
g_3_0Qs8MyNq,11.07. 00:30,Sao Jose W,Ourinhos W,80,67,20,13,25,22,,22,15,18,12,
g_3_Emrusbqh,15.06. 21:30,Ourinhos W,Blumenau W,69,57,22,19,12,16,,25,7,11,14,
g_3_nsjgJfio,15.06. 20:00,Corinthians W,Sodie Mesquita W,70,62,21,16,16,17,,19,13,15,15,
g_3_Sd9MOGTN,15.06. 16:00,SESI Araraquara W,Sampaio W,70,74,12,18,12,28,,18,28,11,17,
g_3_fqBEQxaB,14.06. 23:00AOT,Sao Jose W,Cerrado W,79,73,15,10,19,18,17,13,14,15,20,11
g_3_EZ26SbUb,14.06. 00:30,Campinas W,Sodie Mesquita W,57,62,15,14,16,12,,15,16,14,17,
g_3_69abUKan,14.06. 00:30,SESI Araraquara W,Santo Andre W,78,50,20,27,20,11,,16,10,9,15,
g_3_2eZmAHEU,13.06. 00:30,Corinthians W,Cerrado W,64,70,17,14,18,15,,18,16,17,19,
g_3_fVVuCwpI,11.06. 00:30,Blumenau W,SESI Araraquara W,53,66,8,19,18,8,,23,13,11,19,
g_3_zTFvEaF5,11.06. 00:30,Sampaio W,Ourinhos W,77,64,21,25,20,11,,16,17,16,15,
g_3_2FHWFLpg,10.06. 00:30,Santo Andre W,Corinthians W,35,84,13,4,13,5,,23,18,23,20,
g_3_6mONHsGt,08.06. 16:00,Cerrado W,Ourinhos W,64,55,22,10,15,17,,14,9,20,12,
g_3_t87CAQ8D,08.06. 01:30,Corinthians W,Blumenau W,74,28,11,24,15,24,,10,4,8,6,
g_3_EeGeE89l,08.06. 00:00,Sao Jose W,Sampaio W,76,93,24,16,17,19,,22,20,27,24,
g_3_KhJ3Cnv1,07.06. 22:00,Campinas W,SESI Araraquara W,78,68,17,24,16,21,,14,24,11,19,
g_3_fBZOJUoR,07.06. 00:30,Santo Andre W,Maringa W,80,60,16,25,15,24,,16,16,15,13,
g_3_McyHLjHE,06.06. 00:30AOT,Corinthians W,Sampaio W,88,90,20,17,19,21,11,25,27,16,9,13
g_3_6kgUcmP7,05.06. 00:45,Campinas W,Maringa W,72,50,13,24,20,15,,21,5,11,13,
