matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_8nqnTNKi,17.06. 19:30,Bauru,Paulistano,92,73,19,25,23,25,,16,21,16,20,
g_3_CS5mFB35,10.06. 19:00,Paulistano,Bauru,64,81,19,14,17,14,,17,21,22,21,
g_3_Ym31SUWI,04.06. 19:35,Bauru,Paulistano,90,79,23,18,22,27,,22,17,9,31,
g_3_KpacTAHC,03.06. 00:30,Bauru,Paulistano,74,78,15,25,14,20,,20,16,20,22,
g_3_QNagUj26,27.05. 19:00,Paulistano,Bauru,82,78,20,21,25,16,,19,15,16,28,
g_3_C8suvxa6,24.05. 00:30,Bauru,Pinheiros,66,60,11,23,15,17,,17,9,16,18,
g_3_QJm9lFRn,20.05. 19:00,Pinheiros,Bauru,72,76,17,19,18,18,,22,12,16,26,
g_3_tCsasCf4,16.05. 00:30,Bauru,Pinheiros,94,77,18,16,34,26,,17,29,17,14,
g_3_bmx4tW9A,14.05. 16:00,Paulistano,Universo/Vitoria,70,67,23,12,11,24,,16,12,15,24,
g_3_8bqiqYPi,13.05. 19:00,Bauru,Pinheiros,83,89,24,16,17,26,,18,17,29,25,
g_3_2Lrerhub,13.05. 00:30,Paulistano,Universo/Vitoria,82,72,20,18,26,18,,20,18,14,20,
g_3_feumpEAo,10.05. 00:30,Universo/Vitoria,Paulistano,84,93,21,19,27,17,,28,15,19,31,
g_3_hj14LUXp,09.05. 00:30,Pinheiros,Bauru,98,86,24,26,23,25,,27,22,9,28,
g_3_fmFDBJ9R,06.05. 23:00,Franca,Paulistano,67,80,25,12,13,17,,14,23,21,22,
g_3_QDA9CafL,06.05. 19:00,Mogi,Universo/Vitoria,85,95,26,17,14,28,,24,17,30,24,
g_3_nNB5DuuF,06.05. 00:30,Flamengo,Pinheiros,75,78,23,21,17,14,,21,20,24,13,
g_3_rFxfY526,03.05. 02:30AOT,Universo/Vitoria,Mogi,82,80,20,23,9,19,11,17,14,23,17,9
g_3_Crd0Glae,03.05. 00:30,Paulistano,Franca,87,105,9,24,19,35,,33,26,20,26,
g_3_YicdHUqk,02.05. 00:00,Pinheiros,Flamengo,102,98,18,27,31,26,,23,21,28,26,
g_3_xS80XjGk,30.04. 23:30,Bauru,Lobos Brasilia,80,78,20,19,24,17,,22,13,21,22,
g_3_n39Sioz3,29.04. 19:00,Mogi,Universo/Vitoria,88,69,24,26,17,21,,15,13,19,22,
g_3_tQ8Wj5k9,29.04. 00:30,Franca,Paulistano,66,69,15,19,17,15,,21,7,15,26,
g_3_URvrpZGd,28.04. 01:00,Mogi,Universo/Vitoria,83,87,17,20,23,23,,17,21,23,26,
g_3_vsKAQU7g,27.04. 00:30,Flamengo,Pinheiros,79,90,19,26,17,17,,27,20,25,18,
g_3_hpOEPlNa,26.04. 02:30,Lobos Brasilia,Bauru,76,85,14,22,18,22,,25,15,20,25,
g_3_Ya5OhRKd,26.04. 00:30,Franca,Paulistano,92,79,20,18,21,33,,19,26,15,19,
g_3_IRV1Sjws,25.04. 00:30,Flamengo,Pinheiros,83,73,27,15,20,21,,22,14,16,21,
g_3_dIU5RAhm,23.04. 23:00,Lobos Brasilia,Bauru,73,77,19,16,23,15,,19,22,18,18,
g_3_d0Rznenp,23.04. 00:00,Universo/Vitoria,Mogi,83,89,12,21,22,28,,17,16,26,30,
g_3_jytvoF1j,22.04. 19:00,Paulistano,Franca,80,65,10,20,17,33,,16,24,11,14,
g_3_nquWXCFJ,22.04. 02:00,Pinheiros,Flamengo,85,96,26,21,23,15,,29,22,16,29,
g_3_QZwzXWUP,21.04. 01:00AOT,Bauru,Lobos Brasilia,87,88,12,28,16,18,13,17,21,17,19,14
g_3_MPgaIbJ9,19.04. 02:30,Universo/Vitoria,Campo Mourao,73,60,15,27,24,7,,12,16,15,17,
g_3_rup40VUB,19.04. 00:30,Paulistano,Cearense,76,72,17,21,16,22,,26,14,17,15,
g_3_QaeiQF93,18.04. 00:30,Pinheiros,Vasco,93,82,22,21,30,20,,23,14,23,22,
g_3_A1fQ6P3b,16.04. 16:00,Campo Mourao,Universo/Vitoria,68,66,12,15,18,23,,15,14,19,18,
g_3_CYrU1e1e,16.04. 00:00,Vasco,Pinheiros,79,73,17,18,24,20,,15,16,18,24,
g_3_6erY0FG1,15.04. 19:00,Cearense,Paulistano,67,82,17,9,21,20,,18,21,25,18,
g_3_Ucme63jN,14.04. 01:00,Universo/Vitoria,Campo Mourao,72,81,17,21,17,17,,21,24,16,20,
g_3_zHouAoib,12.04. 02:00,Universo/Vitoria,Campo Mourao,82,80,25,21,9,27,,22,19,22,17,
g_3_r1ia5N5T,12.04. 00:00,Paulistano,Cearense,81,85,25,26,15,15,,19,21,27,18,
g_3_nZcj7qyH,11.04. 01:15,Bauru,Macae,93,83,22,23,24,24,,24,13,17,29,
g_3_E7pq9564,10.04. 00:00,Paulistano,Cearense,83,75,21,15,23,24,,14,16,23,22,
g_3_8ran8PLA,09.04. 21:00,Pinheiros,Vasco,81,78,24,20,16,21,,18,18,17,25,
g_3_hhdzBRyh,08.04. 19:00,Bauru,Macae,91,79,23,24,21,23,,19,23,19,18,
g_3_vkhWB7Mo,08.04. 02:30,Pinheiros,Vasco,80,85,8,22,32,18,,18,17,17,33,
g_3_OxIMi4yU,08.04. 00:30,Campo Mourao,Universo/Vitoria,63,85,17,17,8,21,,22,23,24,16,
g_3_Qo4lmOqo,07.04. 01:30AOT,Cearense,Paulistano,87,84,14,18,23,20,12,20,21,15,19,9
g_3_61NHhpMN,06.04. 00:00,Macae,Bauru,70,80,15,22,19,14,,24,12,19,25,
g_3_SAODgQ6H,05.04. 00:30,Vasco,Pinheiros,74,83,9,24,17,24,,16,20,31,16,
g_3_OOtJdtu9,01.04. 19:00,Bauru,Campo Mourao,83,54,20,17,24,22,,17,14,17,6,
g_3_dbnLyu3q,01.04. 19:00,Flamengo,Lobos Brasilia,71,77,20,18,17,16,,20,18,18,21,
g_3_tSkCZ9wD,01.04. 19:00,Franca,Mogi,82,78,18,17,24,23,,20,19,20,19,
g_3_vJagtLfS,01.04. 19:00,Macae,Minas,99,65,27,15,28,29,,15,16,19,15,
g_3_Cnbewhvl,01.04. 19:00,Paulistano,Universo/Vitoria,83,66,21,21,19,22,,18,14,15,19,
g_3_8Ei4yW80,01.04. 19:00,Pinheiros,Vasco,72,81,19,17,15,21,,16,16,25,24,
g_3_jwcaxCgf,01.04. 19:00,Sorocabana,Cearense,63,65,13,17,23,10,,13,18,15,19,
g_3_0S0ks1uM,31.03. 01:10,Franca,Campo Mourao,61,42,15,19,16,11,,8,7,13,14,
g_3_A1jPzaIk,31.03. 01:00,Sorocabana,Universo/Vitoria,62,69,14,22,9,17,,12,18,19,20,
g_3_ri6prsQF,31.03. 00:30AOT,Bauru,Mogi,80,87,9,13,24,28,6,17,13,24,20,13
g_3_hQuUZIXe,31.03. 00:30,Paulistano,Cearense,79,67,25,13,21,20,,12,25,11,19,
g_3_WGvYYxm2,31.03. 00:30,Pinheiros,Caxias do Sul,95,69,24,26,26,19,,20,16,19,14,
g_3_6mWNe0fF,30.03. 01:00,Flamengo,Minas,108,74,24,28,30,26,,17,14,20,23,
g_3_IPbivYOs,30.03. 00:30,Macae,Lobos Brasilia,87,74,22,17,27,21,,19,11,20,24,
g_3_407tqNA9,25.03. 21:00,Minas,Franca,80,84,23,17,21,19,,17,19,17,31,
g_3_Aw8xp3e3,25.03. 18:00,Lobos Brasilia,Bauru,92,89,24,24,23,21,,28,19,18,24,
g_3_lYMsOLYq,25.03. 00:15,Vasco,Paulistano,67,82,14,18,18,17,,14,26,19,23,
g_3_dbQkMa3d,25.03. 00:05,Caxias do Sul,Sorocabana,59,67,16,18,14,11,,15,19,13,20,
