matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_Gtp3Sq0d,18.06. 23:30,Franca,Minas,86,73,23,22,20,21,,21,21,27,4,
g_3_hKO3tTpf,14.06. 22:00,Minas,Franca,73,83,17,16,16,24,,24,14,20,25,
g_3_nNLerkGs,13.06. 00:30,Minas,Franca,78,94,17,19,13,29,,30,17,29,18,
g_3_hM3N0cW8,07.06. 22:00,Franca,Minas,65,69,23,18,11,13,,19,19,15,16,
g_3_UHBp3QL8,04.06. 01:00AOT,Flamengo,Franca,95,98,27,20,24,15,9,31,7,28,20,12
g_3_EkZtiq1K,01.06. 16:00,Franca,Flamengo,102,86,27,27,20,28,,14,31,14,27,
g_3_8jPEeJRk,30.05. 01:00,Flamengo,Franca,86,75,24,19,17,26,,25,14,22,14,
g_3_xWb9zeeA,29.05. 00:00,Minas,Bauru,70,65,18,24,9,19,,11,16,20,18,
g_3_l6rr1u4S,28.05. 01:00,Flamengo,Franca,78,85,21,15,23,19,,26,14,24,21,
g_3_t450xHQc,27.05. 00:00,Minas,Bauru,73,69,19,16,15,23,,13,19,24,13,
g_3_Ghpz31ZF,24.05. 22:00,Franca,Flamengo,93,107,25,23,27,18,,26,33,21,27,
g_3_EcDEEDYj,24.05. 01:00,Bauru,Minas,59,74,17,13,18,11,,18,18,23,15,
g_3_EqOlDf16,22.05. 00:00,Franca,Pinheiros,83,58,18,14,28,23,,12,18,9,19,
g_3_S6xK3VGt,18.05. 16:00,Pinheiros,Franca,72,66,11,25,19,17,,13,22,17,14,
g_3_8GpS19og,18.05. 15:00,Corinthians Paulista,Flamengo,78,80,23,15,20,20,,24,24,14,18,
g_3_WrkYRaUI,16.05. 01:00,Franca,Pinheiros,92,69,23,19,24,26,,15,22,11,21,
g_3_xn9hXZl1,15.05. 23:30,Flamengo,Corinthians Paulista,85,82,22,17,25,21,,25,20,22,15,
g_3_8448X30s,15.05. 02:00,Bauru,Sao Paulo,89,85,24,26,24,15,,24,28,17,16,
g_3_lMz5tvSE,15.05. 00:00,Minas,Vasco,83,63,23,20,17,23,,17,25,10,11,
g_3_tKFqZeKl,14.05. 01:15,Flamengo,Corinthians Paulista,73,90,22,16,14,21,,26,22,24,18,
g_3_xpdPTLa6,14.05. 00:00,Franca,Pinheiros,70,71,19,22,18,11,,17,22,13,19,
g_3_xMDxwQxK,13.05. 00:30,Bauru,Sao Paulo,84,67,23,23,17,21,,16,15,16,20,
g_3_OrqJIzz8,13.05. 00:00,Minas,Vasco,86,76,18,20,20,28,,11,16,30,19,
g_3_UJhHVsVg,10.05. 20:00,Pinheiros,Franca,76,89,17,24,23,12,,21,25,15,28,
g_3_AyPDvIdR,10.05. 16:00,Corinthians Paulista,Flamengo,88,94,21,29,17,21,,25,18,28,23,
g_3_Aa70VDJD,10.05. 01:30,Sao Paulo,Bauru,85,96,24,17,19,25,,20,26,19,31,
g_3_SGkAKd5e,10.05. 01:00,Vasco,Minas,86,90,13,27,20,26,,25,14,25,26,
g_3_lhu6xhFk,04.05. 16:00,Pinheiros,Unifacisa,72,58,19,24,10,19,,15,11,8,24,
g_3_vFyR3TVN,03.05. 23:30AOT,Sao Paulo,Brasilia,78,77,14,12,16,20,16,19,18,11,14,15
g_3_AZqA7BWb,03.05. 23:00AOT,Bauru,Paulistano,85,80,25,15,17,12,16,28,8,14,19,11
g_3_dQzjsXn1,03.05. 16:00,Corinthians Paulista,Uniao Corinthians,79,72,8,33,19,19,,26,10,26,10,
g_3_zNhS4Vkg,03.05. 01:00,Caxias do Sul,Flamengo,63,86,15,13,21,14,,20,20,23,23,
g_3_4jvbuBHD,03.05. 00:30,Sao Jose,Vasco,83,88,28,19,18,18,,29,25,20,14,
g_3_42pq1mkI,02.05. 00:30,Unifacisa,Pinheiros,86,79,21,14,22,29,,15,23,13,28,
g_3_veaJ6iLt,02.05. 00:00,Franca,Pato,101,82,31,24,20,26,,24,27,11,20,
g_3_EgPphh6m,01.05. 23:00,Minas,Mogi,76,57,17,21,18,20,,22,12,13,10,
g_3_OrP9nlzP,01.05. 01:15,Brasilia,Sao Paulo,86,81,19,20,20,27,,22,21,16,22,
g_3_rmdz39K5,01.05. 00:30,Paulistano,Bauru,54,84,12,14,12,16,,23,20,21,20,
g_3_rZG1lA5C,01.05. 00:30,Uniao Corinthians,Corinthians Paulista,80,92,12,24,16,28,,29,26,17,20,
g_3_OWvT2QE7,30.04. 02:00,Flamengo,Caxias do Sul,80,77,22,26,13,19,,19,14,19,25,
g_3_AyuusEiT,30.04. 01:00,Franca,Pato,84,65,23,25,17,19,,11,20,19,15,
g_3_nZRlWdwB,30.04. 00:00,Minas,Mogi,88,65,22,23,24,19,,21,14,13,17,
g_3_ShmOpdh4,29.04. 01:15,Brasilia,Sao Paulo,54,69,13,9,12,20,,24,17,9,19,
g_3_jgLfyqL7,29.04. 01:00,Uniao Corinthians,Corinthians Paulista,93,71,25,27,21,20,,22,19,10,20,
g_3_z9DgjWz0,29.04. 00:30,Vasco,Sao Jose,78,81,17,17,21,23,,17,20,23,21,
g_3_fiavYOxh,27.04. 23:00,Bauru,Paulistano,60,62,16,21,13,10,,21,10,14,17,
g_3_vX6TOEVp,27.04. 16:00,Flamengo,Caxias do Sul,76,78,9,25,22,20,,16,18,22,22,
g_3_OWjeUtxH,27.04. 16:00,Pinheiros,Unifacisa,77,76,21,13,27,16,,23,14,22,17,
g_3_6PJtYI8b,26.04. 23:00,Mogi,Minas,72,85,20,15,14,23,,22,17,22,24,
g_3_n1OwuRLr,26.04. 22:00,Vasco,Sao Jose,89,83,25,24,23,17,,19,18,25,21,
g_3_fRRow5je,26.04. 01:00,Corinthians Paulista,Uniao Corinthians,97,93,32,25,22,18,,19,24,30,20,
g_3_l0wscQsR,26.04. 01:00,Pinheiros,Unifacisa,77,83,15,32,14,16,,24,17,25,17,
g_3_SCB5cZyA,26.04. 00:30,Bauru,Paulistano,81,63,18,20,21,22,,12,18,16,17,
g_3_6waFnINi,25.04. 01:00,Sao Paulo,Brasilia,66,62,17,16,16,17,,15,16,16,15,
g_3_E9oWrzNG,25.04. 00:30,Pato,Franca,91,96,18,31,18,24,,29,22,18,27,
