matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_zqG22HFT,03.03. 16:30,Rilski Sportist,Levski,89,80,27,17,23,22,,22,23,15,20,
g_3_2m7gYZDI,17.02. 17:00,Academic Plovdiv,Rilski Sportist,70,83,17,19,20,14,,24,26,13,20,
g_3_KOHlZFbC,17.02. 17:00,Balkan,Levski,87,80,23,20,21,23,,18,12,32,18,
g_3_CbEtyxUa,14.02. 17:00,Levski,Balkan,73,62,8,24,19,22,,13,9,23,17,
g_3_6LDpzdq6,14.02. 17:00,Rilski Sportist,Academic Plovdiv,86,98,18,24,24,20,,26,28,14,30,
g_3_4UW4PLhl,17.01. 17:00,Balkan,Academic,94,61,23,20,24,27,,18,14,16,13,
g_3_ptl2Ou8f,17.01. 17:00,Beroe,Academic Plovdiv,79,81,31,15,14,19,,26,22,17,16,
g_3_OWn6NaN0,17.01. 17:00,Cherno More,Levski,63,70,15,19,17,12,,16,21,18,15,
g_3_QwY0Q1wr,17.01. 17:00,Rilski Sportist,Yambol,106,74,26,22,30,28,,17,15,19,23,
g_3_8boZUsVQ,10.01. 17:30,Levski,Cherno More,83,63,22,12,27,22,,20,19,16,8,
g_3_CWiQW30E,10.01. 17:00,Academic,Balkan,54,83,15,15,9,15,,24,17,24,18,
g_3_fesVVNFK,10.01. 17:00,Academic Plovdiv,Beroe,84,78,27,16,13,28,,20,18,19,21,
g_3_YugMXqo8,10.01. 17:00,Yambol,Rilski Sportist,77,83,22,18,23,14,,25,16,19,23,
