matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_lO5b7rY2,01.06. 17:00,Academic,Balkan,87,77,20,19,29,19,,13,19,20,25,
g_3_KWaabZrF,29.05. 19:30,Balkan,Academic,78,80,16,19,19,24,,16,17,21,26,
g_3_f5lTpjq3,27.05. 18:00,Balkan,Academic,82,78,25,20,23,14,,24,17,20,17,
g_3_GEkPoWTd,26.05. 17:00,Cherno More,Rilski Sportist,92,88,23,28,20,21,,15,25,21,27,
g_3_2B1sNnid,25.05. 17:00,Academic,Balkan,80,88,14,26,21,19,,26,21,19,22,
g_3_8C8YO8Mq,23.05. 17:00,Academic,Balkan,82,81,31,22,14,15,,13,16,31,21,
g_3_jybwOSyj,23.05. 17:00,Rilski Sportist,Cherno More,79,93,16,20,20,23,,27,22,23,21,
g_3_buACRgnI,19.05. 18:00,Balkan,Rilski Sportist,84,65,16,27,17,24,,23,17,15,10,
g_3_O86Fmxs2,16.05. 17:00,Rilski Sportist,Balkan,85,68,17,21,22,25,,16,26,12,14,
g_3_dC1OX1r3,15.05. 17:00,Cherno More,Academic,81,83,17,24,12,28,,20,19,22,22,
g_3_KMhXhN46,14.05. 17:00,Rilski Sportist,Balkan,80,85,19,19,19,23,,23,23,17,22,
g_3_nNmZjVbD,13.05. 17:00,Cherno More,Academic,91,65,27,26,16,22,,21,10,18,16,
g_3_tWgTg3k0,11.05. 18:00,Balkan,Rilski Sportist,72,77,14,19,22,17,,19,22,14,22,
g_3_8WlViBq7,10.05. 17:00,Academic,Cherno More,94,86,31,26,22,15,,17,26,24,19,
g_3_Y5fPfqzf,09.05. 19:00,Balkan,Rilski Sportist,91,66,28,21,25,17,,22,17,13,14,
g_3_E9kRhiU0,08.05. 17:00,Academic,Cherno More,86,66,20,16,28,22,,14,24,17,11,
g_3_EiEgwwYj,05.05. 18:00,Balkan,Yambol,90,74,22,20,26,22,,19,10,17,28,
g_3_0KGkijZr,04.05. 18:00,Beroe,Rilski Sportist,65,78,20,13,11,21,,22,19,26,11,
g_3_v9EMchdF,02.05. 17:00,Levski,Cherno More,68,77,16,14,27,11,,24,20,15,18,
g_3_pnFIbYt9,02.05. 17:00,Rilski Sportist,Beroe,94,86,17,35,22,20,,17,18,29,22,
g_3_IaDQdCBL,02.05. 17:00,Yambol,Balkan,78,75,17,17,25,19,,21,22,15,17,
g_3_bBUNeWQR,01.05. 17:00,Chernomorets,Academic,57,124,22,15,4,16,,32,30,34,28,
g_3_WrBEaER2,30.04. 17:00,Academic,Chernomorets,119,51,25,27,30,37,,11,9,9,22,
g_3_UwXVzVl2,30.04. 17:00,Balkan,Yambol,94,83,23,22,24,25,,20,19,20,24,
g_3_jmYRyBZe,30.04. 17:00,Cherno More,Levski,93,71,23,24,26,20,,20,13,16,22,
g_3_fNPomRT7,25.04. 17:00,Academic,Cherno More,86,72,20,20,26,20,,12,22,23,15,
g_3_Y9Gd9HpA,25.04. 17:00,Balkan,Rilski Sportist,82,85,24,18,15,25,,18,20,24,23,
g_3_QsYUj9Ur,25.04. 17:00,Beroe,Chernomorets,104,57,28,30,31,15,,15,13,23,6,
