matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_WpEHgBZR,31.05. 18:15,Cherno More,Rilski Sportist,72,82,16,12,17,27,,27,20,17,18,
g_3_CAC5W2TH,29.05. 18:15,Cherno More,Rilski Sportist,89,85,15,30,19,25,,26,17,15,27,
g_3_xGlyUbnQ,28.05. 18:15,Balkan,Spartak Pleven,95,69,23,25,25,22,,20,17,18,14,
g_3_vcEcYOb5,26.05. 18:15AOT,Rilski Sportist,Cherno More,88,87,19,16,25,21,7,13,25,20,23,6
g_3_dYpOlpqn,25.05. 17:30,Spartak Pleven,Balkan,98,100,27,16,29,26,,28,25,20,27,
g_3_rVKlzoUh,24.05. 19:00,Rilski Sportist,Cherno More,91,68,27,25,22,17,,15,27,10,16,
g_3_8x6EUtbU,23.05. 18:00,Balkan,Spartak Pleven,76,88,19,16,18,23,,27,18,20,23,
g_3_b7p6Cny1,16.05. 18:15,Spartak Pleven,Rilski Sportist,68,82,23,14,14,17,,18,19,26,19,
g_3_fProSvJ7,15.05. 18:15,Cherno More,Balkan,80,78,28,15,25,12,,17,26,17,18,
g_3_EsHWEuRQ,14.05. 18:15,Spartak Pleven,Rilski Sportist,97,93,19,27,22,29,,22,13,27,31,
g_3_f7mnakwI,13.05. 18:30,Cherno More,Balkan,86,78,19,25,10,32,,20,19,16,23,
g_3_6HDOG1dE,11.05. 12:00,Rilski Sportist,Spartak Pleven,105,90,22,24,29,30,,24,20,19,27,
g_3_Yiaw1B85,10.05. 18:15,Balkan,Cherno More,94,86,25,24,20,25,,18,20,24,24,
g_3_Ohlv9kw8,09.05. 18:15,Rilski Sportist,Spartak Pleven,102,99,27,25,26,24,,24,22,28,25,
g_3_SfdV2Xwg,08.05. 18:15,Balkan,Cherno More,72,82,25,12,17,18,,30,18,21,13,
g_3_Mqd5hd6d,05.05. 18:15,Spartak Pleven,Academic Plovdiv,92,54,25,20,27,20,,17,19,10,8,
g_3_fqk4DFSF,04.05. 17:00,Balkan,Minyor,102,75,24,28,26,24,,20,19,21,15,
g_3_rcFOcjIc,03.05. 18:15,Academic Plovdiv,Spartak Pleven,84,88,24,20,20,20,,29,23,18,18,
g_3_4jSdqi34,03.05. 17:00,Levski,Rilski Sportist,66,89,13,14,24,15,,20,27,27,15,
g_3_YVJDu92T,02.05. 18:15,Beroe,Cherno More,86,91,21,10,24,31,,24,25,23,19,
g_3_Cx7uf8HM,02.05. 18:00,Minyor,Balkan,88,86,38,13,12,25,,18,17,22,29,
g_3_GjNxzmQj,01.05. 18:15,Spartak Pleven,Academic Plovdiv,86,98,23,20,16,27,,34,18,29,17,
g_3_dQOloDYi,01.05. 17:00,Rilski Sportist,Levski,88,79,27,22,25,14,,25,21,19,14,
g_3_0IL5sVXG,30.04. 18:15AOT,Cherno More,Beroe,100,96,25,16,23,23,13,22,20,25,20,9
g_3_4C3XeUnA,30.04. 18:00,Balkan,Minyor,87,85,22,20,13,32,,28,16,22,19,
g_3_OdKy0rx3,26.04. 17:00,Academic Plovdiv,Minyor,92,83,26,24,22,20,,17,14,27,25,
g_3_zyvsv1Fq,26.04. 17:00,Cherno More,Beroe,96,81,21,25,30,20,,22,18,22,19,
g_3_6LmBqNiM,26.04. 17:00,Levski,Balkan,91,96,25,24,21,21,,19,29,22,26,
g_3_djSkxupd,26.04. 17:00,Shumen,Spartak Pleven,88,105,15,26,25,22,,36,27,26,16,
g_3_xtdfm5hc,21.04. 18:15Awrd,Minyor,Balkan,0,20,,,,,,,,,,
g_3_Agf2oqN9,18.04. 18:15,Spartak Pleven,Academic Plovdiv,94,74,17,24,32,21,,22,17,17,18,
g_3_OKQvoFBT,18.04. 17:00,Shumen,Rilski Sportist,88,103,26,24,21,17,,26,26,27,24,
g_3_K4R9ugZj,18.04. 16:00,Levski,Cherno More,73,80,25,17,12,19,,20,22,14,24,
g_3_bDuFjJsh,14.04. 18:15,Balkan,Spartak Pleven,104,89,23,22,22,37,,12,25,22,30,
g_3_6JhTSFko,13.04. 12:00,Academic Plovdiv,Rilski Sportist,83,77,24,26,17,16,,27,20,13,17,
g_3_fuZNlcC4,12.04. 17:00,Cherno More,Minyor,99,80,23,28,19,29,,16,19,20,25,
g_3_25xWnysH,12.04. 15:00,Beroe,Levski,84,76,21,20,21,22,,18,23,16,19,
g_3_KMKuxKSb,07.04. 18:15,Cherno More,Spartak Pleven,94,80,26,26,20,22,,16,15,23,26,
g_3_tx9lzbcB,06.04. 12:00,Rilski Sportist,Balkan,103,75,26,26,26,25,,24,17,13,21,
g_3_CdHXwtbn,05.04. 18:00,Beroe,Minyor,99,79,26,21,30,22,,19,19,24,17,
g_3_l2CdYySN,05.04. 17:00,Academic Plovdiv,Shumen,84,69,18,28,18,20,,11,15,26,17,
g_3_tGXDNKD5,31.03. 18:15,Rilski Sportist,Cherno More,85,75,22,20,28,15,,22,16,14,23,
g_3_AePUJxDU,30.03. 12:00,Minyor,Levski,86,82,15,18,27,26,,17,19,21,25,
g_3_YkU5Ptqg,29.03. 17:00,Shumen,Balkan,75,102,24,14,24,13,,25,25,24,28,
g_3_xrRMLbrI,29.03. 17:00,Spartak Pleven,Beroe,87,78,17,25,25,20,,19,19,17,23,
g_3_6oHwM7x1,25.03. 17:30,Shumen,Cherno More,69,83,12,20,19,18,,19,21,17,26,
g_3_2DAnKo7D,22.03. 12:00,Balkan,Academic Plovdiv,66,75,19,12,15,20,,15,22,21,17,
g_3_YXIVNT7l,21.03. 18:15AOT,Rilski Sportist,Beroe,116,109,33,27,17,23,16,29,21,21,29,9
g_3_CztcR2Et,21.03. 17:00,Spartak Pleven,Levski,93,74,20,19,30,24,,13,15,17,29,
g_3_SWwiVBFE,09.03. 17:00,Cherno More,Academic Plovdiv,90,74,27,21,21,21,,16,14,22,22,
g_3_EmxaTkpR,08.03. 18:00,Beroe,Shumen,107,104,25,34,25,23,,25,24,29,26,
g_3_vBcd9Uhe,08.03. 17:00,Levski,Rilski Sportist,74,88,13,29,21,11,,23,20,23,22,
g_3_ny1478N7,08.03. 12:00,Spartak Pleven,Minyor,94,74,23,29,22,20,,23,10,18,23,
g_3_Q7XMfVw2,06.03. 18:15,Balkan,Cherno More,77,73,19,22,17,19,,21,17,21,14,
g_3_rq4mBjOr,05.03. 18:15AOT,Beroe,Academic Plovdiv,94,100,28,16,19,20,11,22,26,19,16,17
g_3_nDIHGC0L,05.03. 18:00,Levski,Shumen,98,71,21,25,19,33,,24,19,14,14,
g_3_hEP8IYV8,05.03. 18:00,Minyor,Rilski Sportist,76,104,9,21,17,29,,34,29,18,23,
g_3_fqPZ5en3,02.03. 12:00,Balkan,Beroe,77,74,23,13,22,19,,25,20,7,22,
g_3_SdNs4ZGF,01.03. 17:00,Academic Plovdiv,Levski,80,91,26,22,18,14,,24,20,23,24,
g_3_Y9hr2DoS,01.03. 17:00,Minyor,Shumen,97,90,28,11,32,26,,18,29,24,19,
g_3_4hqEdi9k,01.03. 12:00,Rilski Sportist,Spartak Pleven,97,74,26,24,26,21,,25,13,15,21,
g_3_IBsbYOlC,10.02. 18:15,Cherno More,Beroe,102,88,20,25,26,31,,25,18,28,17,
g_3_MqlkzoKa,10.02. 17:30,Balkan,Levski,91,72,24,17,29,21,,17,21,12,22,
g_3_Gvw9fF5E,09.02. 17:00,Shumen,Spartak Pleven,93,89,29,25,21,18,,21,20,24,24,
g_3_zTksx7km,09.02. 12:00,Minyor,Academic Plovdiv,91,72,19,24,27,21,,18,19,22,13,
g_3_j3nREwhM,02.02. 12:00,Minyor,Balkan,69,87,15,28,17,9,,30,18,20,19,
