matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_0n971SYM,14.08. 01:00,Scarborough Shooting Stars,Calgary Surge,82,70,16,25,19,22,,19,13,19,19,
g_3_2Vy7HLit,12.08. 04:30,Vancouver Bandits,Calgary Surge,75,77,15,18,20,22,,22,16,13,26,
g_3_z3n4P2LD,12.08. 02:00,Niagara River Lions,Scarborough Shooting Stars,71,74,20,12,15,24,,14,21,18,21,
g_3_xK4cTzWo,07.08. 03:00,Calgary Surge,Edmonton Stingers,84,68,21,27,12,24,,13,16,21,18,
g_3_0QiyaD3t,07.08. 01:00,Ottawa Blackjacks,Scarborough Shooting Stars,72,77,14,23,25,10,,15,15,20,27,
g_3_WfF73o1K,05.08. 03:00,Winnipeg Sea Bears,Edmonton Stingers,81,87,23,18,24,16,,23,22,21,21,
g_3_EJ4C25GQ,05.08. 01:00,Scarborough Shooting Stars,Brampton Honey Badgers,98,74,18,27,25,28,,19,17,22,16,
g_3_jTqGjvRm,01.08. 01:30,Scarborough Shooting Stars,Brampton Honey Badgers,97,90,23,25,25,24,,26,19,21,24,
g_3_UJrKkbtf,31.07. 01:00,Scarborough Shooting Stars,Vancouver Bandits,79,82,23,18,16,22,,21,17,18,26,
g_3_Czvw2SVG,30.07. 02:00,Winnipeg Sea Bears,Edmonton Stingers,86,98,22,18,29,17,,22,26,22,28,
g_3_jk98cXLs,30.07. 01:30,Brampton Honey Badgers,Niagara River Lions,72,82,18,23,16,15,,13,18,26,25,
g_3_2qPxwLdl,29.07. 03:30,Saskatchewan Rattlers,Calgary Surge,89,92,22,21,26,20,,17,28,23,24,
g_3_IJshVWbA,29.07. 01:00,Niagara River Lions,Montreal Alliance,98,91,14,27,28,29,,25,13,26,27,
g_3_SQAfQsDr,28.07. 01:30,Ottawa Blackjacks,Vancouver Bandits,89,90,30,16,20,23,,20,25,26,19,
g_3_0KSjAA5m,27.07. 04:00,Calgary Surge,Edmonton Stingers,85,67,16,16,18,35,,17,24,18,8,
