matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_t8VLBYLk,30.04. 01:00,Sudbury,Windsor,103,91,32,20,27,24,,13,24,26,28,
g_3_EmhiRAeE,26.04. 01:00,Windsor,Sudbury,85,79,19,19,23,24,,16,18,27,18,
g_3_tEW1om0K,24.04. 01:00,Windsor,Sudbury,88,95,19,17,26,26,,23,17,30,25,
g_3_z9wIqTn3,20.04. 01:00,Sudbury,Windsor,87,104,24,21,29,13,,23,27,27,27,
g_3_fD0VLPfd,18.04. 01:00AOT,Sudbury,Windsor,103,100,25,28,25,14,11,19,29,23,21,8
g_3_8bTaev4D,16.04. 01:00,Windsor,KW Titans,96,84,17,28,26,25,,21,18,27,18,
g_3_WzLpRBNh,13.04. 22:00,Sudbury,Jamestown Jackals,103,100,27,20,32,24,,23,28,26,23,
g_3_Cn2BK0yi,13.04. 20:00,KW Titans,Windsor,101,87,22,25,22,32,,21,20,33,13,
g_3_l8R0XUdD,12.04. 01:00,Jamestown Jackals,Sudbury,92,103,17,24,25,26,,25,28,16,34,
g_3_8Uy3Ro77,12.04. 01:00,KW Titans,Windsor,87,95,26,27,16,18,,25,14,26,30,
g_3_UB84TFyn,10.04. 01:00,Jamestown Jackals,Sudbury,96,94,15,26,29,26,,27,23,21,23,
g_3_4WigMbUI,06.04. 22:00,Sudbury,Jamestown Jackals,121,116,25,28,37,31,,31,25,31,29,
g_3_84bpOKa6,06.04. 20:00,Windsor,KW Titans,106,98,14,27,36,29,,24,26,24,24,
g_3_WrV8IdkB,05.04. 01:00,Sudbury,Jamestown Jackals,117,121,29,35,31,22,,26,28,33,34,
g_3_SAOHGzKN,04.04. 01:00,Windsor,KW Titans,92,94,15,22,26,29,,18,33,25,18,
g_3_Y10EJR1d,03.04. 01:00,KW Titans,Pontiac Pharaohs,121,86,22,29,38,32,,22,24,23,17,
