matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_GfaWONXF,23.12. 01:15,U. De Concepcion,Leones Quilpue,76,66,18,9,22,27,,11,22,17,16,
g_3_x40SP3I9,22.12. 22:30,Espanol Osorno,Ancud,91,100,27,22,16,26,,20,28,33,19,
g_3_8SrsB1NQ,22.12. 01:15,Espanol Osorno,Leones Quilpue,65,72,19,14,16,16,,11,25,10,26,
g_3_AyV86LVs,21.12. 22:30,U. De Concepcion,Ancud,86,63,29,14,24,19,,19,18,18,8,
g_3_KGccxSrp,11.12. 00:30,Valdivia,Espanol Osorno,65,66,16,22,17,10,,18,19,17,12,
g_3_tWo6z6Dd,10.12. 00:30,CD Puerto Varas,Ancud,75,93,25,20,16,14,,27,20,24,22,
g_3_rLyRqAjA,10.12. 00:00,Puente Alto,U. De Concepcion,85,91,13,28,27,17,,24,18,13,36,
g_3_re6Vt8zT,08.12. 00:00,Espanol Osorno,Valdivia,61,45,15,14,12,20,,8,6,13,18,
g_3_4UxNpjy4,07.12. 00:30,U. De Concepcion,Puente Alto,81,44,22,19,21,19,,10,19,9,6,
g_3_2um2ynbj,07.12. 00:00,Ancud,CD Puerto Varas,72,65,18,23,15,16,,19,16,13,17,
g_3_lY6RslLM,06.12. 00:30,Catolica,Leones Quilpue,69,76,17,17,19,16,,19,26,12,19,
g_3_As8NrU5G,04.12. 00:00,Leones Quilpue,Catolica,84,42,20,20,25,19,,16,11,7,8,
g_3_f7scKtE3,27.11. 00:00,CD Puerto Varas,Ancud,79,93,21,11,21,26,,21,27,24,21,
g_3_tQd7ioug,27.11. 00:00,Espanol de Talca,Liceo Pablo Neruda,57,63,13,17,13,14,,17,21,15,10,
g_3_0WSgLMbc,26.11. 23:45,Puerto Montt,Naviera Ulloa,99,93,23,21,25,30,,23,25,17,28,
g_3_xhjGkP95,26.11. 23:30,Catolica,Puente Alto,72,71,14,17,21,20,,27,16,20,8,
g_3_Yct1J0T9,26.11. 23:15,Valdivia,Espanol Osorno,49,73,15,14,11,9,,18,16,26,13,
g_3_b1iCj5fa,26.11. 23:00Awrd,Tinguiririca,U. De Concepcion,-,-,,,,,,,,,,
g_3_2Zc3hRPn,26.11. 00:30,Espanol de Talca,U. De Concepcion,51,123,9,21,11,10,,39,27,24,33,
g_3_EkwQv8em,26.11. 00:15,Leones Quilpue,Puente Alto,67,66,17,24,14,12,,17,10,21,18,
g_3_6Xo3baip,26.11. 00:00,CD Puerto Varas,Naviera Ulloa,81,75,31,15,21,14,,17,19,23,16,
g_3_Kzj7cJ6j,25.11. 23:45,Puerto Montt,Ancud,68,113,12,22,13,21,,19,29,34,31,
g_3_8Cbag7At,25.11. 23:30Awrd,Tinguiririca,Liceo Pablo Neruda,-,-,,,,,,,,,,
g_3_MuUkM2qi,25.11. 23:00,Valdivia,Las Animas,82,80,23,18,22,19,,22,18,25,15,
g_3_Wj7Xcm2P,25.11. 00:30,Catolica,Leones Quilpue,51,70,9,13,16,13,,18,23,18,11,
g_3_WEkKlqPB,23.11. 00:45,Espanol Osorno,Valdivia,78,71,16,20,25,17,,18,21,12,20,
