matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_2isJDizJ,20.07. 23:00,Puerto Montt,Boston C. C.,71,67,23,15,13,20,,18,14,20,15,
g_3_txgAFD56,20.07. 02:30,Puerto Montt,Boston C. C.,109,85,34,19,27,29,,26,18,20,21,
g_3_UR2BUZhK,12.07. 02:30,Aleman,Puerto Montt,76,90,13,25,18,20,,25,21,25,19,
g_3_xYFP6W0D,12.07. 00:00,Arabe Valparaiso,Boston C. C.,64,71,27,9,11,17,,18,21,18,14,
g_3_KWs7397t,06.07. 01:30,Puerto Montt,Aleman,100,83,26,28,21,25,,17,31,20,15,
g_3_EVzG1mxg,05.07. 23:00,Boston C. C.,Arabe Valparaiso,86,66,21,24,17,24,,14,21,17,14,
g_3_dpsqOzUI,30.06. 02:30,Arabe Valparaiso,Stadio Italiano,63,51,6,18,13,26,,8,10,17,16,
g_3_OEkEC04F,30.06. 00:30,Truenos De Talca,Aleman,69,73,15,21,18,15,,17,21,18,17,
g_3_j3f2qnc4,29.06. 01:30,Aleman,Truenos De Talca,60,63,18,13,10,19,,21,13,16,13,
g_3_rwifo8Si,28.06. 02:30,Stadio Italiano,Arabe Valparaiso,59,67,15,24,8,12,,13,19,23,12,
g_3_SU87N4zo,28.06. 02:00,Illapel,Boston C. C.,63,72,16,14,21,12,,21,10,21,20,
g_3_WbNyTQCN,28.06. 01:30,Municipal Chillan,Puerto Montt,66,95,13,13,20,20,,34,26,16,19,
g_3_I7ulBV7F,23.06. 00:30,Arabe Valparaiso,Stadio Italiano,69,71,18,18,17,16,,20,20,15,16,
g_3_vDzL2KaT,22.06. 23:00,Arturo Prat San Felipe,Brisas,85,59,18,29,23,15,,22,13,6,18,
g_3_pMeUj1M0,22.06. 01:30,Boston C. C.,Illapel,84,77,20,23,26,15,,20,26,13,18,
g_3_O67LhNil,22.06. 01:30,Truenos De Talca,Aleman,68,70,18,13,14,23,,12,20,26,12,
g_3_hnaxkuiD,22.06. 01:00,Puerto Montt,Municipal Chillan,102,60,26,23,22,31,,19,15,16,10,
g_3_nN3QE6Di,16.06. 01:00,CD Huachipato,Tinguiririca,75,49,24,18,16,17,,10,15,15,9,
g_3_4hNZKG4F,16.06. 00:00,Luis Matte Larrain,Stadio Italiano,74,82,19,21,12,22,,16,26,14,26,
g_3_Iu3o20yB,15.06. 01:30,Brisas,Arturo Prat San Felipe,84,59,19,26,22,17,,23,10,22,4,
g_3_vkKiYQWj,15.06. 01:00,Quilpue Basquetbol,Illapel,64,80,8,22,15,19,,20,13,22,25,
g_3_QPUzDHkT,15.06. 00:30AOT,Omega,Aleman,101,108,31,19,14,23,14,20,24,21,22,21
g_3_WlxmIuKq,15.06. 00:00,CDSB Constitucion,Truenos De Talca,67,72,11,12,20,24,,17,16,22,17,
g_3_G2esBOCG,14.06. 02:30,Sergio Ceppi,Boston C. C.,58,60,19,11,14,14,,10,16,21,13,
g_3_6XZL3t5j,14.06. 02:30AOT,Stadio Italiano,Luis Matte Larrain,80,82,17,10,23,22,8,19,15,20,18,10
g_3_tE0nf8gA,14.06. 02:00,The Sharks,Arabe Valparaiso,62,65,11,13,19,19,,14,21,20,10,
g_3_KAIsvNt3,14.06. 01:00,Regional Temuco,Puerto Montt,76,98,20,23,17,16,,14,21,29,34,
g_3_Mabk92sT,09.06. 00:00,Luis Matte Larrain,Stadio Italiano,80,85,17,19,16,28,,25,11,19,30,
g_3_YwS7Rqcc,08.06. 23:00Awrd,Liceo Curico,Municipal Chillan,0,20,,,,,,,,,,
g_3_UoZu7ffo,08.06. 23:00,Tinguiririca,CD Huachipato,57,58,17,10,18,12,,7,20,21,10,
g_3_Kz2YCpr4,08.06. 02:30,Boston C. C.,Sergio Ceppi,74,56,22,17,19,16,,14,15,11,16,
g_3_fHrLwm9T,08.06. 02:00,Illapel,Quilpue Basquetbol,65,53,27,11,10,17,,8,12,25,8,
