matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_48chLtbm,20.06. 03:00,Leones Quilpue,U. De Concepcion,63,75,15,17,17,14,,19,22,14,20,
g_3_U70DcRFg,18.06. 03:00AOT,U. De Concepcion,Leones Quilpue,70,66,18,13,7,21,11,19,11,13,16,7
g_3_QVD0KzUK,13.06. 03:00,Leones Quilpue,U. De Concepcion,86,70,16,24,22,24,,20,15,17,18,
g_3_r7OeLGEE,12.06. 03:00AOT,Leones Quilpue,U. De Concepcion,80,78,28,16,15,19,2,19,19,24,16,0
g_3_U3KiMda8,06.06. 03:00,U. De Concepcion,Leones Quilpue,84,83,19,18,23,24,,26,15,21,21,
g_3_G0W9cDM7,05.06. 03:00,U. De Concepcion,Leones Quilpue,104,68,31,26,19,28,,12,21,20,15,
g_3_I1ArDivU,30.05. 03:00,Valdivia,Leones Quilpue,58,74,15,17,15,11,,14,20,22,18,
g_3_hIm3wifB,29.05. 03:00,Valdivia,Leones Quilpue,56,51,13,10,17,16,,10,9,19,13,
g_3_r7tGzkvU,28.05. 03:00,Naviera Ulloa,U. De Concepcion,67,77,18,17,22,10,,25,16,16,20,
g_3_ERlavXv5,23.05. 03:00,Leones Quilpue,Valdivia,86,77,23,17,18,28,,17,23,21,16,
g_3_lpsCyVON,23.05. 01:00,U. De Concepcion,Naviera Ulloa,97,75,28,24,17,28,,18,16,23,18,
g_3_Agr8xB9H,22.05. 03:00,U. De Concepcion,Naviera Ulloa,104,66,29,17,29,29,,11,15,24,16,
g_3_K4keuDPb,22.05. 01:00,Leones Quilpue,Valdivia,87,85,29,22,18,18,,30,11,23,21,
g_3_MRGXOY2I,18.05. 02:00,Valdivia,Puente Alto,74,64,21,15,26,12,,22,18,12,12,
g_3_EsBaVFto,17.05. 03:00,Las Animas,Leones Quilpue,68,74,18,17,16,17,,18,27,20,9,
g_3_UPylcZ9c,17.05. 01:00,Naviera Ulloa,CD Puerto Varas,75,60,28,17,12,18,,13,11,19,17,
g_3_EZGzfaJo,16.05. 03:00,Naviera Ulloa,CD Puerto Varas,54,75,13,4,17,20,,18,15,21,21,
g_3_xImWnrCI,16.05. 01:00,Las Animas,Leones Quilpue,77,79,16,13,24,24,,20,22,17,20,
g_3_lbv3PV6E,15.05. 03:00,Puente Alto,Valdivia,82,68,15,26,25,16,,21,14,10,23,
g_3_relSmOdC,14.05. 03:00,Puente Alto,Valdivia,93,60,31,23,20,19,,20,14,12,14,
g_3_hQFvgJYi,14.05. 01:00,Puerto Montt,U. De Concepcion,63,84,18,15,20,10,,18,19,20,27,
g_3_QNDV1Fq1,10.05. 03:00,CD Puerto Varas,Naviera Ulloa,87,93,5,29,27,26,,26,23,22,22,
g_3_Mk7v0gED,10.05. 01:00,Leones Quilpue,Las Animas,65,70,18,21,9,17,,11,16,21,22,
g_3_ra8z1Zb7,09.05. 03:00,Leones Quilpue,Las Animas,83,59,29,21,15,18,,14,14,19,12,
g_3_nXER2eUf,09.05. 01:00,CD Puerto Varas,Naviera Ulloa,81,83,18,20,14,29,,16,27,19,21,
g_3_KpZ4GEbf,08.05. 03:00,U. De Concepcion,Puerto Montt,78,76,19,19,20,20,,22,15,23,16,
