matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_2ZPclRMF,16.06. 02:30,Leones Quilpue,U. De Concepcion,80,86,27,14,24,15,,20,25,20,21,
g_3_0rmiQ9zB,15.06. 02:30,Leones Quilpue,U. De Concepcion,85,88,19,20,21,25,,22,18,19,29,
g_3_fopqSV5b,13.06. 02:30,Leones Quilpue,U. De Concepcion,76,70,21,12,20,23,,14,16,12,28,
g_3_K8wOJhel,09.06. 02:30,U. De Concepcion,Leones Quilpue,73,59,27,14,19,13,,21,15,18,5,
g_3_SzMkx1BF,08.06. 02:30,U. De Concepcion,Leones Quilpue,86,68,22,31,14,19,,18,15,18,17,
g_3_Wz1S6pX8,02.06. 02:30,CD Puerto Varas,Leones Quilpue,64,67,17,13,13,21,,9,19,22,17,
g_3_b1BAQQIb,26.05. 02:30,Espanol Osorno,U. De Concepcion,84,89,23,21,22,18,,29,23,22,15,
g_3_SlF2jPnS,25.05. 02:30,Espanol Osorno,U. De Concepcion,74,66,25,24,14,11,,17,11,16,22,
g_3_4U8tqsu2,21.05. 02:30,Leones Quilpue,CD Puerto Varas,73,70,22,11,24,16,,10,16,23,21,
g_3_rFKXp3Ak,20.05. 02:30,Leones Quilpue,CD Puerto Varas,66,63,12,18,21,15,,21,17,13,12,
g_3_WMLghoIF,19.05. 02:30,U. De Concepcion,Espanol Osorno,98,92,25,28,24,21,,23,19,27,23,
g_3_b9Nof7m3,18.05. 02:30,U. De Concepcion,Espanol Osorno,94,69,15,22,33,24,,22,22,15,10,
g_3_KrtDEqee,11.05. 02:30,Leones Quilpue,Ancud,78,51,22,13,18,25,,8,13,22,8,
g_3_vTSeidJc,05.05. 03:00,Ancud,Leones Quilpue,58,56,17,18,12,11,,12,18,15,11,
g_3_nZuAThRj,05.05. 03:00,Colo Colo,U. De Concepcion,66,89,17,17,18,14,,18,22,22,27,
g_3_QVPjZlt3,04.05. 03:00,Ancud,Leones Quilpue,73,68,25,16,17,15,,14,27,12,15,
g_3_YeTbXSAF,04.05. 03:00,Colo Colo,U. De Concepcion,66,51,14,15,16,21,,18,20,4,9,
g_3_lYYT9Cj2,03.05. 03:00,Espanol Osorno,Sportiva Italiana,78,71,26,20,16,16,,25,18,15,13,
g_3_SO74D7Jq,03.05. 02:30,Puente Alto,CD Puerto Varas,67,75,18,17,22,10,,24,19,17,15,
g_3_0x6CBold,02.05. 03:00,Espanol Osorno,Sportiva Italiana,102,72,32,21,24,25,,14,21,18,19,
g_3_SnpYitcm,28.04. 03:00,Leones Quilpue,Ancud,79,50,18,24,22,15,,21,16,7,6,
g_3_8boIryce,28.04. 01:30,U. De Concepcion,Colo Colo,97,94,27,23,23,24,,29,26,24,15,
g_3_02kzdRC6,27.04. 03:00,CD Puerto Varas,Puente Alto,72,69,19,21,18,14,,24,23,10,12,
g_3_zXXApcSr,27.04. 03:00,U. De Concepcion,Colo Colo,90,58,23,27,23,17,,14,12,17,15,
g_3_rF81c2ZP,27.04. 01:30,Leones Quilpue,Ancud,92,54,29,20,19,24,,19,4,19,12,
g_3_hxnScmrf,26.04. 03:00,CD Puerto Varas,Puente Alto,94,60,22,21,24,27,,19,17,12,12,
g_3_WMcJa9Ds,26.04. 01:30,Sportiva Italiana,Espanol Osorno,81,70,23,20,21,17,,20,17,18,15,
g_3_0v7m5VkK,25.04. 01:30,Sportiva Italiana,Espanol Osorno,70,76,21,15,22,12,,19,25,17,15,
g_3_GUqZjof3,23.04. 03:00,Colo Colo,Las Animas,85,82,23,26,22,14,,19,9,21,33,
g_3_Wb5vDw53,21.04. 03:00,Catolica,Ancud,61,89,20,10,18,13,,15,28,28,18,
g_3_zi2e9e4S,21.04. 01:30,Las Animas,Colo Colo,85,92,15,17,25,28,,20,24,15,33,
g_3_v5IhkzDd,18.04. 03:00,Ancud,Catolica,60,56,16,16,12,16,,14,7,16,19,
g_3_SQbmBHZF,18.04. 01:30,Colo Colo,Las Animas,92,98,18,35,21,18,,33,17,23,25,
g_3_drt0Znw1,14.04. 02:30,Ancud,Colo Colo,84,63,12,31,17,24,,4,13,24,22,
g_3_IcU8XQ7D,14.04. 02:30,Leones Quilpue,Espanol Osorno,73,79,19,21,12,21,,25,18,20,16,
g_3_KnKTtVpR,14.04. 02:30AOT,Sportiva Italiana,U. De Concepcion,95,92,25,16,25,16,13,34,11,24,13,10
g_3_lIxhy98l,14.04. 02:00,Catolica,Las Animas,75,80,12,18,22,23,,23,20,18,19,
g_3_nZLLriGE,14.04. 01:30,Valdivia,Puente Alto,71,76,21,17,17,16,,21,24,11,20,
g_3_O0zRM9ge,14.04. 01:00,CD Puerto Varas,Espanol de Talca,90,70,22,23,28,17,,17,19,19,15,
g_3_WQwZKmO7,13.04. 02:30,Valdivia,Colo Colo,63,66,24,10,17,12,,13,18,19,16,
g_3_2onIOVOr,13.04. 02:00,CD Puerto Varas,Puente Alto,91,88,25,23,19,24,,14,20,26,28,
g_3_YVenUi1L,13.04. 01:30,Ancud,Espanol de Talca,84,55,27,21,18,18,,16,7,13,19,
g_3_x42wWDW8,12.04. 02:30,Catolica,U. De Concepcion,69,85,21,19,17,12,,15,24,16,30,
g_3_pAFi8Av2,12.04. 02:00,Leones Quilpue,Las Animas,91,50,20,19,26,26,,4,13,19,14,
g_3_lrMrAW9k,12.04. 01:30,Sportiva Italiana,Espanol Osorno,90,74,26,22,27,15,,23,26,21,4,
g_3_v9zDFhnS,11.04. 03:00,CD Puerto Varas,Colo Colo,86,79,28,18,21,19,,15,32,19,13,
g_3_ATrdJzm3,11.04. 02:30,Ancud,Puente Alto,90,77,17,30,17,26,,25,17,14,21,
g_3_Ign4HEHF,11.04. 02:30,Leones Quilpue,U. De Concepcion,77,65,28,23,15,11,,19,17,16,13,
g_3_fL09eXfd,11.04. 02:00,Catolica,Espanol Osorno,62,68,20,15,8,19,,23,15,17,13,
g_3_M721cgQq,11.04. 02:00,Valdivia,Espanol de Talca,82,66,20,26,16,20,,12,25,15,14,
g_3_Iu7V2F2M,11.04. 01:30,Sportiva Italiana,Las Animas,77,85,20,23,13,21,,24,17,20,24,
g_3_AF3N4yY9,07.04. 02:30,Colo Colo,Ancud,83,79,23,19,24,17,,24,20,22,13,
g_3_l0FE6c3c,07.04. 02:30,Espanol de Talca,CD Puerto Varas,72,77,17,21,20,14,,30,16,16,15,
