matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_SKJeBfr4,22.05. 13:35,Xinjiang,Liaoning,95,104,21,26,25,23,,25,28,31,20,
g_3_f7LmDGDi,20.05. 13:35,Xinjiang,Liaoning,91,98,20,27,18,26,,29,31,17,21,
g_3_hlx454fo,17.05. 13:35,Liaoning,Xinjiang,97,86,32,25,20,20,,31,15,21,19,
g_3_nkAWNCAC,15.05. 13:35,Liaoning,Xinjiang,121,112,34,25,31,31,,18,28,32,34,
g_3_vaqfr2KO,11.05. 13:35,Liaoning,Guangdong,116,95,29,29,22,36,,16,27,26,26,
g_3_WQNSDCMs,09.05. 13:35,Zhejiang Chouzhou,Xinjiang,95,108,22,23,18,32,,36,19,21,32,
g_3_fVLvMi43,08.05. 13:35,Guangdong,Liaoning,90,107,22,21,21,26,,27,25,30,25,
g_3_GvJSDVD8,07.05. 13:35,Zhejiang Chouzhou,Xinjiang,93,105,26,29,24,14,,26,29,20,30,
g_3_zgy76CBG,06.05. 13:35,Guangdong,Liaoning,98,82,25,19,26,28,,17,24,19,22,
g_3_6TwWDmb2,04.05. 13:35,Xinjiang,Zhejiang Chouzhou,85,95,28,16,24,17,,27,28,25,15,
g_3_vRsb8Yt4,03.05. 13:35,Liaoning,Guangdong,94,110,26,17,23,28,,28,24,30,28,
g_3_b3zOF9Tk,02.05. 13:35,Xinjiang,Zhejiang Chouzhou,125,90,30,33,24,38,,27,26,20,17,
g_3_W0vjAfCi,01.05. 13:35,Liaoning,Guangdong,119,97,32,27,30,30,,31,25,14,27,
g_3_b7OfzyDE,29.04. 13:35,Zhejiang Chouzhou,Shanghai,111,82,27,28,25,31,,23,24,19,16,
g_3_f545buVQ,26.04. 13:35,Guangzhou,Xinjiang,71,93,18,22,15,16,,18,23,31,21,
g_3_jwFng06l,26.04. 13:35,Shanghai,Zhejiang Chouzhou,112,107,22,33,24,33,,21,25,19,42,
g_3_QZcIn9J5,25.04. 13:35,Zhejiang Guangsha,Guangdong,82,117,14,25,26,17,,31,34,21,31,
g_3_6wkpwRdt,24.04. 13:35,Guangzhou,Xinjiang,105,83,25,33,27,20,,20,20,26,17,
g_3_llJPTMDL,24.04. 13:35,Shanghai,Zhejiang Chouzhou,120,121,32,31,26,31,,23,33,38,27,
g_3_phvgdiJ0,23.04. 13:35,Shenzhen,Liaoning,80,102,19,21,19,21,,26,25,28,23,
g_3_zqKE5edE,23.04. 13:35,Zhejiang Guangsha,Guangdong,109,102,20,25,32,32,,31,27,21,23,
g_3_rV4zJNBO,21.04. 14:00,Xinjiang,Guangzhou,113,86,26,31,34,22,,21,22,24,19,
g_3_2XKHVrq9,21.04. 13:35,Zhejiang Chouzhou,Shanghai,100,110,25,23,25,27,,23,25,21,41,
g_3_I7kUcqw8,20.04. 13:35,Guangdong,Zhejiang Guangsha,106,96,30,26,27,23,,19,34,18,25,
g_3_xSzobDll,20.04. 13:35,Liaoning,Shenzhen,132,93,29,24,40,39,,20,28,19,26,
g_3_z51SKqsC,19.04. 13:35,Xinjiang,Guangzhou,108,91,23,30,23,32,,25,23,23,20,
g_3_MyrV7ui2,19.04. 13:35,Zhejiang Chouzhou,Shanghai,125,109,36,28,23,38,,32,32,26,19,
g_3_AsnMa58e,18.04. 13:35,Guangdong,Zhejiang Guangsha,120,100,40,19,31,30,,21,32,21,26,
g_3_8dIM3ZQQ,18.04. 13:35,Liaoning,Shenzhen,124,87,25,28,38,33,,30,22,13,22,
g_3_2P4tp0hd,16.04. 13:35,Shanghai,Beijing,118,98,24,36,28,30,,26,13,26,33,
g_3_CK9TWISs,15.04. 13:35,Shenzhen,Beijing Royal Fighters,117,97,29,27,29,32,,33,26,17,21,
g_3_8n3xVdcf,15.04. 13:35,Zhejiang Guangsha,Shanxi Zhongyu,109,96,29,35,19,26,,22,23,19,32,
g_3_SMWYY36k,14.04. 13:35,Beijing,Shanghai,116,99,35,31,26,24,,31,22,23,23,
g_3_YaBaK4id,14.04. 13:35,Guangzhou,Qingdao,92,78,18,25,30,19,,17,28,19,14,
g_3_zPiftnEF,13.04. 13:35,Beijing Royal Fighters,Shenzhen,99,94,32,25,20,22,,22,31,25,16,
g_3_0QRSfoT8,13.04. 13:35,Shanxi Zhongyu,Zhejiang Guangsha,132,118,36,35,25,36,,33,31,27,27,
g_3_CpNjMQMq,11.04. 13:35,Qingdao,Guangzhou,96,101,26,22,24,24,,25,20,25,31,
g_3_8xj2vQrS,11.04. 13:35,Shanghai,Beijing,110,96,29,33,23,25,,18,21,33,24,
g_3_vcbor8q3,10.04. 13:35,Shenzhen,Beijing Royal Fighters,106,102,29,28,23,26,,32,27,16,27,
g_3_KUltXsy2,10.04. 13:35,Zhejiang Guangsha,Shanxi Zhongyu,107,97,28,40,20,19,,31,22,14,30,
g_3_0v9rShod,06.04. 13:35,Guangzhou,Nanjing Tongxi,109,87,29,27,33,20,,23,20,22,22,
g_3_zXwckPnh,06.04. 13:35AOT,Jilin,Fujian,107,96,22,17,25,28,15,27,17,28,20,4
g_3_txgsUEGq,06.04. 13:35,Liaoning,Zhejiang Guangsha,101,96,28,30,19,24,,27,20,27,22,
g_3_MmAvTYVk,06.04. 13:35,Qingdao,Sichuan,87,70,19,25,25,18,,13,15,14,28,
g_3_Sp1Ukdw3,06.04. 13:35,Shandong,Ningbo Rockets,128,104,41,24,35,28,,30,26,28,20,
g_3_dnS5m3H4,06.04. 13:35,Shanghai,Zhejiang Chouzhou,95,128,23,25,28,19,,29,32,33,34,
g_3_EscQjxOd,06.04. 13:35,Shanxi Zhongyu,Beijing Royal Fighters,117,103,40,31,20,26,,27,23,21,32,
g_3_4CVDosnH,06.04. 13:35,Shenzhen,Beijing,102,107,23,28,28,23,,23,37,19,28,
g_3_ENx1lq2b,06.04. 13:35AOT,Tianjin,Guangdong,113,112,32,29,17,27,8,28,26,28,23,7
g_3_AkW9nNWA,06.04. 13:35,Xinjiang,Jiangsu Dragons,121,74,29,32,29,31,,14,21,24,15,
g_3_884wlFjI,02.04. 14:00,Xinjiang,Tianjin,121,103,38,30,29,24,,24,26,29,24,
g_3_YkCQjH6a,02.04. 13:35,Beijing Royal Fighters,Jilin,125,109,34,39,30,22,,19,27,36,27,
