matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_WMyMbAsS,15.02. 12:30,Xinjiang,Shanghai,80,89,16,26,19,19,,13,25,22,29,
g_3_zerD0WCF,14.02. 12:30AOT,Shanxi Zhongyu,Beijing,94,104,26,25,20,18,5,18,32,22,17,15
g_3_AXhDvM2t,12.02. 12:30,Shanghai,Beijing,96,73,25,23,28,20,,17,14,18,24,
g_3_GI3SKyLr,11.02. 12:30,Xinjiang,Shanxi Zhongyu,105,89,32,22,22,29,,23,31,13,22,
g_3_nysUHVzi,10.02. 12:30,Shandong,Beijing,68,88,19,17,18,14,,15,23,26,24,
g_3_j5ebNiDT,10.02. 08:30,Shanghai,Tianjin,103,88,25,25,27,26,,15,26,21,26,
g_3_CxFMNLO9,09.02. 12:30AOT,Beijing Royal Fighters,Shanxi Zhongyu,96,103,31,26,18,13,8,23,22,21,22,15
g_3_4CBEPsfc,09.02. 08:30,Xinjiang,Zhejiang Chouzhou,102,83,28,23,26,25,,21,25,22,15,
g_3_pxx65vHc,17.11. 12:30AOT,Beijing Royal Fighters,Guangdong,82,79,14,18,21,18,11,18,12,21,20,8
g_3_6iQE3IoA,17.11. 12:30,Jilin,Shandong,79,108,14,16,29,20,,30,28,29,21,
g_3_WY9gdzvp,17.11. 12:30,Liaoning,Xinjiang,69,89,16,23,15,15,,21,25,20,23,
g_3_EHTM1dGM,17.11. 12:30,Shenzhen,Shanxi Zhongyu,69,95,15,22,16,16,,30,21,26,18,
g_3_IVqKsyPj,17.11. 08:30,Fujian,Shanghai,80,89,22,19,22,17,,22,23,18,26,
g_3_zBtemc1T,17.11. 08:00,Nanjing Tongxi,Beijing,75,91,18,18,21,18,,20,31,14,26,
g_3_6Vlviu24,17.11. 08:00,Tianjin,Guangzhou,69,89,15,26,15,13,,28,24,18,19,
g_3_2crmkJWG,17.11. 08:00,Zhejiang Chouzhou,Sichuan,108,95,31,28,23,26,,28,21,21,25,
g_3_W0Y3kSQa,16.11. 12:30,Guangdong,Tianjin,89,103,14,16,33,26,,23,25,23,32,
g_3_SSRCm6eC,16.11. 12:30,Shandong,Zhejiang Chouzhou,78,81,22,19,25,12,,17,23,22,19,
g_3_I98qVcuo,16.11. 12:30,Shanghai,Shenzhen,94,84,17,27,27,23,,26,14,14,30,
g_3_b5oWh1Xi,16.11. 12:30,Xinjiang,Qingdao,95,86,23,30,27,15,,27,18,19,22,
g_3_bmzdildm,16.11. 08:30,Shanxi Zhongyu,Ningbo Rockets,107,91,32,34,20,21,,21,27,17,26,
g_3_CjIUzTB6,16.11. 08:00,Jiangsu Dragons,Guangzhou,102,91,24,20,31,27,,21,25,19,26,
g_3_v3gPdAYP,16.11. 08:00,Liaoning,Nanjing Tongxi,91,88,18,22,25,26,,23,26,16,23,
g_3_Y56wZ6tJ,16.11. 08:00,Zhejiang Guangsha,Jilin,84,68,19,22,23,20,,23,14,15,16,
g_3_YuPUUfp9,15.11. 12:30,Qingdao,Liaoning,94,78,22,14,31,27,,17,19,19,23,
g_3_tnxq7ih2,15.11. 12:30,Shenzhen,Fujian,101,97,30,24,29,18,,25,20,22,30,
g_3_4QEMxksf,15.11. 12:30,Tianjin,Jiangsu Dragons,100,93,27,28,21,24,,21,28,19,25,
g_3_pKrz9DNk,15.11. 12:30,Zhejiang Chouzhou,Zhejiang Guangsha,96,99,22,28,26,20,,24,24,23,28,
g_3_lzr5EZaS,15.11. 09:30,Ningbo Rockets,Shanghai,64,81,17,20,11,16,,24,15,23,19,
g_3_SKgdGeVF,15.11. 08:00,Beijing,Xinjiang,79,85,30,11,18,20,,27,19,19,20,
g_3_4n81fE8d,15.11. 08:00,Guangzhou,Beijing Royal Fighters,80,93,19,15,27,19,,23,17,23,30,
g_3_KfjlIH03,15.11. 08:00,Sichuan,Shandong,72,97,14,19,13,26,,27,31,20,19,
g_3_CSZspXlK,13.11. 13:30,Beijing,Liaoning,90,78,19,26,20,25,,16,16,21,25,
g_3_U70vQBcl,13.11. 12:30,Guangdong,Guangzhou,88,68,33,23,17,15,,18,16,23,11,
g_3_bmheMTdD,13.11. 12:30,Ningbo Rockets,Shenzhen,76,92,19,20,20,17,,21,23,24,24,
g_3_jNlmOkS0,13.11. 12:30,Sichuan,Zhejiang Guangsha,55,88,12,12,18,13,,25,21,23,19,
g_3_bP98VXZQ,13.11. 11:00,Nanjing Tongxi,Qingdao,80,89,17,25,19,19,,28,16,20,25,
g_3_hCv8Xg5E,13.11. 09:30,Shanxi Zhongyu,Fujian,107,72,26,33,31,17,,20,13,15,24,
g_3_4jbDBCre,13.11. 08:00,Beijing Royal Fighters,Jiangsu Dragons,85,82,28,23,25,9,,26,21,16,19,
g_3_0IiM9jD7,13.11. 08:00,Zhejiang Chouzhou,Jilin,98,68,22,21,25,30,,18,16,17,17,
g_3_dQf5DYDr,12.11. 13:30,Xinjiang,Nanjing Tongxi,96,102,36,16,17,27,,22,26,20,34,
