matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_YDMoQJEo,02.01. 12:30,Guangdong W,Wuhan W,84,50,22,13,28,21,,13,15,14,8,
g_3_rksx6GTT,02.01. 12:30,Heilongjiang W,Xinjiang W,80,106,14,18,22,26,,32,12,38,24,
g_3_C4LkPwUi,02.01. 12:30,Henan W,Fujian W,75,91,21,21,19,14,,22,22,26,21,
g_3_dh7BKFrN,02.01. 12:30,Inner Mongolia W,Shaanxi Tianze W,101,81,28,31,21,21,,26,17,18,20,
g_3_UuGfOcqb,02.01. 12:30,Shandong W,Beijing W,72,90,15,15,12,30,,21,17,30,22,
g_3_ETH6LeTG,02.01. 12:30,Shanghai W,Jiangsu Phoenix W,60,86,8,15,19,18,,27,18,9,32,
g_3_8WEbNHb4,02.01. 12:30,Sichuan W,Hebei W,77,80,19,20,19,19,,15,23,19,23,
g_3_2gE2MyEA,02.01. 12:30,Tianjin W,Shanxi Xing Rui W,93,107,25,19,26,23,,27,29,32,19,
g_3_KAY31zxo,02.01. 12:30,Zhejiang Golden Bulls W,Bayi Kilin W,68,86,10,19,12,27,,19,18,20,29,
g_3_0QiX6dEN,31.12. 13:00,Xinjiang W,Wuhan W,107,62,26,28,22,31,,20,12,21,9,
g_3_KhHbhcaU,31.12. 12:30,Bayi Kilin W,Henan W,98,72,27,20,32,19,,11,22,15,24,
g_3_SbvQ8IqB,31.12. 12:30,Beijing W,Shanxi Xing Rui W,87,84,21,24,18,24,,20,25,20,19,
g_3_KSm5DtVu,31.12. 12:30,Guangdong W,Zhejiang Golden Bulls W,86,75,25,21,32,8,,17,20,17,21,
g_3_htnDBKah,31.12. 12:30,Hebei W,Fujian W,84,66,21,22,21,20,,19,6,28,13,
g_3_bJn9C0pn,31.12. 12:30,Heilongjiang W,Shaanxi Tianze W,90,96,25,22,25,18,,24,24,23,25,
g_3_l8uM9bU4,31.12. 12:30,Jiangsu Phoenix W,Inner Mongolia W,97,66,24,21,27,25,,13,20,18,15,
g_3_MZhT7xaH,31.12. 12:30,Shandong W,Shanghai W,88,85,26,21,21,20,,11,32,23,19,
g_3_6qjHAvFb,31.12. 12:30,Sichuan W,Tianjin W,109,89,32,31,20,26,,18,19,24,28,
g_3_t2IfgwpO,29.12. 12:30,Bayi Kilin W,Hebei W,91,66,27,6,19,39,,22,10,20,14,
g_3_O0YQaN0t,28.12. 12:30,Guangdong W,Henan W,78,66,31,21,16,10,,16,21,10,19,
g_3_z5FneaFB,28.12. 12:30,Jiangsu Phoenix W,Heilongjiang W,94,73,22,25,23,24,,16,14,21,22,
g_3_htQsdu05,28.12. 12:30,Shaanxi Tianze W,Wuhan W,92,95,20,21,25,26,,16,28,18,33,
g_3_nuJjfJUH,28.12. 12:30,Shanghai W,Inner Mongolia W,80,79,24,20,19,17,,22,10,20,27,
g_3_pGMZc1Vh,28.12. 12:30,Shanxi Xing Rui W,Shandong W,96,70,28,28,19,21,,11,26,12,21,
g_3_EkRwcLpa,28.12. 12:30,Sichuan W,Beijing W,71,94,17,14,18,22,,34,21,18,21,
g_3_6PNVbsGn,28.12. 12:30,Tianjin W,Fujian W,77,82,21,15,19,22,,22,10,22,28,
g_3_nusa43hP,28.12. 12:30,Zhejiang Golden Bulls W,Xinjiang W,76,108,19,14,22,21,,17,31,25,35,
g_3_tMv8q2Ga,26.12. 12:30,Fujian W,Beijing W,70,107,26,14,23,7,,22,25,31,29,
g_3_fofDt00I,26.12. 12:30,Guangdong W,Hebei W,88,58,28,22,23,15,,17,14,13,14,
g_3_zqvCrMV5,26.12. 12:30,Henan W,Xinjiang W,46,91,12,9,9,16,,32,20,20,19,
g_3_pfoaoOom,26.12. 12:30,Inner Mongolia W,Shandong W,79,85,19,16,18,26,,16,24,25,20,
g_3_veJR3W1E,26.12. 12:30,Shanghai W,Heilongjiang W,105,67,28,25,26,26,,11,19,17,20,
g_3_YygHuKFO,26.12. 12:30,Shanxi Xing Rui W,Sichuan W,84,82,26,20,17,21,,11,25,29,17,
g_3_63nen4Wt,26.12. 12:30,Tianjin W,Bayi Kilin W,77,99,18,15,26,18,,27,22,29,21,
g_3_EZxGstoC,26.12. 12:30,Wuhan W,Jiangsu Phoenix W,69,97,17,13,24,15,,36,21,20,20,
g_3_SIz4pr1g,26.12. 12:30,Zhejiang Golden Bulls W,Shaanxi Tianze W,90,83,19,19,30,22,,21,27,17,18,
g_3_S0PTrVPl,24.12. 12:30,Beijing W,Bayi Kilin W,89,85,22,15,22,30,,12,25,22,26,
g_3_6iOXskue,24.12. 12:30,Fujian W,Shanxi Xing Rui W,57,86,11,20,18,8,,17,17,29,23,
g_3_batutT97,24.12. 12:30,Hebei W,Xinjiang W,77,88,24,19,15,19,,19,22,26,21,
g_3_0ENys9f1,24.12. 12:30,Heilongjiang W,Inner Mongolia W,85,105,18,19,21,27,,33,26,28,18,
g_3_EgqgkXnL,24.12. 12:30,Henan W,Shaanxi Tianze W,52,96,5,15,15,17,,28,13,26,29,
g_3_0jukjDXE,24.12. 12:30,Shandong W,Sichuan W,83,61,27,14,22,20,,19,15,12,15,
g_3_04KN4Cn8,24.12. 12:30,Tianjin W,Guangdong W,71,102,17,13,28,13,,33,24,16,29,
g_3_APUOqBAr,24.12. 12:30,Wuhan W,Shanghai W,81,86,20,16,26,19,,20,30,16,20,
g_3_8Grcli2R,24.12. 12:30,Zhejiang Golden Bulls W,Jiangsu Phoenix W,61,92,12,17,20,12,,21,22,29,20,
g_3_IRkpigI8,21.12. 13:00,Xinjiang W,Tianjin W,104,77,27,31,24,22,,24,27,11,15,
g_3_ttPFyEIL,21.12. 12:30,Beijing W,Guangdong W,66,63,17,11,17,21,,14,13,20,16,
g_3_CU2bTkQ1,21.12. 12:30,Hebei W,Shaanxi Tianze W,77,65,19,18,20,20,,14,17,16,18,
g_3_jFEkVBek,21.12. 12:30,Inner Mongolia W,Wuhan W,95,66,26,29,19,21,,17,10,18,21,
g_3_KWNJzYXR,21.12. 12:30,Jiangsu Phoenix W,Henan W,74,53,24,17,15,18,,12,8,11,22,
g_3_O4UAxf3F,21.12. 12:30,Shandong W,Heilongjiang W,85,54,30,20,19,16,,13,8,18,15,
g_3_vyithZ22,21.12. 12:30,Shanghai W,Zhejiang Golden Bulls W,81,86,22,22,24,13,,23,15,25,23,
g_3_xCAoWitq,21.12. 12:30,Shanxi Xing Rui W,Bayi Kilin W,67,85,20,17,9,21,,23,21,32,9,
g_3_Yw4fUVAe,21.12. 12:30,Sichuan W,Fujian W,103,79,25,31,26,21,,23,10,20,26,
g_3_pEV6wzl9,19.12. 13:00,Xinjiang W,Beijing W,73,88,21,20,12,20,,24,15,26,23,
g_3_SIbAYPpp,19.12. 12:30,Bayi Kilin W,Sichuan W,103,90,26,25,23,29,,22,25,16,27,
g_3_Q9Crw6xT,19.12. 12:30,Fujian W,Shandong W,72,80,,,,,,,,,,
g_3_UsJZvS7G,19.12. 12:30,Heilongjiang W,Wuhan W,90,80,19,22,25,24,,27,18,11,24,
g_3_vHSbudJd,19.12. 12:30,Jiangsu Phoenix W,Hebei W,82,54,20,24,16,22,,7,10,20,17,
g_3_jiW2vGY2,19.12. 12:30,Shanghai W,Henan W,91,66,28,21,21,21,,15,24,12,15,
g_3_zq2IW3Fd,19.12. 12:30,Shanxi Xing Rui W,Guangdong W,74,85,16,18,21,19,,25,16,21,23,
g_3_dh3EXq0j,19.12. 12:30,Tianjin W,Shaanxi Tianze W,100,82,28,25,28,19,,18,22,16,26,
g_3_roNwvnNM,19.12. 12:30,Zhejiang Golden Bulls W,Inner Mongolia W,75,67,28,22,8,17,,14,14,18,21,
g_3_zLJVu8hA,17.12. 13:00,Xinjiang W,Shanxi Xing Rui W,107,88,34,24,29,20,,15,29,16,28,
g_3_ITKCPn8T,17.12. 12:30,Guangdong W,Sichuan W,92,50,28,18,31,15,,13,11,11,15,
