matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_CQ8tYVUH,23.11. 00:00,Team Cali,Titanes de Barranquilla,61,75,14,22,15,10,,17,17,18,23,
g_3_vHQyOkdh,22.11. 02:00,Team Cali,Titanes de Barranquilla,68,83,7,19,19,23,,26,25,15,17,
g_3_dhyXOVtn,20.11. 01:40,Titanes de Barranquilla,Team Cali,76,86,18,22,13,23,,25,14,22,25,
g_3_I1xTPBRu,19.11. 01:40,Titanes de Barranquilla,Team Cali,99,68,31,25,28,15,,11,12,18,27,
g_3_2BNC3G0H,16.11. 22:00,Team Cali,Bucaros,88,75,31,20,22,15,,20,23,23,9,
g_3_pQc1ZCzH,16.11. 20:00,Titanes de Barranquilla,Tigrillos de Antioqui,88,59,30,15,21,22,,12,16,15,16,
g_3_MNt3L3BK,15.11. 02:00AOT,Bucaros,Team Cali,93,92,20,22,18,19,14,21,22,15,21,13
g_3_0Eu7KNQQ,14.11. 23:00,Tigrillos de Antioqui,Titanes de Barranquilla,98,97,16,25,28,29,,29,18,26,24,
g_3_6gPmlNYj,14.11. 03:30,Titanes de Barranquilla,Tigrillos de Antioqui,107,81,27,27,28,25,,27,10,24,20,
g_3_f9IVC6Bi,14.11. 01:30,Team Cali,Bucaros,91,80,24,28,13,26,,24,17,26,13,
g_3_SbWq9hDO,12.11. 20:00,Sabios de Manizales,Piratas de Bogota,94,89,25,22,22,25,,21,17,15,36,
g_3_p4rgz7x9,12.11. 02:00,Team Cali,Titanes de Barranquilla,82,81,19,21,18,24,,14,20,20,27,
g_3_6DqkymN2,11.11. 21:55,Piratas de Bogota,Bucaros,88,105,17,17,32,22,,32,23,26,24,
g_3_fPx4DqVe,11.11. 03:10,Tigrillos de Antioqui,Condores de Cundinamarca,105,66,34,21,21,29,,14,17,19,16,
g_3_hAe7C3p2,11.11. 01:10,Sabios de Manizales,Cimarrones del Choco,89,83,23,21,20,25,,16,20,29,18,
g_3_fy7awXlI,10.11. 01:40,Bucaros,Team Cali,58,74,26,19,7,6,,13,28,14,19,
g_3_Gp8evDZB,09.11. 19:40,Titanes de Barranquilla,Piratas de Bogota,106,91,31,22,30,23,,16,24,24,27,
g_3_lOyaugK5,09.11. 00:00AOT,Cimarrones del Choco,Tigrillos de Antioqui,101,99,26,18,25,23,9,27,15,26,24,7
g_3_AXxetZ4a,08.11. 22:05,Condores de Cundinamarca,Sabios de Manizales,75,78,17,14,21,23,,18,16,21,23,
g_3_C0maEPFk,08.11. 02:30,Piratas de Bogota,Team Cali,69,90,22,13,16,18,,17,19,24,30,
g_3_Y9leF50q,08.11. 00:00,Cimarrones del Choco,Condores de Cundinamarca,92,87,21,22,27,22,,27,17,14,29,
g_3_tIdTJohS,06.11. 22:00,Titanes de Barranquilla,Bucaros,96,92,23,23,23,27,,20,24,21,27,
g_3_2RcPKRxM,06.11. 19:00,Sabios de Manizales,Tigrillos de Antioqui,95,80,21,19,25,30,,17,15,22,26,
g_3_GAwisFkg,06.11. 01:40,Cimarrones del Choco,Team Cali,73,85,12,19,23,19,,23,20,22,20,
g_3_27Znrezm,05.11. 19:40,Condores de Cundinamarca,Piratas de Bogota,102,98,30,17,27,28,,29,26,17,26,
g_3_rJME03jE,05.11. 01:40,Bucaros,Tigrillos de Antioqui,86,87,19,15,25,27,,19,25,22,21,
g_3_KrprqyLt,04.11. 19:40,Titanes de Barranquilla,Sabios de Manizales,99,84,22,15,30,32,,24,15,14,31,
g_3_K28KL7NF,03.11. 19:40,Team Cali,Condores de Cundinamarca,85,71,25,19,20,21,,18,7,18,28,
g_3_6a4GMm89,03.11. 17:05,Piratas de Bogota,Cimarrones del Choco,110,91,31,22,27,30,,20,16,22,33,
g_3_Yo68O9wc,03.11. 02:10,Sabios de Manizales,Bucaros,81,87,16,23,24,18,,25,19,17,26,
g_3_Cx5CNTh3,02.11. 19:05,Tigrillos de Antioqui,Titanes de Barranquilla,64,95,17,16,15,16,,27,25,21,22,
g_3_lIA7k6Ym,02.11. 02:00,Team Cali,Sabios de Manizales,81,61,23,27,19,12,,14,15,21,11,
g_3_f3TWyKDD,02.11. 00:00,Titanes de Barranquilla,Cimarrones del Choco,82,74,19,19,25,19,,23,19,14,18,
g_3_GCUSx0b7,01.11. 22:10,Bucaros,Condores de Cundinamarca,91,94,17,21,12,41,,15,31,24,24,
g_3_YmuOwtq1,01.11. 02:00,Team Cali,Tigrillos de Antioqui,68,72,16,20,15,17,,14,15,21,22,
g_3_MDyKvMTf,01.11. 00:00,Piratas de Bogota,Sabios de Manizales,89,92,32,12,19,26,,15,19,37,21,
g_3_f31T06oj,31.10. 01:40,Condores de Cundinamarca,Titanes de Barranquilla,77,95,21,20,21,15,,25,25,24,21,
g_3_Yg0XaQ0d,30.10. 19:40,Cimarrones del Choco,Bucaros,79,90,19,26,17,17,,23,16,21,30,
g_3_0t2P1nWq,30.10. 01:45,Sabios de Manizales,Team Cali,45,92,11,15,7,12,,30,18,26,18,
g_3_OKAc6SNS,29.10. 19:40,Tigrillos de Antioqui,Piratas de Bogota,92,91,17,20,23,32,,25,25,18,23,
g_3_6DcQdPKg,29.10. 01:40,Bucaros,Sabios de Manizales,92,74,22,19,17,34,,15,16,21,22,
g_3_SjxGu2El,28.10. 01:40,Titanes de Barranquilla,Team Cali,87,59,29,27,17,14,,6,10,17,26,
