matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_8bPEvLE7,17.07. 02:30,Caimanes del Llano,Paisas,71,91,9,28,17,17,,28,13,21,29,
g_3_nqy6tspe,14.07. 00:30AOT,Paisas,Caimanes del Llano,85,80,19,8,18,22,18,18,18,10,21,13
g_3_vJXcr3Fr,13.07. 03:30,Paisas,Caimanes del Llano,104,95,26,25,27,26,,21,20,21,33,
g_3_fB1AS8WH,10.07. 02:30,Caimanes del Llano,Toros del Valle,89,65,24,16,19,30,,22,15,18,10,
g_3_lWarWp5D,07.07. 02:30,Caribbean Storm Islands,Paisas,79,108,16,23,22,18,,24,36,26,22,
g_3_CMIduIV1,07.07. 00:30,Toros del Valle,Caimanes del Llano,86,80,31,20,14,21,,20,15,17,28,
g_3_pCYHn0wS,06.07. 02:30,Caribbean Storm Islands,Paisas,118,74,24,36,26,32,,14,12,26,22,
g_3_4dFlsv1k,06.07. 00:30,Toros del Valle,Caimanes del Llano,83,88,15,30,21,17,,19,20,26,23,
g_3_0SfBl3zG,03.07. 02:30,Caimanes del Llano,Toros del Valle,94,77,18,23,31,22,,21,19,19,18,
g_3_C6EGSLDd,03.07. 00:30,Paisas,Caribbean Storm Islands,97,74,21,35,21,20,,25,17,21,11,
g_3_GvL7Usqp,02.07. 02:35,Paisas,Caribbean Storm Islands,84,81,18,19,25,22,,15,23,20,23,
g_3_vD62jP53,02.07. 00:30,Caimanes del Llano,Toros del Valle,64,65,17,15,22,10,,18,11,15,21,
g_3_j72IxzqC,29.06. 01:30,Caribbean Storm Islands,Motilones del Norte,97,95,30,11,24,32,,16,22,29,28,
g_3_U72tWJxf,28.06. 03:30,Caribbean Storm Islands,Motilones del Norte,87,63,19,36,19,13,,18,18,11,16,
g_3_xAN1w2pK,28.06. 01:00,Toros del Valle,Sabios de Manizales,78,70,13,19,25,21,,15,17,10,28,
g_3_8hEXXu8s,25.06. 03:30,Motilones del Norte,Caribbean Storm Islands,79,73,23,20,24,12,,28,17,10,18,
g_3_M1uFFbhD,25.06. 01:30,Sabios de Manizales,Toros del Valle,83,87,17,22,23,21,,16,16,25,30,
g_3_M7WrSY0T,22.06. 02:00,Caimanes del Llano,Cimarrones del Choco,99,89,24,24,21,30,,24,19,17,29,
g_3_GATzUfWG,22.06. 00:00,Toros del Valle,Caribbean Storm Islands,90,76,20,15,27,28,,18,25,19,14,
g_3_KrzSVG14,21.06. 03:30,Caimanes del Llano,Cimarrones del Choco,75,30,14,19,19,23,,2,13,6,9,
g_3_nVyKXxXi,21.06. 01:30,Toros del Valle,Caribbean Storm Islands,90,93,21,27,21,21,,19,26,26,22,
g_3_WMgX9Zvo,20.06. 03:30,Paisas,Piratas de Bogota,89,64,27,22,25,15,,13,18,20,13,
g_3_zwg2FeHN,20.06. 01:30AOT,Motilones del Norte,Sabios de Manizales,91,85,19,23,18,19,12,16,20,26,17,6
g_3_EN4gHHnB,19.06. 03:30,Motilones del Norte,Sabios de Manizales,74,70,17,10,29,18,,16,14,15,25,
g_3_6c1oJwIb,19.06. 01:30,Paisas,Piratas de Bogota,104,78,27,31,25,21,,19,13,29,17,
g_3_AV7xLamn,18.06. 02:35,Caribbean Storm Islands,Cimarrones del Choco,76,62,26,25,14,11,,21,15,11,15,
g_3_K2dRDrtJ,18.06. 00:30,Caimanes del Llano,Toros del Valle,57,67,16,11,11,19,,12,18,14,23,
g_3_Q33IF4B6,17.06. 03:30,Caribbean Storm Islands,Cimarrones del Choco,88,48,32,17,16,23,,11,12,13,12,
g_3_Iw0AHQtf,17.06. 01:30,Caimanes del Llano,Toros del Valle,70,59,13,17,27,13,,12,15,17,15,
g_3_dOB1JnCs,16.06. 00:00,Sabios de Manizales,Piratas de Bogota,80,66,20,18,25,17,,19,19,14,14,
g_3_6u8FMCOj,15.06. 18:00,Motilones del Norte,Paisas,67,79,21,18,10,18,,28,15,16,20,
g_3_QuLVO8lK,15.06. 03:05,Sabios de Manizales,Piratas de Bogota,80,76,18,24,17,21,,12,22,23,19,
g_3_ncGj15dD,14.06. 18:00,Motilones del Norte,Paisas,82,70,24,24,11,23,,21,20,15,14,
g_3_zoVGnq6c,14.06. 01:30,Cimarrones del Choco,Caribbean Storm Islands,80,92,17,23,19,21,,22,25,29,16,
g_3_AiBxPuEj,14.06. 01:00,Toros del Valle,Caimanes del Llano,85,74,23,13,25,24,,17,23,18,16,
g_3_ELP6U1jT,13.06. 02:00,Toros del Valle,Caimanes del Llano,69,72,28,17,10,14,,25,20,18,9,
