matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_pzHvKm4g,17.02. 20:00,Cibona,Zadar,68,80,12,15,27,14,,13,25,23,19,
g_3_xC8wufcK,16.02. 20:00,Cedevita Junior,Zadar,72,83,25,20,9,18,,22,13,23,25,
g_3_Qy5ZuzrE,16.02. 17:00,Dubrava,Cibona,67,80,14,20,15,18,,22,21,20,17,
g_3_KKa1AGb5,14.02. 20:00,Zadar,Split,80,73,16,30,16,18,,20,18,20,15,
g_3_Sp398fTH,14.02. 17:00,Kvarner,Cibona,67,82,20,11,11,25,,19,16,27,20,
g_3_lf459zEB,13.02. 20:00,Cedevita Junior,Dinamo Zagreb,102,95,35,21,26,20,,18,21,25,31,
g_3_tU0cBdqa,13.02. 17:00,Dubrava,Osijek,87,70,20,22,24,21,,14,22,11,23,
g_3_vPE4M7YK,23.12. 18:30,Zabok,Split,64,88,15,21,14,14,,16,22,26,24,
g_3_ze0zHodr,12.12. 18:00,Cibona,Skrljevo,101,75,30,19,34,18,,13,22,14,26,
g_3_ADhmEqt1,06.12. 21:00,Jazine,Cedevita Junior,75,89,18,15,25,17,,20,21,24,24,
g_3_4l7jD3e7,29.11. 19:00,Dinamo Zagreb,GKK Sibenka,95,81,30,27,22,16,,20,22,19,20,
g_3_WMgqFPQf,29.11. 18:00,Zadar,Dubrovnik,84,56,19,23,23,19,,15,18,6,17,
g_3_lb4vG5Bl,29.11. 17:00,Bosco,Dubrava,48,90,16,8,13,11,,19,25,23,23,
g_3_fDzFlEWQ,29.11. 17:00,Kvarner,Samobor,88,85,23,24,20,21,,24,25,13,23,
g_3_IFD8LRmR,29.11. 17:00,Osijek,Alkar,81,78,28,18,19,16,,24,18,17,19,
