matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_dto6dN8e,15.02. 20:00,Alkar,Split,60,77,8,16,19,17,,25,17,21,14,
g_3_fmPn3kAC,14.02. 20:00,Split,Cibona,85,59,15,23,25,22,,17,15,15,12,
g_3_pvBzEbXP,14.02. 17:00AOT,Alkar,Cedevita Junior,72,62,21,13,16,8,14,14,16,19,9,4
g_3_Y1lL37Kj,12.02. 20:00,Split,Zadar,71,70,21,18,16,16,,21,22,15,12,
g_3_SMdm7tRr,12.02. 17:00,Kastela,Alkar,49,77,9,11,20,9,,22,17,20,18,
g_3_MNUFPlsA,11.02. 20:00,Zabok,Cedevita Junior,85,87,23,19,20,23,,13,17,24,33,
g_3_Qey7RACc,11.02. 17:00,Cibona,Marsonia,90,85,26,21,18,25,,24,29,9,23,
g_3_OAsRts9C,23.12. 18:00,Split,GKK Sibenka,83,71,25,19,27,12,,15,13,21,22,
g_3_U7pZvLwP,16.12. 18:30,Samobor,Zadar,55,87,22,19,6,8,,20,26,26,15,
g_3_rF0ksBKh,12.12. 20:00,Kvarner,Cedevita Junior,78,84,15,28,20,15,,26,20,20,18,
g_3_Cfh6wTJH,11.12. 19:00,Cibona,Dubrava,81,72,28,22,17,14,,19,24,21,8,
g_3_zkcsqXkt,04.12. 19:00,Dubrovnik,Zabok,69,84,13,19,18,19,,28,24,16,16,
g_3_vsfbukk5,03.12. 18:00,Marsonia,Dinamo Zagreb,86,85,24,22,19,21,,22,25,16,22,
g_3_SrlIr3v0,03.12. 18:00,Skrljevo,Alkar,70,85,21,15,19,15,,18,27,20,20,
g_3_I7N6y7lU,27.11. 18:00,Kastela,Osijek,88,73,26,20,20,22,,21,17,18,17,
