matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_zawhZkST,10.06. 18:00,Cibona,Zadar,95,73,24,27,22,22,,21,22,10,20,
g_3_Ey58aZiT,08.06. 18:00,Zadar,Cibona,71,78,16,20,17,18,,19,22,14,23,
g_3_APHMyUtq,05.06. 18:00,Cibona,Zadar,87,81,21,24,15,27,,17,16,19,29,
g_3_hpVftAYR,01.06. 18:00,Zadar,Cibona,77,72,20,20,16,21,,13,13,23,23,
g_3_CUZerjJL,29.05. 20:00,Cibona,Zadar,76,80,20,12,19,25,,21,13,24,22,
g_3_IDTblSYD,23.05. 17:30,Zagreb,Cibona,65,78,15,12,18,20,,17,14,30,17,
g_3_d4S2mnlK,22.05. 17:30,Cedevita,Zadar,83,76,12,24,22,25,,19,15,17,25,
g_3_SnJYsQBs,19.05. 18:30,Cibona,Zagreb,93,75,20,27,23,23,,17,18,25,15,
g_3_QwX6n63Q,19.05. 18:00,Zadar,Cedevita,83,63,21,22,21,19,,14,11,19,19,
g_3_tzPXtooh,16.05. 17:30,Zagreb,Cibona,73,76,21,16,21,15,,20,23,19,14,
g_3_0xuZvPF4,15.05. 20:00,Zadar,Trogir,87,71,22,22,26,17,,19,16,20,16,
g_3_KQNyt50b,15.05. 19:00,Osijek,Zabok,67,68,21,10,15,21,,16,14,17,21,
g_3_ro2ovqVA,14.05. 19:00,Cedevita,Slavonski Brod,100,83,23,24,26,27,,22,17,29,15,
g_3_lf97isrD,12.05. 19:00,Slavonski Brod,Zagreb,76,98,19,16,10,31,,23,29,29,17,
g_3_Sp8Bj1cJ,12.05. 18:15,Cibona,Zadar,91,68,21,20,21,29,,15,15,15,23,
g_3_Y9LPr7Gu,11.05. 19:00,Trogir,Osijek,91,89,27,26,9,29,,19,22,22,26,
g_3_nDPTsRVo,11.05. 19:00,Zabok,Cedevita,77,96,25,19,16,17,,17,26,32,21,
g_3_0nhrZRpE,09.05. 17:30,Zagreb,Zadar,101,75,25,30,26,20,,18,15,25,17,
g_3_EkdnYo0K,08.05. 19:00,Osijek,Cibona,76,86,23,18,17,18,,21,20,21,24,
g_3_bNXISPNs,08.05. 19:00,Slavonski Brod,Zabok,100,90,29,28,22,21,,20,27,27,16,
g_3_dEoiX5FQ,08.05. 17:00,Cedevita,Trogir,97,70,35,14,26,22,,15,24,15,16,
g_3_S2LjyPhg,05.05. 20:00,Zadar,Osijek,80,52,14,22,26,18,,17,10,13,12,
g_3_MPKfzq8a,05.05. 18:30,Cibona,Cedevita,91,79,20,18,35,18,,17,19,15,28,
g_3_4Ys7Z2N5,04.05. 19:00,Trogir,Slavonski Brod,80,89,18,26,20,16,,24,22,26,17,
g_3_M9xCYMxC,04.05. 19:00,Zabok,Zagreb,84,97,20,26,21,17,,27,25,24,21,
g_3_KUXsmZuo,02.05. 17:30,Cedevita,Zadar,89,96,23,25,18,23,,23,22,27,24,
g_3_l2VDAIIo,01.05. 19:00,Zabok,Trogir,93,89,25,22,15,31,,19,25,16,29,
g_3_lrBA5sdC,30.04. 19:00,Slavonski Brod,Cibona,88,108,21,23,27,17,,27,24,34,23,
g_3_r5AE41BI,30.04. 19:00,Zagreb,Osijek,82,68,16,26,20,20,,19,15,16,18,
g_3_d0EEEoZP,28.04. 18:30,Cibona,Zabok,103,66,29,27,22,25,,24,20,12,10,
g_3_2sisA5ss,27.04. 19:00,Trogir,Zagreb,69,86,28,10,15,16,,23,22,21,20,
g_3_tYko9Pdm,27.04. 18:00,Osijek,Cedevita,68,95,18,18,19,13,,20,21,25,29,
g_3_hGH173Ra,27.04. 18:00,Zadar,Slavonski Brod,130,73,32,24,43,31,,15,25,15,18,
g_3_CMioH23A,21.04. 18:00,Cedevita,Zagreb,98,76,29,19,27,23,,17,20,14,25,
g_3_nHJTN066,18.04. 19:00,Slavonski Brod,Osijek,90,81,18,29,25,18,,26,22,15,18,
g_3_8QKPOti0,18.04. 18:00,Trogir,Cibona,72,95,20,14,17,21,,22,35,18,20,
g_3_Uu9YMKLC,18.04. 17:30,Zagreb,Cedevita,72,80,14,23,21,14,,7,25,22,26,
g_3_rqDxMvyJ,17.04. 19:00,Zabok,Zadar,82,96,19,27,13,23,,19,24,29,24,
g_3_rPSiu2ys,17.04. 18:00,Dubrovnik,Sonik Puntamika,73,83,16,19,19,19,,22,10,18,33,
g_3_MFRevMjm,17.04. 18:00,GKK Sibenka,Dubrava,85,76,,,,,,,,,,
g_3_GxRawt6g,17.04. 18:00,Split,Kastela,75,71,22,17,16,20,,17,10,20,24,
g_3_ITVs5cjM,14.04. 19:00,Slavonski Brod,Cedevita,74,86,15,19,19,21,,21,23,25,17,
g_3_O6Ww6wyG,14.04. 19:00,Trogir,Zadar,73,93,19,21,20,13,,29,16,25,23,
g_3_0xgf4H5S,14.04. 18:30,Cibona,Zagreb,87,70,17,23,19,28,,18,18,13,21,
g_3_rcdJbeTk,14.04. 18:15,Kastela,GKK Sibenka,96,90,17,22,27,30,,13,20,23,34,
