matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_4WcJUwKc,09.05. 18:00,Ragusa Dubrovnik W,Tresnjevka 2009 W,78,48,28,16,15,19,,10,11,19,8,
g_3_SI4nELT6,06.05. 18:00,Tresnjevka 2009 W,Ragusa Dubrovnik W,60,74,15,15,12,18,,19,23,20,12,
g_3_CvIuB0GC,03.05. 18:00,Ragusa Dubrovnik W,Tresnjevka 2009 W,78,57,18,21,20,19,,17,18,5,17,
g_3_lrbDFBmU,01.05. 15:00,Zadar W,Split W,61,80,14,12,18,17,,17,24,21,18,
g_3_8WxbzYYP,29.04. 18:00,Tresnjevka 2009 W,KAZL Split W,84,44,17,25,22,20,,8,11,17,8,
g_3_tIb9GiYN,29.04. 15:15,Split W,Zadar W,78,60,21,23,15,19,,8,15,20,17,
g_3_KCqh0OMA,26.04. 17:30,Novi Zagreb W,Ragusa Dubrovnik W,42,66,12,13,8,9,,15,15,16,20,
g_3_YFmdarxH,26.04. 16:45,KAZL Split W,Tresnjevka 2009 W,75,67,22,17,16,20,,12,15,17,23,
g_3_plODHW5p,20.04. 18:00,Ragusa Dubrovnik W,Novi Zagreb W,67,55,16,23,10,18,,17,18,11,9,
g_3_hh0pZbyI,20.04. 18:00,Tresnjevka 2009 W,KAZL Split W,71,65,18,12,16,25,,21,15,16,13,
g_3_A79lmYnt,06.04. 16:45,KAZL Split W,Medvescak W,44,60,11,9,13,11,,13,17,18,12,
g_3_pShwtHuD,02.04. 18:00,Tresnjevka 2009 W,Split W,92,49,19,29,17,27,,14,9,12,14,
g_3_OC4UswB0,01.04. 16:00,FSV Rijeka W,Orka W,79,54,23,22,12,22,,13,12,17,12,
g_3_bVdsuyeJ,01.04. 16:00,Plamen Pozega W,Novi Zagreb W,52,72,9,12,21,10,,16,23,15,18,
g_3_lb8hnh2n,01.04. 16:00,Ragusa Dubrovnik W,Sibenik W,81,61,16,18,31,16,,8,21,12,20,
g_3_233YtcQ6,01.04. 15:30,Brod na Savi W,Pula Moviter W,84,73,26,18,22,18,,10,20,15,28,
g_3_fw0QrJef,26.03. 16:30,Orka W,Brod na Savi W,53,98,12,14,7,20,,25,30,27,16,
g_3_YNBHpuRs,26.03. 15:15,Split W,Plamen Pozega W,54,81,14,8,22,10,,18,27,20,16,
g_3_Gn1Mqatl,25.03. 20:00,Pula Moviter W,Tresnjevka 2009 W,62,70,17,14,7,24,,16,16,22,16,
g_3_48Loj13K,25.03. 18:00,Medvescak W,Ragusa Dubrovnik W,49,58,14,13,7,15,,17,16,14,11,
g_3_QHMsislE,25.03. 18:00,Sibenik W,FSV Rijeka W,67,62,20,21,16,10,,15,19,14,14,
g_3_bVKkkLIQ,25.03. 17:00,Novi Zagreb W,KAZL Split W,64,73,11,14,17,22,,19,19,9,26,
g_3_GnuiUJt1,19.03. 15:15,KAZL Split W,Split W,92,48,19,28,23,22,,12,9,15,12,
g_3_l0waScBD,18.03. 19:00,Sibenik W,Medvescak W,69,56,12,24,16,17,,10,14,12,20,
g_3_KKorWuCl,18.03. 18:00,Tresnjevka 2009 W,Orka W,116,42,24,35,33,24,,11,8,9,14,
g_3_tUnvXLdr,18.03. 17:00,FSV Rijeka W,Brod na Savi W,70,67,15,21,14,20,,17,13,22,15,
g_3_A9veTwd7,18.03. 16:00,Ragusa Dubrovnik W,Novi Zagreb W,70,53,13,18,20,19,,15,14,11,13,
