matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_tdPtEiKF,14.06. 20:00AOT,Split,Zadar,65,67,10,20,20,10,5,16,8,19,17,7
g_3_67K8iNVG,11.06. 20:00,Split,Zadar,74,73,24,21,18,11,,19,21,20,13,
g_3_bsH0gq14,08.06. 20:00,Zadar,Split,79,65,23,23,15,18,,17,17,15,16,
g_3_UTw62ITj,05.06. 20:00,Zadar,Split,65,46,14,19,17,15,,8,11,12,15,
g_3_QXxnqsGU,31.05. 19:00,Split,Dinamo Zagreb,89,69,23,28,13,25,,10,22,17,20,
g_3_jJOHJGek,28.05. 19:00,Dinamo Zagreb,Split,55,88,16,13,13,13,,26,18,19,25,
g_3_U93JQ2Xq,26.05. 18:00,Cibona,Zadar,70,80,17,16,15,22,,17,21,20,22,
g_3_pKdpxPBG,25.05. 20:00,Split,Dinamo Zagreb,82,86,17,26,18,21,,29,14,17,26,
g_3_CYOhqBmB,23.05. 20:15,Zadar,Cibona,81,76,25,19,23,14,,17,28,11,20,
g_3_6RK6ceaE,21.05. 20:00,Split,Alkar,96,81,28,28,19,21,,30,14,13,24,
g_3_8bHSF57b,20.05. 19:00,Cibona,Kvarner,99,63,17,28,25,29,,15,19,13,16,
g_3_SjxK9dtK,18.05. 20:00,Dinamo Zagreb,Cedevita Junior,95,82,16,27,23,29,,20,29,12,21,
g_3_trUWmFJ0,18.05. 18:00,Alkar,Split,83,72,19,26,21,17,,14,18,22,18,
g_3_lpkhecRQ,17.05. 20:00,Kvarner,Cibona,88,68,17,22,24,25,,14,26,13,15,
g_3_beMak7w8,17.05. 18:00,Zabok,Zadar,65,87,17,10,13,25,,24,20,20,23,
g_3_j5Hqn5iR,17.05. 18:00,Mladost,Dubrovnik,84,94,20,21,27,16,,26,25,20,23,
g_3_0ppYoglD,15.05. 20:30,Cedevita Junior,Dinamo Zagreb,79,88,22,25,9,23,,21,14,26,27,
g_3_8UVOkykl,15.05. 19:00,Split,Alkar,97,71,22,27,22,26,,15,22,16,18,
g_3_tKopcJdE,14.05. 20:45,Cibona,Kvarner,84,73,17,20,29,18,,19,23,12,19,
g_3_hbJiiT8e,14.05. 19:00,Zadar,Zabok,81,55,21,18,20,22,,14,24,11,6,
g_3_IiJylRME,14.05. 18:00,Dubrovnik,Mladost,105,95,34,23,23,25,,28,15,27,25,
g_3_h23ayjuJ,10.05. 19:00,Cibona,Alkar,85,90,30,11,22,22,,17,28,22,23,
g_3_4SiquYuf,10.05. 18:00,Split,Osijek,118,49,31,24,32,31,,10,15,13,11,
g_3_0fohwCA6,09.05. 18:00,Cedevita Junior,GKK Sibenka,126,83,34,31,29,32,,15,24,24,20,
g_3_4tXHgXfm,09.05. 18:00,Kvarner,Dubrava,96,70,20,25,25,26,,23,23,15,9,
g_3_WEgysfBs,09.05. 18:00,Zadar,Dubrovnik,91,61,28,21,17,25,,15,11,13,22,
g_3_YctnagXP,08.05. 19:00,Dinamo Zagreb,Zabok,98,89,23,23,33,19,,29,19,18,23,
g_3_h4GcBdMk,04.05. 19:30,GKK Sibenka,Cibona,87,72,29,16,27,15,,25,19,16,12,
g_3_0UJ59zi2,04.05. 19:00,Zadar,Split,87,65,26,29,17,15,,10,18,23,14,
g_3_A108wL4k,04.05. 17:30,Dubrovnik,Dubrava,96,86,31,19,20,26,,21,16,27,22,
g_3_WGlHyaZ1,03.05. 19:00AOT,Zabok,Kvarner,105,111,20,33,19,24,9,28,22,21,25,15
g_3_vJ9xqssS,03.05. 17:00,Osijek,Cedevita Junior,58,136,18,13,10,17,,39,31,29,37,
g_3_xEy3a2R8,02.05. 19:00,Alkar,Dinamo Zagreb,63,62,13,19,18,13,,8,20,16,18,
g_3_YF3PT4xH,27.04. 21:00,Cibona,Osijek,148,38,33,39,41,35,,5,9,4,20,
g_3_dbzZOLkd,27.04. 16:00,Dinamo Zagreb,GKK Sibenka,86,71,19,18,28,21,,19,17,14,21,
g_3_riGTp3CF,26.04. 20:00,Dubrava,Zabok,100,105,24,26,22,28,,28,24,30,23,
g_3_Wj78Xnwh,26.04. 17:00,Split,Dubrovnik,93,89,24,19,22,28,,23,15,29,22,
g_3_SI0HVQ74,25.04. 20:00,Cedevita Junior,Zadar,81,95,16,26,17,22,,29,27,23,16,
g_3_AwILnPs3,25.04. 18:00,Kvarner,Alkar,98,92,24,23,23,28,,28,26,23,15,
g_3_40efW3cM,19.04. 19:30,GKK Sibenka,Kvarner,74,69,16,21,13,24,,19,11,18,21,
g_3_dzhnYPS9,19.04. 17:30,Alkar,Dubrava,85,71,22,20,23,20,,20,20,13,18,
g_3_jNMoznbc,19.04. 17:00,Dubrovnik,Zabok,75,91,18,20,22,15,,18,30,22,21,
g_3_vcKM9qoo,18.04. 20:00,Zadar,Cibona,85,71,16,22,17,30,,13,13,33,12,
g_3_lYWQQsLq,18.04. 17:00,Osijek,Dinamo Zagreb,65,119,14,11,12,28,,25,25,43,26,
g_3_KCwjF5NN,17.04. 19:00,Split,Cedevita Junior,87,67,13,31,23,20,,16,17,12,22,
g_3_WIkLJQDG,13.04. 20:00,Dubrava,GKK Sibenka,69,71,17,15,18,19,,27,18,17,9,
g_3_vqgTH4rT,13.04. 19:00,Zabok,Alkar,62,71,14,25,13,10,,13,19,21,18,
g_3_noQrHRhB,13.04. 18:00,Dinamo Zagreb,Zadar,78,100,19,24,18,17,,27,26,22,25,
