matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_v7yvi5jC,08.05. 18:00,Cedevita Junior,Dinamo Zagreb,82,78,25,10,26,21,,19,25,16,18,
g_3_hb11j44g,05.05. 20:15,Dinamo Zagreb,Cedevita Junior,88,80,26,15,26,21,,29,16,17,18,
g_3_by2cipkm,02.05. 18:00,Cedevita Junior,Dinamo Zagreb,85,75,21,25,13,26,,23,15,20,17,
g_3_GOr2TxXp,18.04. 17:00,Jazine,Dinamo Zagreb,52,113,10,14,16,12,,30,32,23,28,
g_3_rVzlitPi,17.04. 16:00,Kastela,Cedevita Junior,68,79,13,15,21,19,,18,25,21,15,
g_3_4vxphM9o,13.04. 18:00,Cedevita Junior,Kastela,88,58,29,20,18,21,,12,15,9,22,
g_3_EFdzYIOT,13.04. 18:00,Dinamo Zagreb,Jazine,104,89,34,26,23,21,,19,19,18,33,
g_3_UTaiJwu9,08.04. 20:30,Jazine,Omis,91,84,22,31,14,24,,25,20,26,13,
g_3_jw1mKJP2,27.03. 17:00,Dinamo Zagreb,Pula,79,75,16,22,18,23,,20,21,20,14,
g_3_AuHlIcfF,27.03. 17:00,Dubrovnik,Bosco,63,81,17,19,18,9,,24,20,17,20,
g_3_OW81dGXe,27.03. 17:00,Kastela,Cedevita Junior,87,80,23,20,20,24,,23,11,15,31,
g_3_t8JdcdIk,27.03. 17:00,Kvarner,Sesvete,103,89,26,18,36,23,,24,27,17,21,
g_3_xzD5ezm2,27.03. 17:00,Samobor,KK Zagreb,68,76,19,16,16,17,,21,11,26,18,
g_3_APSQ2IfS,20.03. 17:00,Cedevita Junior,Samobor,115,75,24,31,28,32,,26,21,10,18,
g_3_jPLE5KA9,20.03. 17:00,Omis,Dubrovnik,92,82,13,28,25,26,,26,19,22,15,
g_3_2HKhbx3q,20.03. 17:00,Sesvete,Kastela,93,95,22,17,30,24,,35,17,22,21,
g_3_d2MA60e3,20.03. 16:30,Bosco,Kvarner,99,63,28,30,22,19,,14,15,24,10,
g_3_lAvI4vQF,20.03. 16:00,Pula,Jazine,90,81,19,16,23,32,,12,18,29,22,
g_3_WYTM3buM,20.03. 12:30,KK Zagreb,Dinamo Zagreb,73,96,32,21,7,13,,18,28,22,28,
g_3_WKllkaQS,13.03. 18:00,Samobor,Sesvete,84,67,18,12,27,27,,12,14,23,18,
g_3_8ttGpJYq,13.03. 17:30,Cedevita Junior,Dinamo Zagreb,94,71,26,27,17,24,,16,13,27,15,
g_3_ldaqjuBM,13.03. 17:00,Kvarner,Kastela,79,68,27,18,17,17,,10,14,17,27,
g_3_IBN67ttc,13.03. 16:30,Bosco,Omis,68,77,12,14,19,23,,21,17,14,25,
g_3_tfvOrc3d,13.03. 16:00,Dubrovnik,Pula,93,79,25,21,20,27,,16,18,17,28,
g_3_23uKqwlj,13.03. 15:00,Jazine,KK Zagreb,87,77,23,15,19,30,,25,16,20,16,
g_3_SM8Of3di,06.03. 18:30,Cedevita Junior,Jazine,96,85,24,17,28,27,,20,21,23,21,
g_3_tQCSgNBc,06.03. 18:00,Sesvete,Dinamo Zagreb,70,84,20,15,12,23,,21,16,21,26,
g_3_2u1yh1tA,06.03. 17:00,Omis,Kvarner,66,72,23,7,25,11,,21,21,9,21,
g_3_A50uiLeG,06.03. 16:00,Pula,Bosco,65,77,12,16,21,16,,16,24,16,21,
g_3_Ol2XhsR3,06.03. 15:30AOT,Kastela,Samobor,90,83,19,26,14,17,14,18,23,14,21,7
g_3_EJKtWJJj,06.03. 14:30,KK Zagreb,Dubrovnik,67,98,20,21,11,15,,21,26,28,23,
g_3_G86h6c0R,03.03. 16:00,Pula,Dinamo Zagreb,77,82,29,10,25,13,,21,25,12,24,
g_3_MLu2w2RG,28.02. 15:30,Jazine,Sesvete,95,71,30,25,27,13,,21,18,18,14,
g_3_AoxbvrCA,28.02. 13:30,Dinamo Zagreb,Kastela,80,64,24,13,26,17,,10,23,7,24,
g_3_Gru6xMtN,27.02. 17:00,Dubrovnik,Cedevita Junior,83,114,26,22,23,12,,32,27,30,25,
g_3_SMnguOd4,27.02. 17:00,Kvarner,Samobor,81,64,26,17,22,16,,15,8,18,23,
g_3_zTLxXa4p,27.02. 17:00,Omis,Pula,84,75,19,22,25,18,,23,15,17,20,
g_3_fZwAytdT,27.02. 16:30,Bosco,KK Zagreb,101,70,32,20,27,22,,14,18,12,26,
g_3_GMoRKdFK,24.02. 16:00AOT,Pula,Samobor,91,99,19,25,15,24,8,14,26,25,18,16
g_3_t6psrQCo,21.02. 13:30,KK Zagreb,Omis,81,95,26,22,16,17,,25,27,14,29,
