matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_bmfyJMLQ,21.04. 18:00,Keravnos,AEK Larnaca,65,72,20,18,17,10,,20,17,17,18,
g_3_p2Bhhhui,17.04. 17:00,AEK Larnaca,Keravnos,72,75,22,18,18,14,,23,19,15,18,
g_3_lK9DmeAB,14.04. 18:00,Keravnos,AEK Larnaca,87,67,26,19,27,15,,13,23,15,16,
g_3_6eK8lye5,10.04. 16:00,AEK Larnaca,Keravnos,67,53,19,18,15,15,,9,17,16,11,
g_3_S4L4kHua,07.04. 19:15,Keravnos,AEK Larnaca,86,88,25,17,26,18,,22,24,22,20,
g_3_fFPmikmm,31.03. 19:00,AEK Larnaca,Paralimni,88,73,24,18,26,20,,20,19,12,22,
g_3_xvFhj92g,30.03. 18:30,Keravnos,Apoel BC,93,84,29,20,23,21,,19,20,25,20,
g_3_lQjMgJ5h,27.03. 17:30,Apoel BC,Keravnos,66,95,22,17,13,14,,26,21,25,23,
g_3_hbcDeuyt,27.03. 15:30,Paralimni,AEK Larnaca,77,81,29,9,21,18,,26,21,16,18,
g_3_GxM7zd5U,24.03. 19:00,AEK Larnaca,Paralimni,102,62,29,25,21,27,,16,20,17,9,
g_3_611Hfajn,23.03. 19:00,Keravnos,Apoel BC,90,58,20,29,24,17,,23,10,12,13,
g_3_nFwGKSf3,17.03. 18:00,Apoel BC,Keravnos,82,81,21,15,23,23,,13,27,26,15,
g_3_6J0TdP2d,17.03. 18:00,Apollon,Omonia,82,67,26,18,19,19,,19,19,19,10,
g_3_8OvCL8uc,17.03. 18:00,Paralimni,AEK Larnaca,78,70,22,14,22,20,,19,21,13,17,
g_3_2FRa6aml,03.03. 17:30,AEK Larnaca,Apollon,86,62,14,27,31,14,,6,14,17,25,
g_3_4vnPC1AK,03.03. 17:30,Keravnos,Paralimni,78,72,22,16,21,19,,13,19,15,25,
g_3_lCNe7uYs,03.03. 17:30AOT,Omonia,Apoel BC,86,88,23,15,22,14,12,12,26,15,21,14
g_3_GjXHgvyj,28.02. 17:00,AEL,ETHA Engomi,63,94,14,18,15,16,,30,23,26,15,
g_3_z5sLDseE,28.02. 17:00,Apollon,Keravnos,71,85,24,10,20,17,,10,32,27,16,
g_3_dErHENu8,28.02. 17:00,Paralimni,Apoel BC,68,71,13,23,7,25,,15,11,20,25,
g_3_htIz6Vy8,28.02. 15:00,AEK Larnaca,Omonia,83,68,26,13,18,26,,12,26,15,15,
g_3_YRsDfKLq,25.02. 18:30,ETHA Engomi,AEL,90,56,29,17,23,21,,9,17,7,23,
g_3_feaX6BM1,25.02. 17:00,Omonia,Paralimni,59,78,19,9,17,14,,19,22,21,16,
g_3_0YaT7i7e,25.02. 16:30,Keravnos,AEK Larnaca,80,70,31,17,14,18,,15,17,20,18,
g_3_Ms1P8Xik,24.02. 16:00,Apoel BC,Apollon,78,71,19,23,17,19,,15,21,15,20,
g_3_6atOEnWQ,21.02. 15:00AOT,AEL,Apop Paphou,91,98,16,26,17,23,9,26,17,19,20,16
g_3_S8sKFSGK,13.02. 14:00,ETHA Engomi,AEL,79,52,27,14,16,22,,15,13,15,9,
g_3_bZxGG81E,10.02. 18:00,Apop Paphou,ETHA Engomi,78,89,12,29,13,24,,17,20,28,24,
g_3_lzdVdcWp,10.02. 18:00,AEK Larnaca,Apoel BC,106,76,26,32,28,20,,27,15,14,20,
g_3_2wpDLt9o,10.02. 18:00,Apollon,Paralimni,78,84,22,21,11,24,,20,24,21,19,
g_3_nR931wOT,10.02. 18:00,Keravnos,Omonia,86,69,24,20,20,22,,12,17,23,17,
g_3_Cp15PREI,08.02. 17:00,Omonia,Paralimni,65,67,15,24,11,15,,16,19,15,17,
g_3_p0nMZBxQ,03.02. 19:00,Omonia,Apop Paphou,87,64,22,20,26,19,,25,13,14,12,
g_3_GrwhUk0m,30.01. 15:00,AEL,Omonia,52,71,12,16,19,5,,18,17,16,20,
