matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_jTDRdfm0,30.04. 19:15,Svendborg,Bakken Bears,76,79,24,24,13,15,,22,16,19,22,
g_3_IqHoNiwB,26.04. 19:15,Bakken Bears,Svendborg,63,65,14,17,8,24,,18,20,12,15,
g_3_2XU7Sfpf,23.04. 19:15,Svendborg,Bakken Bears,62,93,9,17,26,10,,21,21,27,24,
g_3_OtW3TzVm,19.04. 19:15,Bakken Bears,Svendborg,61,60,7,19,23,12,,15,18,16,11,
g_3_GGWaUGFs,16.04. 19:15,Svendborg,Bakken Bears,68,81,17,15,20,16,,28,12,21,20,
g_3_E7pYYd7Q,16.04. 19:00,Team FOG Naestved,Horsens,93,48,22,17,20,34,,13,13,16,6,
g_3_WreTZxhK,12.04. 19:15,Bakken Bears,Svendborg,52,61,13,16,8,15,,14,16,17,14,
g_3_fecsISQt,09.04. 19:15,Svendborg,Team FOG Naestved,90,75,17,29,18,26,,20,14,21,20,
g_3_GhUNGvEr,05.04. 19:15,Team FOG Naestved,Svendborg,76,74,23,11,19,23,,22,20,8,24,
g_3_Mcag8Fjq,02.04. 19:15,Bakken Bears,Horsens,93,85,14,22,24,33,,27,11,23,24,
g_3_GGMQCerS,02.04. 19:00,Svendborg,Team FOG Naestved,79,69,18,23,20,18,,22,19,12,16,
g_3_AJJIEHDF,29.03. 19:15,Team FOG Naestved,Svendborg,73,65,19,21,10,23,,23,14,10,18,
g_3_4tJMDyTL,28.03. 19:00,Horsens,Bakken Bears,87,93,26,15,23,23,,22,24,20,27,
g_3_WSKEFcb9,26.03. 19:15,Bakken Bears,Horsens,84,74,20,17,25,22,,17,21,22,14,
g_3_EiQ9Gwq3,26.03. 19:00,Svendborg,Team FOG Naestved,74,70,19,18,16,21,,17,22,9,22,
g_3_QVVdM9x3,21.03. 19:00,Team FOG Naestved,Horsholm,77,56,24,16,18,19,,10,23,15,8,
g_3_0f3qChpp,19.03. 19:00AOT,Horsholm,Team FOG Naestved,93,90,25,21,25,11,11,22,20,22,18,8
g_3_rZjqsPbD,19.03. 19:00,Sisu,Horsens,84,87,21,28,24,11,,15,21,29,22,
g_3_hSd3YlKu,17.03. 16:30,Aabyhoj,Herlev Wolfpack,86,74,27,21,20,18,,27,10,24,13,
g_3_0d849dmd,15.03. 19:15,Bakken Bears,Aalborg,95,78,30,16,25,24,,19,22,20,17,
g_3_G4jiXau3,15.03. 19:10,Team FOG Naestved,Horsholm,65,77,23,19,13,10,,21,21,12,23,
g_3_ARkeWJf9,15.03. 19:00,Horsens,Sisu,96,84,22,27,30,17,,20,21,16,27,
g_3_21nmYuQd,15.03. 19:00,Svendborg,Vaerlose,100,72,22,30,23,25,,18,20,19,15,
g_3_YshOTQYA,12.03. 19:00,Aalborg,Bakken Bears,62,87,19,8,21,14,,18,28,22,19,
g_3_hW4dBIIq,12.03. 19:00,Horsholm,Team FOG Naestved,73,74,19,14,22,18,,22,20,17,15,
g_3_M590AxYk,12.03. 19:00,Sisu,Horsens,92,90,28,11,20,33,,30,22,22,16,
g_3_G6sTSplH,12.03. 19:00,Vaerlose,Svendborg,76,83,14,20,16,26,,18,19,23,23,
g_3_G6LcD5lU,10.03. 16:30,Herlev Wolfpack,Aabyhoj,74,84,23,15,24,12,,18,22,23,21,
g_3_WIe7X8Zo,08.03. 19:00,Bakken Bears,Aalborg,91,71,24,28,25,14,,20,18,11,22,
g_3_M7lKU6J4,08.03. 19:00,Horsens,Sisu,91,76,25,28,23,15,,23,14,15,24,
g_3_lfjCWSlh,08.03. 19:00AOT,Svendborg,Vaerlose,99,91,24,17,21,20,17,26,15,25,16,9
g_3_SpkGVn4b,08.03. 19:00AOT,Team FOG Naestved,Horsholm,75,73,12,19,22,12,10,12,28,11,14,8
g_3_23HgEoZN,07.03. 19:00AOT,Aabyhoj,Herlev Wolfpack,98,93,22,29,16,20,11,19,10,29,29,6
g_3_jTKMVsCL,01.03. 19:15,Aabyhoj,Horsholm,74,88,20,6,25,23,,23,19,20,26,
g_3_r3HEX3s9,01.03. 19:00,Aalborg,Svendborg,91,83,24,21,24,22,,29,20,19,15,
g_3_xQGIWNdF,01.03. 19:00AOT,Bakken Bears,Sisu,82,80,23,17,12,18,12,13,18,20,19,10
g_3_4CIAYqS2,01.03. 19:00,Herlev Wolfpack,Vaerlose,92,85,23,36,15,18,,25,22,31,7,
g_3_lU5uB0k2,01.03. 19:00,Horsens,Team FOG Naestved,81,75,21,24,13,23,,21,21,20,13,
g_3_Aw7yCtzd,26.02. 16:00,Vaerlose,Aalborg,79,73,16,21,22,20,,20,13,26,14,
g_3_GG7XCMKk,26.02. 15:00,Horsens,Sisu,94,81,26,19,26,23,,31,14,17,19,
g_3_2D3TD25q,26.02. 15:00,Team FOG Naestved,Aabyhoj,93,69,23,26,24,20,,9,19,25,16,
g_3_dWQ0IrcS,25.02. 16:00,Horsholm,Herlev Wolfpack,79,71,15,23,16,25,,25,16,19,11,
g_3_EN3lJOsM,23.02. 19:15,Bakken Bears,Svendborg,70,81,21,20,18,11,,17,22,15,27,
g_3_plapK4SF,22.02. 19:00,Team FOG Naestved,Herlev Wolfpack,89,73,27,27,21,14,,18,14,25,16,
g_3_6c0tLpD9,19.02. 16:15,Aabyhoj,Vaerlose,70,73,25,20,14,11,,18,21,11,23,
g_3_fHeOQcp9,19.02. 15:00,Sisu,Aalborg,100,66,36,19,22,23,,10,22,17,17,
