matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_lpa3KGg1,19.01. 14:45,Svendborg,Bakken Bears,87,84,16,14,28,29,,28,25,17,14,
g_3_QNyEl3Wa,19.12. 19:00,Sisu,Bakken Bears,83,88,27,19,17,20,,19,15,27,27,
g_3_YmyImNo6,15.12. 16:00,Svendborg,Aalborg,104,95,23,23,20,38,,20,19,31,25,
g_3_nyDaboW9,18.11. 19:00,Virum,Bakken Bears,83,113,26,17,26,14,,33,24,25,31,
g_3_8pEeaRG3,14.11. 19:00,Holstebro,Sisu,47,108,,,,,,,,,,
g_3_0KEi071c,13.11. 20:30,Svendborg,Stevnsgade,99,68,31,25,27,16,,26,8,13,21,
g_3_MTFm1mni,11.11. 19:00,Aalborg,Herlev Wolfpack,81,70,25,16,18,22,,18,15,21,16,
g_3_Acpfqn83,25.10. 20:00,Svendborg,Horsholm,79,73,15,25,21,18,,17,24,21,11,
g_3_GzojpShc,25.10. 19:00,Aarhus,Herlev Wolfpack,53,82,,,,,,,,,,
g_3_baG5xGZj,24.10. 19:00,Bakken Bears,Team FOG Naestved,110,61,,,,,,,,,,
g_3_xpnno8wi,24.10. 19:00,Holstebro,Haderslev,77,80,,,,,,,,,,
g_3_K8H1wdKp,23.10. 19:50,Afdeling,Stevnsgade,54,84,,,,,,,,,,
g_3_2TUZsxCT,21.10. 20:00,BMI,Aalborg,58,87,,,,,,,,,,
g_3_jgRVrIdN,15.10. 19:00,Sisu,Vaerlose,85,70,25,17,29,14,,17,18,11,24,
g_3_8UyRqbsH,10.10. 20:00,Odense,Virum,50,79,,,,,,,,,,
