matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_r5OGjEvT,16.01. 12:15,Sisu W,Aabyhoj W,60,63,,,,,,,,,,
g_3_dOnBgy77,15.12. 18:00,Horsholm W,Sisu W,55,59,,,,,,,,,,
g_3_IXm7fHi1,08.12. 19:00,Aabyhoj W,Horsens W,65,64,,,,,,,,,,
g_3_UHrYGJsH,07.12. 21:15,Sisu W,Horsholm W,65,49,,,,,,,,,,
g_3_n9LLHaSA,30.11. 19:30,Horsens W,Aabyhoj W,49,64,,,,,,,,,,
g_3_QqxsFcCT,15.11. 18:00,Aabyhoj W,Amager W,61,53,,,,,,,,,,
g_3_ngwwGwcN,15.11. 18:00,Horsens W,Falcon W,76,61,,,,,,,,,,
g_3_dSSC9yzi,15.11. 18:00,Horsholm W,Lemvig W,68,56,,,,,,,,,,
g_3_rPO8AHKp,15.11. 18:00,Virum W,Sisu W,45,91,,,,,,,,,,
g_3_jZF9G783,27.10. 18:00,Aalborg W,Aabyhoj W,31,89,,,,,,,,,,
g_3_r9G5Hmgc,27.10. 18:00,Alba W,Falcon W,42,67,,,,,,,,,,
g_3_UPEDFRN9,27.10. 18:00WO,CBS W,Amager W,-,-,,,,,,,,,,
g_3_M5fbdwNl,27.10. 18:00,Glostrup W,Horsholm W,42,104,,,,,,,,,,
g_3_SrefcJ7r,27.10. 18:00,Hobas W,Sisu W,21,74,,,,,,,,,,
g_3_4IH1ITwi,27.10. 18:00,Horsens W,Vaerlose W,65,54,,,,,,,,,,
g_3_0dg2ecxe,27.10. 18:00WO,Hvidovre W,Lemvig W,-,-,,,,,,,,,,
g_3_Cl4IEowG,27.10. 18:00,Virum W,Stevnsgade W,75,65,,,,,,,,,,
