matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_0xzsMyDd,12.04. 14:00AOT,Aabyhoj W,Falcon W,73,80,13,14,26,16,4,20,22,14,13,11
g_3_4AtYNcrp,10.04. 19:00,Falcon W,Aabyhoj W,75,65,21,15,19,20,,13,15,18,19,
g_3_EBEMjAON,06.04. 14:00,Aabyhoj W,Falcon W,65,67,16,15,8,26,,12,17,16,22,
g_3_pxrrB5IF,05.04. 15:00,Sisu W,BMS Herlev W,69,66,15,25,17,12,,21,6,15,24,
g_3_69yuSoog,29.03. 14:00,Falcon W,Sisu W,78,75,12,14,23,29,,22,24,13,16,
g_3_lC1SAu4l,27.03. 20:00,Sisu W,Falcon W,81,80,20,19,19,23,,22,18,27,13,
g_3_Iigq7c3D,26.03. 19:00,BMS Herlev W,Aabyhoj W,37,78,16,2,6,13,,20,20,23,15,
g_3_pvey9JY0,22.03. 16:00,Aabyhoj W,BMS Herlev W,68,53,16,22,17,13,,12,16,10,15,
g_3_4MveTmKF,22.03. 14:00,Falcon W,Sisu W,88,75,23,20,19,26,,19,16,28,12,
g_3_j9uZnmM7,16.03. 16:00,Sisu W,Aabyhoj W,61,71,13,10,18,20,,18,20,25,8,
g_3_fsnQl9ie,15.03. 14:30,Amager W,Falcon W,48,91,9,13,12,14,,27,25,14,25,
g_3_MTmIjVMr,13.03. 19:00,Falcon W,Sisu W,83,69,31,21,21,10,,13,15,23,18,
g_3_UeWq9wwA,12.03. 20:15,BMS Herlev W,Amager W,54,56,11,13,16,14,,17,16,7,16,
g_3_MVSyBa8c,09.03. 16:00,Sisu W,BMS Herlev W,80,71,19,19,28,14,,20,19,16,16,
g_3_tzjkmdGj,08.03. 14:00,Aabyhoj W,Falcon W,78,60,30,22,18,8,,19,15,14,12,
g_3_8hpGzJWp,06.03. 19:00AOT,Amager W,BMS Herlev W,81,78,19,17,15,20,10,17,14,15,25,7
g_3_AiaJhIhT,01.03. 14:30,Amager W,Sisu W,72,82,24,19,13,16,,11,22,25,24,
g_3_2odgVNf5,01.03. 14:00,Aabyhoj W,BMS Herlev W,57,47,20,16,10,11,,17,8,13,9,
g_3_WQVAd0g4,23.02. 14:00,Falcon W,BMS Herlev W,96,65,30,19,17,30,,11,19,19,16,
g_3_zax2bMOi,22.02. 14:00,Aabyhoj W,Amager W,96,63,27,18,33,18,,17,10,19,17,
g_3_4vUIfvOG,20.02. 20:00,Sisu W,Falcon W,64,74,7,20,9,28,,17,18,24,15,
g_3_OK8qtu9N,15.02. 14:00,Aabyhoj W,BMS Herlev W,84,53,30,22,12,20,,16,8,12,17,
g_3_IN5yr1vB,25.01. 14:00,Aabyhoj W,Sisu W,78,66,21,18,21,18,,11,15,21,19,
g_3_MeCSqN9b,23.01. 19:00,Falcon W,Amager W,76,46,24,17,16,19,,8,9,15,14,
g_3_lrEKoqun,19.01. 14:00,BMS Herlev W,Sisu W,55,73,16,9,16,14,,19,21,19,14,
g_3_AHrARufU,19.01. 13:45,Falcon W,Aabyhoj W,63,67,21,10,15,17,,21,15,21,10,
g_3_O0p2T1PH,16.01. 20:00,Sisu W,Amager W,66,60,17,16,16,17,,19,15,14,12,
g_3_fLhoXqQh,21.12. 14:00,Amager W,Aabyhoj W,55,72,13,14,11,17,,26,22,13,11,
g_3_bgaxZ5et,21.12. 14:00,BMS Herlev W,Falcon W,67,91,16,21,11,19,,30,25,21,15,
g_3_rsPSE2AO,08.12. 15:00,Sisu W,Aabyhoj W,62,61,18,11,23,10,,18,17,12,14,
g_3_2XGKGOuC,07.12. 14:30,Amager W,Falcon W,45,96,16,9,11,9,,23,30,23,20,
g_3_f7DCIpBa,05.12. 19:00,Falcon W,Sisu W,80,71,26,19,24,11,,15,25,11,20,
g_3_YiP3K6tm,03.12. 20:00,BMS Herlev W,Amager W,85,56,21,27,12,25,,12,15,19,10,
g_3_ShcWxFdE,24.11. 17:30,Sisu W,BMS Herlev W,97,68,15,16,35,31,,8,18,16,26,
g_3_ns6gV2w8,23.11. 14:00,Aabyhoj W,Falcon W,67,62,20,21,18,8,,21,18,13,10,
g_3_I1ExZpvq,16.11. 14:00,Aabyhoj W,Sisu W,63,53,13,13,17,20,,17,8,15,13,
g_3_ET7oXO8e,16.11. 14:00,Falcon W,Amager W,89,50,29,14,21,25,,17,13,12,8,
g_3_nJN6v7GL,26.10. 14:30,Amager W,Aabyhoj W,61,65,,,,,,,,,,
g_3_Q3ZctTo9,26.10. 14:00,Falcon W,BMS Herlev W,58,48,13,13,17,15,,14,12,10,12,
g_3_0QsCIPg2,20.10. 14:30AOT,Amager W,Sisu W,76,82,18,18,18,14,8,15,19,15,19,14
g_3_4bl3KoPk,19.10. 16:30,BMS Herlev W,Aabyhoj W,51,84,15,15,10,11,,22,24,20,18,
g_3_8S2XP71S,13.10. 15:00,Sisu W,Amager W,55,48,11,14,14,16,,14,14,12,8,
g_3_C09ORTWF,12.10. 16:30,BMS Herlev W,Aabyhoj W,46,82,20,10,8,8,,19,26,13,24,
g_3_Ohf6naH8,05.10. 12:00,Sisu W,Falcon W,85,98,20,31,12,22,,25,20,23,30,
g_3_KKmFpwnL,04.10. 19:00,Amager W,BMS Herlev W,61,69,9,10,15,27,,20,18,17,14,
g_3_Ie7KOeP1,29.09. 14:00,Falcon W,Aabyhoj W,73,57,13,17,24,19,,13,15,12,17,
g_3_dtJBQHfk,28.09. 16:30,BMS Herlev W,Sisu W,54,56,12,14,20,8,,13,11,17,15,
g_3_QcSuWwXR,21.09. 16:30,BMS Herlev W,Falcon W,81,86,18,19,23,21,,14,21,26,25,
g_3_UVYWXa2F,21.09. 14:00,Aabyhoj W,Amager W,67,36,18,14,24,11,,2,11,11,12,
