matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_0MVheV2l,18.12. 18:00,BC Kalev/Cramo,Tartu Ulikool,71,66,21,20,15,15,,7,16,23,20,
g_3_ngrbNmns,18.12. 15:30,Parnu,Valga,82,66,23,20,21,18,,23,17,14,12,
g_3_SjfZQwFl,17.12. 19:15,Tartu Ulikool,Parnu,72,59,23,22,22,5,,22,11,16,10,
g_3_MDgwQcUf,17.12. 17:00,BC Kalev/Cramo,Valga,83,60,24,20,25,14,,9,15,12,24,
g_3_pMRTVvak,01.11. 18:00,Betoonimeister/TSKK/Nord,Valga,71,78,19,12,22,18,,15,21,18,24,
g_3_Qg0MORt4,29.10. 16:00,Tartu Ulikool,Tal Tech,85,38,19,29,21,16,,16,5,13,4,
g_3_CjdIP7Rc,29.10. 13:30,Parnu,Rakvere Tarvas,83,78,21,19,18,25,,19,24,16,19,
g_3_Yo2Cibx8,28.10. 17:30,BC Kalev/Cramo,Rapla,82,55,29,13,14,26,,22,14,8,11,
g_3_zRUlDpVm,16.10. 16:00,Viimsi,Rapla,79,88,33,17,8,21,,19,18,29,22,
g_3_8GpAKSxE,14.10. 18:30,Ambla,Valga,75,90,26,8,22,19,,23,23,28,16,
g_3_dtJcBOa0,09.10. 14:00,Valga,Ambla,102,85,28,19,33,22,,19,24,22,20,
g_3_EHThC4pf,07.10. 17:30,Betoonimeister/TSKK/Nord,Torma Sport,67,66,22,18,11,16,,16,18,18,14,
g_3_GMcOdPp7,04.10. 17:30,Rapla,Viimsi,101,94,18,22,28,33,,40,23,19,12,
g_3_6iQpEQFs,03.10. 19:45,Kuressaare,Tal Tech,76,97,31,15,17,13,,26,32,18,21,
g_3_fDdSeq0D,30.09. 19:00,Torma Sport,Betoonimeister/TSKK/Nord,63,80,12,17,12,22,,25,19,17,19,
g_3_4rvJI67Q,30.09. 18:00,Rakvere Tarvas,Tartu Palliklubi,102,56,33,22,28,19,,14,12,10,20,
g_3_MJlEJnhK,29.09. 18:00,Parnu,Audentese,101,65,29,28,25,19,,27,8,15,15,
g_3_l0RRc5V0,29.09. 17:15,Tal Tech,Kuressaare,108,76,28,29,29,22,,31,7,12,26,
g_3_A9SNboGf,28.09. 19:15,Tartu Palliklubi,Rakvere Tarvas,89,79,38,12,21,18,,18,23,15,23,
g_3_GnTJaR0l,27.09. 18:15,Audentese,Parnu,70,110,27,14,20,9,,29,23,29,29,
