matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_WnqANQiB,28.05. 18:30,BC Kalev/Cramo,Tartu Ulikool,79,61,18,17,22,22,,17,10,14,20,
g_3_zLk1PnNb,25.05. 18:00,Tartu Ulikool,BC Kalev/Cramo,61,82,15,11,23,12,,15,20,27,20,
g_3_IcQJypOc,25.05. 16:00,Rapla,Parnu,82,66,28,15,26,13,,18,12,21,15,
g_3_YVatGrpo,23.05. 18:00,Parnu,Rapla,65,68,12,8,26,19,,8,21,21,18,
g_3_OtMr757U,22.05. 18:30,BC Kalev/Cramo,Tartu Ulikool,73,67,19,17,14,23,,17,15,22,13,
g_3_40sIL4MN,21.05. 18:00,Rapla,Parnu,55,65,21,10,7,17,,16,17,13,19,
g_3_SfngR8hn,17.05. 18:00,Parnu,Rapla,59,68,12,23,19,5,,12,22,19,15,
g_3_hhEH4aOp,13.05. 18:00,Parnu,Tartu Ulikool,63,71,11,23,11,18,,16,23,22,10,
g_3_xQNuOqkA,12.05. 17:00,BC Kalev/Cramo,Rapla,87,56,21,25,26,15,,21,10,8,17,
g_3_hOvE0E76,11.05. 18:00,Tartu Ulikool,Parnu,75,78,21,15,21,18,,24,25,12,17,
g_3_4CPXP5Kc,10.05. 18:00,Rapla,BC Kalev/Cramo,66,110,11,16,20,19,,27,22,31,30,
g_3_nB9D2zwf,09.05. 18:00,Parnu,Tartu Ulikool,78,86,19,22,23,14,,17,22,22,25,
g_3_jXso22Sj,08.05. 18:30,BC Kalev/Cramo,Rapla,106,51,26,34,19,27,,10,18,10,13,
g_3_EcB54d8s,07.05. 18:00,Tartu Ulikool,Parnu,80,77,22,22,17,19,,20,15,18,24,
g_3_tWNxyMyA,05.05. 16:00,Tal Tech,Rapla,80,81,24,8,26,22,,14,23,21,23,
g_3_tKgP6QsS,02.05. 18:00,Parnu,Keila KK,87,67,18,17,27,25,,17,9,19,22,
g_3_zD1vGzK7,02.05. 18:00,Rapla,Tal Tech,80,74,18,21,18,23,,18,21,15,20,
g_3_baQIMuKl,01.05. 18:30AOT,Keila KK,Parnu,80,79,11,25,20,10,14,13,14,18,21,13
g_3_MTTwehbt,29.04. 18:00,BC Kalev/Cramo,Tallinna Kalev,86,59,19,26,14,27,,11,23,5,20,
g_3_4hFHqJed,29.04. 18:00,Tartu Ulikool,Viimsi,72,65,15,25,10,22,,18,15,10,22,
g_3_pWtU59Cb,29.04. 17:30,Tal Tech,Rapla,92,85,21,20,24,27,,15,26,23,21,
g_3_xQJ2klSH,28.04. 16:00,Parnu,Keila KK,60,53,14,13,12,21,,11,7,20,15,
g_3_l4mL7Vsn,27.04. 16:00,Rapla,Tal Tech,77,76,19,21,16,21,,26,21,16,13,
g_3_j9LfiAc5,26.04. 18:30,Keila KK,Parnu,93,69,22,24,27,20,,18,19,20,12,
g_3_r3bTzkDO,26.04. 18:00,Tallinna Kalev,BC Kalev/Cramo,70,75,19,15,21,15,,24,21,16,14,
g_3_dSB9ouRq,26.04. 18:00,Viimsi,Tartu Ulikool,77,85,16,15,24,22,,21,21,24,19,
g_3_YiDBmSdU,25.04. 17:30AOT,Tal Tech,Rapla,82,75,21,13,12,20,16,20,14,9,23,9
g_3_UgXogWSh,24.04. 18:00,Parnu,Keila KK,79,71,22,19,22,16,,20,9,21,21,
g_3_xvay4msB,24.04. 18:00,Tartu Ulikool,Viimsi,105,65,22,29,27,27,,24,10,11,20,
g_3_Ak0LxBrC,23.04. 18:00,BC Kalev/Cramo,Tallinna Kalev,97,49,18,23,25,31,,10,13,13,13,
