matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_tfrvhwsQ,31.05. 18:00,BC Kalev/Cramo,Tartu Ulikool,91,75,31,17,16,27,,22,11,23,19,
g_3_YZw6FyiI,29.05. 18:00,Tartu Ulikool,BC Kalev/Cramo,75,72,21,22,15,17,,21,21,11,19,
g_3_vg60P1C5,27.05. 18:00,BC Kalev/Cramo,Tartu Ulikool,88,81,17,29,19,23,,22,18,19,22,
g_3_fHGmONBc,26.05. 17:30,Tal Tech,Rapla,76,91,17,21,20,18,,29,15,28,19,
g_3_S0BbtfcC,24.05. 16:00,Rapla,Tal Tech,83,76,22,23,12,26,,19,22,18,17,
g_3_plxt5Zc2,22.05. 18:00,Tartu Ulikool,BC Kalev/Cramo,90,92,26,18,13,33,,27,18,26,21,
g_3_rRCiRNsg,21.05. 17:30,Tal Tech,Rapla,91,67,14,27,25,25,,19,17,17,14,
g_3_CzvY6eTk,20.05. 18:00,BC Kalev/Cramo,Tartu Ulikool,80,86,20,13,28,19,,25,22,28,11,
g_3_AaapTqDt,19.05. 18:00,Rapla,Tal Tech,84,69,24,21,13,26,,15,21,19,14,
g_3_6oZZ8tSO,15.05. 17:30,Tal Tech,Rapla,90,73,26,23,25,16,,18,18,15,22,
g_3_8UcDUf6m,13.05. 18:00,Tartu Ulikool,Tal Tech,88,59,20,21,18,29,,18,15,15,11,
g_3_ObPQyWgS,11.05. 16:00,Tal Tech,Tartu Ulikool,87,82,17,30,19,21,,16,18,31,17,
g_3_G0rYWGil,09.05. 18:00,BC Kalev/Cramo,Rapla,96,79,19,32,22,23,,10,18,29,22,
g_3_xbmq8mMq,08.05. 18:00,Tartu Ulikool,Tal Tech,79,69,18,24,15,22,,16,20,9,24,
g_3_0zw3xwUQ,06.05. 18:00,Rapla,BC Kalev/Cramo,92,101,22,22,24,24,,29,27,22,23,
g_3_69D4FVT9,05.05. 17:30,Tal Tech,Tartu Ulikool,86,80,20,17,19,30,,22,16,23,19,
g_3_Sjrimv9t,03.05. 18:00,BC Kalev/Cramo,Rapla,88,64,26,19,20,23,,19,14,14,17,
g_3_SO1DD9bM,02.05. 18:00,Tartu Ulikool,Tal Tech,74,69,22,23,14,15,,19,20,16,14,
g_3_h0Yw2YwR,29.04. 18:00,Rapla,Parnu,95,69,23,25,26,21,,17,16,19,17,
g_3_EuCDfSan,26.04. 16:00,Parnu,Rapla,92,82,13,33,24,22,,19,23,21,19,
g_3_KAz3hnkL,25.04. 18:00,Viimsi,Tartu Ulikool,74,104,21,14,19,20,,21,14,38,31,
g_3_IHbRLfPN,24.04. 18:00,BC Kalev/Cramo,Keila KK,112,82,35,27,29,21,,22,25,12,23,
g_3_YknWWFS9,23.04. 18:00,Rapla,Parnu,100,69,23,21,20,36,,23,16,12,18,
g_3_Y3uXSBWj,22.04. 18:00AOT,Tartu Ulikool,Viimsi,77,80,16,15,19,16,11,23,16,15,12,14
g_3_YDUINBkd,21.04. 17:30,Tal Tech,Keila Coolbet,84,70,13,29,25,17,,15,20,12,23,
g_3_Mk5INGfB,20.04. 17:00,Keila KK,BC Kalev/Cramo,81,92,18,29,18,16,,23,22,26,21,
g_3_EmWUYybc,19.04. 16:00,Parnu,Rapla,82,75,16,24,18,24,,25,20,14,16,
g_3_jqx8YX8T,18.04. 18:00,Viimsi,Tartu Ulikool,59,78,13,12,17,17,,21,17,25,15,
g_3_QmRAPXKq,17.04. 18:30,Keila Coolbet,Tal Tech,63,76,21,15,16,11,,14,17,25,20,
g_3_lx7APxQb,17.04. 18:00,BC Kalev/Cramo,Keila KK,99,76,35,24,26,14,,11,22,19,24,
g_3_MgqqBY5j,16.04. 18:00,Rapla,Parnu,87,66,23,22,22,20,,14,19,21,12,
g_3_IVw0zfvH,15.04. 18:00,Tartu Ulikool,Viimsi,81,76,29,15,16,21,,9,22,20,25,
g_3_tGkvVgcM,14.04. 17:30,Tal Tech,Keila Coolbet,79,66,18,18,20,23,,15,20,16,15,
