matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_Es3xh41d,07.09. 20:45,Greece,Israel,84,79,28,22,17,17,,22,19,18,20,
g_3_d2xtCPhS,07.09. 17:30,Italy,Slovenia,77,84,11,29,16,21,,29,21,22,12,
g_3_23qXDoOF,07.09. 14:15,France,Georgia,70,80,20,17,17,16,,24,14,20,22,
g_3_fwtPF7g3,07.09. 11:00,Poland,Bosnia & Herzegovina,80,72,14,26,22,18,,23,21,17,11,
g_3_jJpcmcp2,06.09. 20:45,Serbia,Finland,86,92,24,24,18,20,,28,16,24,24,
g_3_I5nkkJFk,06.09. 17:30,Lithuania,Latvia,88,79,28,19,19,22,,18,19,17,25,
g_3_bL5IfuhS,06.09. 14:15,Germany,Portugal,85,58,17,14,21,33,,12,20,19,7,
g_3_je2Ad1NF,06.09. 11:00,Turkey,Sweden,85,79,20,17,26,22,,23,19,13,24,
g_3_pGUR17Hs,04.09. 20:30,Poland,Belgium,69,70,17,16,25,11,,16,23,19,12,
g_3_bLD4TDBF,04.09. 20:30,Spain,Greece,86,90,20,15,28,23,,31,19,18,22,
g_3_CSX97Wld,04.09. 17:15,Italy,Cyprus,89,54,24,16,27,22,,6,13,24,11,
g_3_0rge7TgK,04.09. 17:00,Israel,Slovenia,96,106,22,21,22,31,,26,30,23,27,
g_3_Q7FdVZt3,04.09. 14:00,Bosnia & Herzegovina,Georgia,84,76,20,27,20,17,,15,20,27,14,
g_3_Yy19qQ1D,04.09. 14:00,France,Iceland,114,74,36,30,24,24,,9,25,12,28,
g_3_8xGsajqA,03.09. 20:15,Turkey,Serbia,95,90,19,27,28,21,,18,31,24,17,
g_3_xjql2GeJ,03.09. 19:30,Finland,Germany,61,91,19,17,13,12,,21,29,19,22,
g_3_zPHZ0CEc,03.09. 17:00,Czech Republic,Latvia,75,109,24,20,12,19,,30,28,28,23,
g_3_lUC6KcBm,03.09. 15:30,Lithuania,Sweden,74,71,14,19,21,20,,21,18,14,18,
g_3_KGZnw9Mj,03.09. 13:45,Estonia,Portugal,65,68,14,18,13,20,,14,13,20,21,
g_3_4dyzQJmQ,03.09. 12:30,Montenegro,Great Britain,83,89,26,16,21,20,,25,23,20,21,
g_3_tMn0m82l,02.09. 20:30,France,Poland,83,76,27,14,19,23,,24,20,11,21,
g_3_pEHTR0zB,02.09. 20:30,Italy,Spain,67,63,10,20,19,18,,18,18,11,16,
g_3_xlELTM5b,02.09. 17:15,Cyprus,Georgia,61,93,13,13,15,20,,15,27,26,25,
g_3_My6ThUvR,02.09. 17:00,Iceland,Slovenia,79,87,20,15,11,33,,21,15,24,27,
g_3_EZp8onX0,02.09. 14:00,Belgium,Israel,89,92,15,21,18,35,,23,28,20,21,
g_3_42U19hKq,02.09. 14:00,Greece,Bosnia & Herzegovina,77,80,25,13,14,25,,19,25,17,19,
g_3_AslHrVbT,01.09. 20:15,Serbia,Czech Republic,82,60,27,18,16,21,,5,18,20,17,
g_3_8AiX5bdf,01.09. 19:30,Finland,Lithuania,78,81,21,15,12,30,,20,25,12,24,
g_3_t2d0nDa4,01.09. 17:00,Portugal,Latvia,62,78,21,7,15,19,,23,27,15,13,
g_3_EBbO7KRs,01.09. 15:30,Germany,Great Britain,120,57,32,26,30,32,,19,12,9,17,
g_3_lSa8piUG,01.09. 13:45,Estonia,Turkey,64,84,13,14,22,15,,25,21,19,19,
g_3_tOku4xR6,01.09. 12:30,Sweden,Montenegro,81,87,15,19,31,16,,18,22,24,23,
g_3_IobKVryn,31.08. 20:30,Bosnia & Herzegovina,Italy,79,96,21,19,21,18,,22,22,28,24,
g_3_SIMQY8me,31.08. 20:30,Poland,Iceland,84,75,19,22,20,23,,16,16,19,24,
g_3_67U1D1LH,31.08. 17:15,Spain,Cyprus,91,47,19,22,29,21,,9,8,12,18,
g_3_EB2LfjAE,31.08. 17:00,Israel,France,82,69,17,19,19,27,,22,14,20,13,
g_3_2ZNABujU,31.08. 14:00,Georgia,Greece,53,94,13,16,12,12,,22,24,23,25,
g_3_YFPYWnI7,31.08. 14:00,Slovenia,Belgium,86,69,16,27,21,22,,10,21,17,21,
g_3_zLsntieL,30.08. 20:30,Poland,Israel,66,64,19,18,11,18,,14,12,25,13,
g_3_xSxoHqMh,30.08. 20:30,Spain,Bosnia & Herzegovina,88,67,24,20,28,16,,16,14,17,20,
g_3_lEKZViFN,30.08. 20:15,Turkey,Portugal,95,54,22,29,22,22,,13,14,10,17,
g_3_rT7hDt4K,30.08. 19:30,Montenegro,Finland,65,85,23,14,15,13,,23,24,20,18,
g_3_pKKwJ5it,30.08. 17:15,Cyprus,Greece,69,96,13,18,16,22,,22,21,26,27,
g_3_WjTHzVIr,30.08. 17:00,France,Slovenia,103,95,28,19,21,35,,30,24,16,25,
g_3_htG5QVxo,30.08. 17:00,Latvia,Serbia,80,84,18,20,18,24,,22,20,25,17,
g_3_2XU5kwCD,30.08. 15:30,Great Britain,Sweden,59,78,13,17,17,12,,19,16,26,17,
g_3_vglwrDQ8,30.08. 14:00,Iceland,Belgium,64,71,21,15,16,12,,17,15,14,25,
g_3_bsRgFNj5,30.08. 14:00,Italy,Georgia,78,62,18,14,21,25,,10,22,15,15,
g_3_pz3ilZUi,30.08. 13:45,Czech Republic,Estonia,75,89,19,17,18,21,,23,31,23,12,
g_3_f7Rcias1,30.08. 12:30,Lithuania,Germany,88,107,20,27,25,16,,32,23,28,24,
g_3_C8PAydon,29.08. 20:15,Portugal,Serbia,69,80,19,14,16,20,,23,20,21,16,
g_3_lfdcgLCl,29.08. 19:30,Finland,Great Britain,109,79,30,28,23,28,,21,21,14,23,
g_3_tlHRXDpB,29.08. 17:00,Estonia,Latvia,70,72,21,21,19,9,,17,21,25,9,
g_3_I7ZPBTSF,29.08. 15:30,Lithuania,Montenegro,94,67,26,21,19,28,,15,13,17,22,
g_3_KYSIZZFb,29.08. 13:45,Turkey,Czech Republic,92,78,21,24,27,20,,27,10,25,16,
g_3_MutHDkb3,29.08. 12:30,Germany,Sweden,105,83,27,32,25,21,,17,25,24,17,
g_3_WC4NGFAC,28.08. 20:30,Greece,Italy,75,66,22,14,20,19,,12,20,13,21,
g_3_nonhK9Y1,28.08. 20:30,Slovenia,Poland,95,105,25,21,23,26,,29,18,33,25,
g_3_zoBEIyt0,28.08. 17:15,Bosnia & Herzegovina,Cyprus,91,64,23,24,11,33,,13,13,23,15,
g_3_QVcqMV3k,28.08. 17:00,Belgium,France,64,92,10,17,22,15,,18,25,27,22,
g_3_4Q2VEguP,28.08. 14:00,Georgia,Spain,83,69,20,17,20,26,,17,18,14,20,
g_3_fm7DRitS,28.08. 14:00,Israel,Iceland,83,71,23,13,24,23,,19,13,20,19,
g_3_xfZaJEVH,27.08. 20:15,Serbia,Estonia,98,64,32,24,30,12,,12,17,15,20,
g_3_YJaMi8yp,27.08. 19:30,Sweden,Finland,90,93,21,27,24,18,,26,23,23,21,
g_3_A7X7Hh0U,27.08. 17:00,Latvia,Turkey,73,93,21,18,16,18,,24,23,25,21,
g_3_449jcUDM,27.08. 15:30,Montenegro,Germany,76,106,20,23,12,21,,24,22,33,27,
g_3_tSuiLz15,27.08. 13:45,Czech Republic,Portugal,50,62,10,19,11,10,,13,19,13,17,
g_3_fZmVkn6d,27.08. 12:30,Great Britain,Lithuania,70,94,15,18,17,20,,23,18,24,29,
g_3_0feHGH6o,24.02. 21:10,France,Bosnia & Herzegovina,76,74,18,16,17,25,,21,11,25,17,
g_3_vofLFyMi,24.02. 20:30,Great Britain,Czech Republic,96,75,23,17,32,24,,15,20,18,22,
g_3_Y7gPEeyb,24.02. 20:30,Greece,Netherlands,63,53,18,16,14,15,,18,5,16,14,
g_3_nBcTDFj4,24.02. 20:00,Denmark,Finland,77,83,25,22,23,7,,24,17,18,24,
g_3_0tGr2Iih,24.02. 20:00,Israel,Slovenia,84,74,11,25,25,23,,15,16,28,15,
g_3_IHQw3bxn,24.02. 20:00,Portugal,Ukraine,60,88,17,15,18,10,,24,17,30,17,
g_3_UZnYCZ5A,24.02. 20:00,Serbia,Georgia,63,54,13,14,17,19,,17,14,10,13,
g_3_GjotBDzN,24.02. 18:30,Lithuania,Estonia,82,75,28,32,7,15,,19,24,21,11,
g_3_8QoxCgLG,24.02. 18:30,North Macedonia,Poland,88,74,26,19,22,21,,19,20,16,19,
