matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_SWyhl3om,27.04. 17:30AOT,ToPo Helsinki,Honka,74,83,22,16,15,16,5,15,17,18,19,14
g_3_lxLh62k4,25.04. 17:30,Honka,ToPo Helsinki,69,50,11,15,27,16,,10,21,8,11,
g_3_vcf2XpXr,23.04. 17:00,ToPo Helsinki,Honka,73,100,20,20,17,16,,17,30,27,26,
g_3_xl8zxROR,20.04. 17:30,Honka,ToPo Helsinki,74,89,9,28,25,12,,24,14,27,24,
g_3_rR8Wx79L,16.04. 18:00,ToPo Helsinki,Honka,78,73,21,20,17,20,,21,18,9,25,
g_3_U9ksdqf1,12.04. 17:30,Honka,Oulu,85,73,23,22,18,22,,24,18,15,16,
g_3_bBhtHHeN,11.04. 17:30,Kristika Turku,ToPo Helsinki,84,97,19,20,23,22,,21,22,26,28,
g_3_SSVFmeV8,10.04. 16:00,Oulu,Honka,72,86,20,25,15,12,,16,18,29,23,
g_3_jL3Za928,08.04. 17:30,Honka,Oulu,80,100,17,24,22,17,,26,38,19,17,
g_3_tjMrwnee,07.04. 18:00,ToPo Helsinki,Kristika Turku,87,80,22,31,17,17,,13,25,18,24,
g_3_2aNvvSuk,05.04. 17:30,Kristika Turku,ToPo Helsinki,70,94,19,23,18,10,,30,23,21,20,
g_3_lGPjyQP7,05.04. 17:00AOT,Oulu,Honka,83,74,14,19,18,20,12,19,25,14,13,3
g_3_KzYZv8Qr,02.04. 17:00,ToPo Helsinki,Kristika Turku,69,89,15,21,16,17,,20,21,26,22,
g_3_APQnx6A1,02.04. 14:45,Honka,Oulu,79,78,24,20,14,21,,23,18,17,20,
g_3_S2tx1CWA,31.03. 17:30,Kristika Turku,HBA-Marsky Helsinki,84,67,29,19,13,23,,15,22,19,11,
g_3_QDlZ6Pgc,29.03. 17:30,HBA-Marsky Helsinki,Kristika Turku,80,87,18,11,32,19,,29,13,17,28,
g_3_Of5kaDzi,29.03. 17:00,Raiders Basket,Oulu,71,82,22,11,19,19,,22,19,18,23,
g_3_p46o0gLp,27.03. 18:00,Oulu,Raiders Basket,84,62,19,28,18,19,,16,15,17,14,
g_3_WdQA6erH,27.03. 16:30,Helsingin NMKY,ToPo Helsinki,80,81,20,20,19,21,,17,23,19,22,
g_3_hCEJ4ZCT,27.03. 14:00,Huima,Honka,60,80,19,16,11,14,,19,16,20,25,
g_3_ELFF5FcN,26.03. 15:00,Honka,Huima,101,59,23,22,26,30,,9,10,23,17,
g_3_IgM67yTA,23.03. 18:00,ToPo Helsinki,Helsingin NMKY,80,53,27,20,18,15,,9,16,16,12,
g_3_SSVV75vi,22.03. 17:30AOT,Kristika Turku,HBA-Marsky Helsinki,81,87,23,15,17,19,7,12,27,14,21,13
g_3_6iv6h4mO,20.03. 16:00,HBA-Marsky Helsinki,Pyrinto Tampere 2,85,47,24,16,23,22,,8,13,11,15,
g_3_lGq1gpYH,20.03. 16:00,Honka,Korikouvot,105,73,23,28,26,28,,23,21,16,13,
g_3_APpcfQIB,20.03. 16:00Awrd,Huima,Helsingin NMKY,0,40,,,,,,,,,,
g_3_prwAiO2U,20.03. 16:00,Munk. Kisapojat,Jyvaskyla,68,74,16,16,17,19,,16,22,24,12,
g_3_G2oge635,20.03. 16:00AOT,Oulu,Kristika Turku,92,94,24,20,21,15,12,29,21,20,10,14
g_3_M3EFC7Yu,20.03. 12:00,ToPo Helsinki,Raiders Basket,91,82,21,27,24,19,,21,16,25,20,
g_3_fa1IxtzC,17.03. 18:30,Pyrinto Tampere 2,Kristika Turku,78,94,23,15,17,23,,19,32,21,22,
