matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_UHwm5Uul,25.04. 17:30,BC Nokia W,Torpan Pojat Helsinki II W,78,92,13,24,22,19,,22,15,28,27,
g_3_l6Mk6AQs,22.04. 18:00,Torpan Pojat Helsinki II W,BC Nokia W,89,64,21,21,25,22,,12,15,18,19,
g_3_xSMOPUyM,18.04. 16:00,BC Nokia W,HNMKY W,63,61,19,16,12,16,,20,14,15,12,
g_3_dOaVALSC,16.04. 17:00,Pyrinto II W,Torpan Pojat Helsinki II W,65,83,14,7,23,21,,12,21,29,21,
g_3_OUiHYOKJ,16.04. 15:00,HNMKY W,BC Nokia W,89,78,17,18,23,31,,19,12,25,22,
g_3_EaAQB1D6,13.04. 18:30,Torpan Pojat Helsinki II W,Pyrinto II W,74,50,20,11,19,24,,19,11,11,9,
g_3_zFbZ9urJ,13.04. 17:30,BC Nokia W,HNMKY W,67,65,20,13,15,19,,24,14,15,12,
g_3_OfRVz1qk,10.04. 16:00,Pyrinto II W,HBA W,69,61,10,12,19,28,,13,20,11,17,
g_3_lGX6qQR0,10.04. 14:00,BC Nokia W,HyPo W,70,65,15,22,11,22,,19,16,18,12,
g_3_Ovw8LLq2,10.04. 12:00,HNMKY W,Jyvaskyla BA W,75,54,18,14,16,27,,14,11,15,14,
g_3_A5WTbvoN,09.04. 13:00,Kataja W,Torpan Pojat Helsinki II W,37,96,15,10,6,6,,22,32,14,28,
g_3_tvKoHL0i,08.04. 18:00,Pyrinto II W,HBA W,65,55,23,15,17,10,,5,26,15,9,
g_3_ljrL00GA,08.04. 17:30,Jyvaskyla BA W,HNMKY W,80,65,19,29,17,15,,19,14,17,15,
g_3_QVyagI8p,07.04. 19:00,HyPo W,BC Nokia W,75,65,19,20,10,26,,18,14,21,12,
g_3_8jkXcb0T,06.04. 17:30,BC Nokia W,HyPo W,68,67,11,22,24,11,,20,16,10,21,
g_3_4Mz3hxOj,06.04. 17:30,HBA W,Pyrinto II W,70,49,17,23,17,13,,16,10,13,10,
g_3_StsPaKVG,06.04. 17:30,Torpan Pojat Helsinki II W,Kataja W,80,43,18,16,23,23,,18,9,5,11,
g_3_KGwH1t14,05.04. 18:30,HNMKY W,Jyvaskyla BA W,78,70,22,17,17,22,,14,12,16,28,
g_3_bVUxC2wr,03.04. 16:00,BC Nokia W,Jyvaskyla BA W,72,82,18,10,23,21,,34,12,20,16,
g_3_WKMk90N0,03.04. 16:00,HBA W,Kataja W,77,76,19,23,8,27,,15,20,28,13,
g_3_0fRg8Kx7,03.04. 16:00,HNMKY W,Espoo Team II W,63,62,15,18,18,12,,16,17,21,8,
g_3_A5YtBMhl,03.04. 16:00,Pantterit W,Turun Riento Turku W,59,60,15,8,17,19,,18,13,13,16,
g_3_tjrBGrVQ,03.04. 16:00,Puhuttaret W,HyPo W,55,120,14,12,16,13,,25,35,34,26,
g_3_hUNoAt8f,03.04. 16:00,Torpan Pojat Helsinki II W,Tapiolan Honka II W,80,60,25,13,20,22,,13,20,11,16,
g_3_APWjJPTA,02.04. 14:00,Kataja W,Tapiolan Honka II W,71,73,23,18,17,13,,29,20,5,19,
g_3_zkghsWGg,02.04. 13:00,HNMKY W,BC Nokia W,92,85,21,20,21,30,,18,21,21,25,
g_3_M5e4vU0C,31.03. 17:30,BC Nokia W,HBA W,48,68,10,10,21,7,,17,18,21,12,
g_3_2aq7HOFK,27.03. 17:00,Jyvaskyla BA W,Pantterit W,69,39,17,23,13,16,,10,3,12,14,
g_3_6XkbJpo8,27.03. 16:00,Espoo Team II W,Puhuttaret W,68,29,12,18,26,12,,7,5,14,3,
g_3_hU1Gf187,27.03. 15:00,Turun Riento Turku W,Torpan Pojat Helsinki II W,62,82,16,14,15,17,,19,21,23,19,
g_3_vRcCesg1,27.03. 14:00,Tapiolan Honka II W,HBA W,58,79,7,19,15,17,,19,20,16,24,
g_3_pOl2I40E,27.03. 13:00,Kataja W,HNMKY W,71,83,17,19,23,12,,17,26,18,22,
g_3_d287dNwe,27.03. 12:00,HyPo W,Pyrinto II W,90,66,21,26,18,25,,10,14,16,26,
g_3_IB93c3Ol,20.03. 16:30,HNMKY W,Tapiolan Honka II W,77,72,27,19,23,8,,13,29,10,20,
g_3_Oze0bq9r,20.03. 15:00,HBA W,Turun Riento Turku W,58,47,12,10,24,12,,8,10,11,18,
g_3_MR8Y2P0R,20.03. 14:00,BC Nokia W,HyPo W,70,57,17,11,23,19,,11,14,9,23,
g_3_QaFP4oWE,20.03. 13:00,Espoo Team II W,Kataja W,64,78,12,17,12,23,,28,14,15,21,
g_3_v3JT35oL,20.03. 13:00,Puhuttaret W,Pyrinto II W,45,90,10,13,9,13,,26,23,24,17,
g_3_WxGL5RG8,20.03. 12:00,Torpan Pojat Helsinki II W,Jyvaskyla BA W,77,80,16,15,28,18,,22,26,20,12,
g_3_E1oybFc2,19.03. 12:00,Kataja W,Puhuttaret W,55,58,21,5,12,17,,17,14,15,12,
g_3_SSNtOEeo,17.03. 19:00,Pantterit W,Torpan Pojat Helsinki II W,58,91,11,8,18,21,,12,30,19,30,
g_3_hnHH6712,13.03. 16:00,HyPo W,Pantterit W,104,58,21,30,26,27,,9,18,16,15,
g_3_zBnXberd,13.03. 16:00,Jyvaskyla BA W,HBA W,58,66,16,16,6,20,,13,17,17,19,
g_3_tlmTayTk,13.03. 15:00,Turun Riento Turku W,HNMKY W,55,69,13,20,13,9,,26,18,16,9,
g_3_UDqP0HDq,13.03. 14:00,Tapiolan Honka II W,Espoo Team II W,79,89,18,19,22,20,,15,25,25,24,
g_3_lGVfIqqH,13.03. 13:00,Pyrinto II W,BC Nokia W,70,61,20,19,17,14,,9,21,14,17,
g_3_QJZ9UhXm,12.03. 12:00,Jyvaskyla BA W,Puhuttaret W,72,38,17,18,25,12,,10,10,6,12,
g_3_tjSnK5E4,08.03. 18:30,HNMKY W,Torpan Pojat Helsinki II W,73,92,19,25,12,17,,19,22,34,17,
g_3_2aTrLoab,06.03. 16:30,HNMKY W,Jyvaskyla BA W,83,76,28,17,18,20,,20,13,16,27,
g_3_KzvvMRqh,06.03. 16:00,Pantterit W,Pyrinto II W,66,115,15,18,19,14,,28,28,30,29,
g_3_6XZZM7Uo,06.03. 16:00,Puhuttaret W,BC Nokia W,50,85,12,10,13,15,,26,19,25,15,
g_3_hUohbOio,06.03. 13:00,Espoo Team II W,Turun Riento Turku W,90,61,18,21,26,25,,15,18,16,12,
g_3_jLaQ24qU,06.03. 12:00,Torpan Pojat Helsinki II W,HyPo W,84,59,20,28,23,13,,12,19,10,18,
g_3_UBWQQAWC,04.03. 17:30,Puhuttaret W,HBA W,46,77,17,11,7,11,,21,13,22,21,
g_3_A79DlEOJ,02.03. 17:30,HBA W,Pantterit W,63,38,20,15,8,20,,4,12,12,10,
g_3_A9rT3pUN,01.03. 19:00,Pantterit W,HNMKY W,59,85,15,13,9,22,,19,18,20,28,
g_3_WIqP4QEH,27.02. 16:00,HyPo W,HBA W,67,73,20,17,9,21,,16,21,20,16,
g_3_xdpL56aB,27.02. 15:00,Jyvaskyla BA W,Espoo Team II W,62,78,20,21,13,8,,18,20,18,22,
g_3_OhtH6np5,27.02. 15:00,Turun Riento Turku W,Kataja W,57,47,18,17,7,15,,13,12,12,10,
g_3_tUjC7SUb,27.02. 14:00,BC Nokia W,Pantterit W,96,44,34,24,15,23,,13,13,8,10,
g_3_2wh888Fh,27.02. 14:00,Tapiolan Honka II W,Puhuttaret W,83,52,20,9,29,25,,13,9,20,10,
g_3_Y3m49l0n,27.02. 13:00,Pyrinto II W,Torpan Pojat Helsinki II W,43,71,12,10,13,8,,24,23,10,14,
