matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_vZsXkDN0,18.04. 11:00,Tapiolan Honka II W,Puhuttaret W,54,63,15,17,11,11,,16,9,14,24,
g_3_AgYsrILr,16.04. 17:30,Puhuttaret W,Tapiolan Honka II W,53,79,14,13,16,10,,29,23,11,16,
g_3_j9iBmvbL,14.04. 17:30,Tapiolan Honka II W,Puhuttaret W,62,64,22,16,9,15,,14,18,17,15,
g_3_ALtuzp2S,10.04. 18:00,Torpan Pojat Helsinki II W,Puhuttaret W,59,62,17,14,11,17,,21,15,17,9,
g_3_vglxgwMN,07.04. 17:30,Puhuttaret W,Torpan Pojat Helsinki II W,76,60,16,21,14,25,,18,23,9,10,
g_3_CtcLdLMb,07.04. 17:30,Tapiolan Honka II W,LePy W,55,36,16,10,14,15,,12,8,9,7,
g_3_6ujUfaiB,04.04. 18:00,Torpan Pojat Helsinki II W,Puhuttaret W,69,68,18,16,23,12,,18,17,24,9,
g_3_4GgDbshn,04.04. 17:30,LePy W,Tapiolan Honka II W,51,67,14,16,6,15,,16,21,14,16,
g_3_EVU2K7JH,01.04. 18:30,Tapiolan Honka II W,Turun NMKY W,89,72,27,19,14,29,,19,15,14,24,
g_3_l0LfKwW9,01.04. 18:00,Puhuttaret W,Pyrinto II W,68,50,12,20,17,19,,11,12,21,6,
g_3_YTCiEYdS,01.04. 18:00,Torpan Pojat Helsinki II W,Jyvaskyla BA W,91,59,13,26,29,23,,19,11,15,14,
g_3_65BdTFQa,01.04. 17:30,Espoo Team II W,LePy W,48,60,12,11,11,14,,12,15,19,14,
g_3_lAW8Gch5,30.03. 18:30,HyPo W,Feeniks Basket W,53,81,16,15,14,8,,29,15,15,22,
g_3_jarYbjBd,30.03. 17:00,Turun NMKY W,Tapiolan Honka II W,83,77,23,23,20,17,,19,15,22,21,
g_3_KA8g6YIM,30.03. 12:30,Pyrinto II W,Puhuttaret W,67,74,13,12,15,27,,17,24,15,18,
g_3_OOOjnDRj,29.03. 16:45,Jyvaskyla BA W,Torpan Pojat Helsinki II W,72,67,16,18,15,23,,20,14,18,15,
g_3_GIBxAGJc,29.03. 13:30,LePy W,Espoo Team II W,59,49,18,14,19,8,,13,9,11,16,
g_3_GrJ1IJNh,27.03. 17:30,Feeniks Basket W,HyPo W,79,47,22,21,14,22,,8,8,17,14,
g_3_4rpQ0Ctp,27.03. 17:30,Tapiolan Honka II W,Turun NMKY W,77,68,11,16,28,22,,18,23,6,21,
