matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_lMfGzou4,26.05. 15:00,Karhu Basket,Kouvot Kouvola,90,84,29,15,19,27,,24,19,22,19,
g_3_Y7RlwCFJ,24.05. 17:15,Kouvot Kouvola,Karhu Basket,56,94,14,12,15,15,,24,17,27,26,
g_3_4jIKXkws,22.05. 17:30,Karhu Basket,Kouvot Kouvola,85,78,18,27,20,20,,24,13,15,26,
g_3_nBVhxWUP,20.05. 17:30,Kouvot Kouvola,Karhu Basket,88,74,24,21,20,23,,23,13,22,16,
g_3_W2m6ESxJ,18.05. 16:00,Salon Vilpas,KTP Kotka Basket,97,98,26,27,20,24,,20,26,26,26,
g_3_hCl2F8NC,17.05. 17:30,Karhu Basket,Kouvot Kouvola,96,86,14,32,27,23,,20,19,23,24,
g_3_Aktzw9Vl,14.05. 17:30,Salon Vilpas,Kouvot Kouvola,82,91,17,16,27,22,,30,17,21,23,
g_3_6VAjVpgN,12.05. 16:00,Kouvot Kouvola,Salon Vilpas,95,86,21,22,24,28,,21,17,29,19,
g_3_Cj0xguAJ,10.05. 17:30,Salon Vilpas,Kouvot Kouvola,89,73,23,36,12,18,,17,15,24,17,
g_3_rZdAV6zQ,08.05. 17:30,Kouvot Kouvola,Salon Vilpas,88,71,24,18,28,18,,16,21,14,20,
g_3_tGoNG7D5,08.05. 17:30,KTP Kotka Basket,Karhu Basket,68,79,13,19,24,12,,21,25,13,20,
g_3_2PnJHmba,06.05. 17:30,Karhu Basket,KTP Kotka Basket,94,70,22,22,30,20,,10,19,24,17,
g_3_4rb6WnLJ,06.05. 17:30,Salon Vilpas,Kouvot Kouvola,92,91,19,23,21,29,,24,24,21,22,
g_3_juAO73rJ,04.05. 17:30,Kouvot Kouvola,Salon Vilpas,85,77,24,18,23,20,,19,26,25,7,
g_3_82mFITrg,04.05. 16:00,KTP Kotka Basket,Karhu Basket,90,101,24,28,13,25,,27,15,35,24,
g_3_dSqBJ9Tn,02.05. 17:30,Karhu Basket,KTP Kotka Basket,106,72,19,22,29,36,,20,13,21,18,
g_3_v56K8qTC,02.05. 17:30,Salon Vilpas,Kouvot Kouvola,87,86,20,24,19,24,,13,23,23,27,
g_3_67Uq80Um,27.04. 16:00,KTP Kotka Basket,Kataja,96,80,22,26,26,22,,16,27,18,19,
g_3_659T4q3k,25.04. 17:30,Karhu Basket,Helsinki Seagulls,108,68,22,29,30,27,,9,19,29,11,
g_3_SEAP5Pmq,25.04. 17:30,Kataja,KTP Kotka Basket,92,100,14,24,27,27,,15,23,34,28,
g_3_lUbY33Ie,25.04. 17:30,Pyrinto Tampere,Kouvot Kouvola,78,83,22,19,13,24,,15,17,30,21,
g_3_zNIcA5uS,25.04. 17:30,Salon Vilpas,BC Nokia,114,87,38,26,28,22,,28,21,15,23,
g_3_dWJgBoQL,22.04. 17:30,Kouvot Kouvola,Pyrinto Tampere,91,83,19,24,22,26,,17,29,19,18,
g_3_MaCsEmt3,22.04. 16:00,BC Nokia,Salon Vilpas,70,88,20,18,15,17,,9,29,27,23,
g_3_E7UlCRAF,22.04. 16:00,Helsinki Seagulls,Karhu Basket,89,98,20,22,19,28,,22,28,22,26,
g_3_GMBoD7e9,22.04. 16:00,KTP Kotka Basket,Kataja,98,95,17,19,26,36,,22,27,29,17,
g_3_6iUfjpld,19.04. 17:30,Karhu Basket,Helsinki Seagulls,87,61,27,17,28,15,,10,21,10,20,
g_3_r9DwFTQd,19.04. 17:30,Pyrinto Tampere,Kouvot Kouvola,85,93,21,23,17,24,,17,29,24,23,
g_3_YwWnh6Jq,19.04. 17:30,Salon Vilpas,BC Nokia,106,70,17,38,27,24,,19,22,12,17,
g_3_S0VjiQYk,19.04. 16:00,Kataja,KTP Kotka Basket,109,72,27,25,27,30,,23,7,25,17,
g_3_KtanZi80,16.04. 17:30,Helsinki Seagulls,BC Nokia,63,87,21,12,19,11,,18,24,23,22,
g_3_hfcfXVxD,16.04. 17:30,Kataja,Karhu Basket,85,65,17,20,24,24,,18,14,18,15,
g_3_vVskzYhf,16.04. 17:30,Kobrat,Ura Basket,102,88,22,32,22,26,,22,19,23,24,
g_3_6c1bWkhJ,16.04. 17:30,Salon Vilpas,Kouvot Kouvola,109,86,29,25,29,26,,19,26,16,25,
g_3_bXcjYBN6,15.04. 17:30,KTP Kotka Basket,UU-Korihait Uusikaupunki,105,94,22,26,25,32,,19,26,24,25,
g_3_CGR8f2v9,13.04. 17:30,Ura Basket,Kataja,87,112,26,20,20,21,,24,25,30,33,
g_3_6HqsxfOs,13.04. 16:00,BC Nokia,KTP Kotka Basket,101,89,24,21,34,22,,19,22,24,24,
g_3_0vqoyEwl,13.04. 16:00,Karhu Basket,Helsinki Seagulls,83,65,18,20,21,24,,16,24,19,6,
g_3_YPS4erP2,12.04. 17:30,Kouvot Kouvola,Pyrinto Tampere,79,60,19,21,23,16,,17,13,19,11,
g_3_j97TndK9,12.04. 17:30,UU-Korihait Uusikaupunki,Kataja,90,98,27,14,17,32,,21,23,26,28,
g_3_CKsAZ02q,10.04. 17:30,Kobrat,Kouvot Kouvola,78,76,21,15,23,19,,12,21,26,17,
g_3_pAZMWbn2,10.04. 17:30,Pyrinto Tampere,UU-Korihait Uusikaupunki,107,72,28,20,34,25,,14,20,17,21,
g_3_OfoEYKHk,09.04. 17:30,Helsinki Seagulls,Kataja,64,100,16,14,12,22,,29,18,30,23,
g_3_fuervsfS,09.04. 17:30,KTP Kotka Basket,Karhu Basket,98,79,28,24,22,24,,25,25,13,16,
g_3_6JzJXvXe,09.04. 17:30,Salon Vilpas,BC Nokia,108,89,33,35,22,18,,27,20,20,22,
g_3_GldvuNvM,07.04. 16:00,UU-Korihait Uusikaupunki,Kobrat,80,93,25,15,19,21,,23,20,26,24,
g_3_KM2VtqA9,06.04. 16:00,BC Nokia,Pyrinto Tampere,69,87,16,23,23,7,,23,17,26,21,
g_3_bD1Zu3PF,06.04. 16:00,Karhu Basket,Salon Vilpas,96,81,16,25,29,26,,24,21,13,23,
g_3_Qa3RsPf3,05.04. 17:30,Helsinki Seagulls,KTP Kotka Basket,73,88,14,15,30,14,,21,28,14,25,
g_3_AiLvKL2d,05.04. 17:30,Kouvot Kouvola,Kataja,97,78,18,23,25,31,,19,21,18,20,
g_3_OvoQlOl4,03.04. 17:30,Kataja,Kobrat,87,74,25,19,27,16,,15,20,19,20,
g_3_W0MzL1mj,03.04. 17:30,Pyrinto Tampere,Karhu Basket,87,86,29,18,22,18,,17,26,19,24,
g_3_CdaNr5uc,03.04. 17:30,Ura Basket,Kouvot Kouvola,66,92,8,24,25,9,,20,23,20,29,
g_3_pWI4pOF8,02.04. 17:30,Salon Vilpas,KTP Kotka Basket,101,84,25,19,30,27,,23,16,29,16,
g_3_hxv3zSUn,31.03. 16:00,Kataja,Karhu Basket,65,69,16,15,16,18,,21,11,16,21,
g_3_xQ7XLsYq,30.03. 16:00,Salon Vilpas,Helsinki Seagulls,84,87,20,21,13,30,,16,26,30,15,
g_3_zHL5QNPS,30.03. 16:00,Ura Basket,UU-Korihait Uusikaupunki,85,80,24,17,26,18,,22,20,18,20,
g_3_vkSdSqeG,29.03. 17:30,Kobrat,BC Nokia,95,73,25,21,22,27,,18,17,16,22,
g_3_hhW0R3AM,29.03. 17:30,KTP Kotka Basket,Kataja,100,79,19,20,32,29,,16,18,18,27,
g_3_A9ztWRei,27.03. 17:30,BC Nokia,Ura Basket,104,78,30,30,15,29,,15,18,23,22,
g_3_6yUlU5Q3,27.03. 17:30,Helsinki Seagulls,Pyrinto Tampere,82,77,22,21,21,18,,26,13,20,18,
g_3_pSShTPuA,27.03. 17:30,Karhu Basket,Kobrat,94,77,14,22,31,27,,28,19,22,8,
g_3_l0ZqVoBc,27.03. 17:30,Kataja,Kouvot Kouvola,79,78,26,15,19,19,,17,21,13,27,
g_3_fuHDgMgF,27.03. 17:30,UU-Korihait Uusikaupunki,Salon Vilpas,81,93,25,19,20,17,,29,16,24,24,
g_3_8n90qNDH,25.03. 17:30,Kataja,Pyrinto Tampere,76,74,18,28,15,15,,9,16,27,22,
g_3_d6nb7rJj,23.03. 16:00,Pyrinto Tampere,KTP Kotka Basket,78,80,16,23,19,20,,16,27,17,20,
g_3_pWrf8O3p,23.03. 16:00,Salon Vilpas,Kataja,96,78,23,21,26,26,,16,24,22,16,
g_3_vk6RC4eT,23.03. 16:00,Ura Basket,Karhu Basket,71,101,23,12,20,16,,21,33,20,27,
g_3_WO2JEQQG,22.03. 17:30,Kobrat,Helsinki Seagulls,81,82,12,23,20,26,,18,21,18,25,
