matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_l6dJ7ULC,07.03. 16:00,Forssan Alku W,HBA W,118,70,40,17,33,28,,14,20,18,18,
g_3_bH36AWyf,07.03. 16:00,HyPo W,Torpan Pojat Helsinki W,56,74,19,10,15,12,,21,13,23,17,
g_3_Sj8A9ji0,07.03. 16:00,Kouvottaret W,Vimpelin Veto W,79,52,21,17,21,20,,14,16,6,16,
g_3_6s7E8A66,07.03. 16:00,PeKa W,Tapiolan Honka W,67,87,12,20,23,12,,27,15,23,22,
g_3_KQ42BCMm,07.03. 13:00,Lappeenranta W,Espoo Team W,77,74,12,17,20,28,,23,15,14,22,
g_3_UeQNIfUD,04.03. 17:30,Tapiolan Honka W,HBA W,74,72,16,22,14,22,,27,16,14,15,
g_3_x2FcCh7s,29.02. 16:00,Espoo Team W,Kouvottaret W,52,72,7,15,21,9,,18,10,19,25,
g_3_8nPRHEqK,29.02. 14:00,Torpan Pojat Helsinki W,PeKa W,69,106,11,20,17,21,,36,30,25,15,
g_3_29OVGYbQ,29.02. 14:00,Vimpelin Veto W,HyPo W,61,52,18,14,13,16,,7,8,9,28,
g_3_hvsufBiD,29.02. 12:00,Lappeenranta W,Forssan Alku W,64,75,14,16,15,19,,17,16,24,18,
g_3_Emryeix7,22.02. 16:00,Forssan Alku W,Tapiolan Honka W,87,75,17,20,27,23,,15,15,22,23,
g_3_ObkOcghl,22.02. 16:00,HyPo W,Espoo Team W,49,72,11,11,11,16,,16,14,20,22,
g_3_6NvTdD7f,22.02. 16:00,Kouvottaret W,Lappeenranta W,82,65,21,21,22,18,,20,18,13,14,
g_3_KQrXeXM0,22.02. 16:00,PeKa W,Vimpelin Veto W,100,78,17,33,30,20,,15,23,11,29,
g_3_p8jKbZxr,22.02. 14:00,HBA W,Torpan Pojat Helsinki W,87,65,25,20,27,15,,15,18,14,18,
g_3_EP3h3FUQ,19.02. 17:30,Espoo Team W,PeKa W,77,76,9,18,21,29,,15,17,19,25,
g_3_Q3NcsY77,19.02. 17:30,Kouvottaret W,Forssan Alku W,71,56,19,22,17,13,,15,10,15,16,
g_3_hAFq5y0E,19.02. 17:30,Lappeenranta W,HyPo W,82,50,19,19,15,29,,10,9,9,22,
g_3_v7Bu6Hp8,19.02. 17:30AOT,Torpan Pojat Helsinki W,Tapiolan Honka W,81,85,19,15,16,22,9,17,20,23,12,13
g_3_zZ4l4eFK,19.02. 17:30,Vimpelin Veto W,HBA W,76,87,15,27,17,17,,22,23,19,23,
g_3_nDOgrEh1,12.02. 17:30,Forssan Alku W,Torpan Pojat Helsinki W,92,80,19,24,27,22,,14,26,18,22,
g_3_joVppzOl,12.02. 17:30,HyPo W,Kouvottaret W,60,88,16,17,13,14,,22,15,33,18,
g_3_UyUlqfwe,12.02. 17:30,PeKa W,Lappeenranta W,87,55,20,19,24,24,,14,19,19,3,
g_3_dOVtoG8r,12.02. 16:30,HBA W,Espoo Team W,74,73,9,14,22,29,,21,22,10,20,
g_3_zLPFkd0R,11.02. 17:30,Tapiolan Honka W,Vimpelin Veto W,70,67,17,17,16,20,,10,20,17,20,
g_3_hdzBjxoL,08.02. 16:00,Espoo Team W,Tapiolan Honka W,71,87,20,18,17,16,,19,17,18,33,
g_3_6uYbgv12,08.02. 16:00,HyPo W,Forssan Alku W,65,77,15,16,13,21,,20,19,23,15,
g_3_pWW2hbG8,08.02. 16:00,Kouvottaret W,PeKa W,74,80,22,15,22,15,,23,17,20,20,
g_3_E5y7iIVE,08.02. 16:00,Lappeenranta W,HBA W,75,58,13,14,24,24,,14,13,23,8,
g_3_277Ipnc2,08.02. 14:00AOT,Vimpelin Veto W,Torpan Pojat Helsinki W,83,73,9,11,23,22,18,11,16,22,16,8
g_3_l43EoSsd,01.02. 17:00,Torpan Pojat Helsinki W,Espoo Team W,68,90,20,17,19,12,,19,18,27,26,
g_3_fs4An8Sk,01.02. 16:00,Forssan Alku W,Vimpelin Veto W,65,74,8,13,18,26,,22,11,17,24,
g_3_Gj56mlDq,01.02. 12:00,Tapiolan Honka W,Lappeenranta W,79,71,13,22,19,25,,16,11,21,23,
g_3_CM0ohU4S,31.01. 17:30,PeKa W,HyPo W,100,51,25,30,32,13,,7,20,12,12,
g_3_YV1sgAkM,30.01. 17:30,HBA W,Kouvottaret W,74,88,25,9,16,24,,25,20,20,23,
g_3_Q5bZfWK9,25.01. 16:00,HyPo W,HBA W,68,88,17,17,16,18,,16,20,30,22,
g_3_4jAQdhjc,25.01. 14:00,Torpan Pojat Helsinki W,Lappeenranta W,73,69,14,13,24,22,,16,18,17,18,
g_3_rs9UeC53,25.01. 14:00,Vimpelin Veto W,Espoo Team W,68,75,18,19,13,18,,13,20,17,25,
g_3_GzHrY8Dd,24.01. 17:30,Tapiolan Honka W,Kouvottaret W,92,81,26,19,21,26,,14,26,17,24,
g_3_v92wfjzG,22.01. 17:30,Forssan Alku W,PeKa W,81,56,25,11,20,25,,22,11,15,8,
g_3_xpIvZlbj,18.01. 16:00,Forssan Alku W,Espoo Team W,72,56,18,11,21,22,,6,15,21,14,
g_3_jk12hwaB,18.01. 16:00,HyPo W,Tapiolan Honka W,66,97,16,22,11,17,,15,26,30,26,
g_3_pC06icEH,18.01. 16:00,Kouvottaret W,Torpan Pojat Helsinki W,84,77,25,17,16,26,,15,23,26,13,
g_3_fLSZZUrp,18.01. 16:00,PeKa W,HBA W,94,68,19,35,25,15,,17,14,21,16,
g_3_Cb2bgJq5,18.01. 13:00AOT,Lappeenranta W,Vimpelin Veto W,81,78,14,12,21,20,14,13,21,17,16,11
g_3_fN7gfaUb,16.01. 17:30,HBA W,Tapiolan Honka W,83,78,23,28,16,16,,18,16,22,22,
g_3_lrAZT2Gg,15.01. 17:30,PeKa W,Espoo Team W,97,57,32,24,11,30,,16,9,9,23,
g_3_GW8keuFh,11.01. 16:00,Espoo Team W,Lappeenranta W,55,70,7,14,25,9,,16,14,15,25,
g_3_865sc1pt,11.01. 14:00,Torpan Pojat Helsinki W,HyPo W,70,75,23,17,21,9,,12,16,20,27,
g_3_M99odLan,11.01. 14:00,Vimpelin Veto W,Kouvottaret W,72,89,16,14,24,18,,24,16,31,18,
g_3_rqvyxIEU,11.01. 13:00,Tapiolan Honka W,PeKa W,93,81,29,17,17,30,,16,23,23,19,
