matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_E7GGjSt4,06.05. 17:30,Karhu Basket,Helsinki Seagulls,56,68,11,17,15,13,,18,18,13,19,
g_3_tfI8hlCi,03.05. 14:00,Helsinki Seagulls,Karhu Basket,82,79,14,28,21,19,,22,19,22,16,
g_3_OImOpxgo,29.04. 17:30,Karhu Basket,Helsinki Seagulls,80,89,26,11,19,24,,20,16,25,28,
g_3_Eq2hjbVN,26.04. 16:00,Helsinki Seagulls,Karhu Basket,89,56,17,24,28,20,,17,12,12,15,
g_3_AZ9Pl6BG,19.04. 16:00AOT,Kataja,Salon Vilpas,99,100,21,27,26,17,8,21,25,28,17,9
g_3_YNutEQDN,15.04. 17:30,Kataja,Karhu Basket,87,99,30,26,18,13,,25,16,28,30,
g_3_hf1SeEYR,14.04. 17:30,Salon Vilpas,Helsinki Seagulls,76,90,20,20,19,17,,25,21,22,22,
g_3_QcxYFnqB,12.04. 16:00,Karhu Basket,Kataja,87,79,20,23,21,23,,21,16,21,21,
g_3_dS7Jcz4F,11.04. 17:30,Helsinki Seagulls,Salon Vilpas,92,73,34,19,18,21,,14,29,10,20,
g_3_6eMWH8Eb,09.04. 17:30,Kataja,Karhu Basket,82,96,19,30,18,15,,19,23,32,22,
g_3_OE9BadZ2,08.04. 17:30,Salon Vilpas,Helsinki Seagulls,84,97,17,35,14,18,,27,18,29,23,
g_3_YsOOJUqn,05.04. 17:00,Karhu Basket,Kataja,93,79,26,25,16,26,,21,15,21,22,
g_3_MeQRipGd,05.04. 15:00,Helsinki Seagulls,Salon Vilpas,98,76,34,19,24,21,,12,20,28,16,
g_3_CIjRqO2F,02.04. 17:30,Salon Vilpas,UU-Korihait Uusikaupunki,75,68,17,17,18,23,,17,20,12,19,
g_3_WvyAfORj,31.03. 17:30,Kouvot Kouvola,Helsinki Seagulls,60,77,22,21,11,6,,28,19,18,12,
g_3_fTl8NvVp,31.03. 17:30,UU-Korihait Uusikaupunki,Salon Vilpas,71,58,21,17,19,14,,11,20,10,17,
g_3_OQa8S38C,29.03. 16:00,Kataja,Bisons Loimaa,93,81,13,30,21,29,,25,16,20,20,
g_3_rgPZD4gJ,28.03. 17:30,Helsinki Seagulls,Kouvot Kouvola,101,64,23,21,33,24,,6,22,19,17,
g_3_dx1h1R9D,28.03. 17:30,Karhu Basket,Pyrinto Tampere,107,78,25,32,31,19,,26,14,20,18,
