matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_EwH90xme,26.05. 15:00,Monaco U21,JL Bourg U21,71,88,13,22,17,19,,21,24,18,25,
g_3_tAf9fzTk,25.05. 20:00,Nancy U21,JL Bourg U21,62,71,8,20,15,19,,17,22,15,17,
g_3_YJcv4pTr,25.05. 17:00,Monaco U21,Gravelines-Dunkerque U21,86,74,23,24,13,26,,11,19,20,24,
g_3_UHqqz4yH,24.05. 20:30,Nancy U21,Limoges U21,68,61,10,18,16,24,,10,20,17,14,
g_3_0xhSwnxh,24.05. 18:00,Nanterre U21,JL Bourg U21,55,70,12,16,14,13,,13,25,11,21,
g_3_MityxQ64,24.05. 15:30,Monaco U21,Orleans U21,67,62,15,16,23,13,,11,15,20,16,
g_3_Mk1HHeLk,24.05. 13:00,Gravelines-Dunkerque U21,Strasbourg U21,70,69,19,16,17,18,,17,15,21,16,
g_3_tzKNCh8s,11.05. 15:30,Ada Blois U21,Monaco U21,80,108,13,27,21,19,,27,29,26,26,
g_3_8djKBCNm,11.05. 15:30,Boulogne-Levallois U21,Nanterre U21,98,76,23,30,24,21,,25,18,16,17,
g_3_nmkOAWxf,11.05. 15:30,Cholet U21,Chalon/Saone U21,103,64,21,38,27,17,,17,15,20,12,
g_3_tAlS9jh0,11.05. 15:30AOT,Dijon U21,Le Mans U21,84,95,17,23,22,18,4,23,20,21,16,15
g_3_fDhW8A76,11.05. 15:30AOT,Le Portel U21,Paris U21,69,71,18,7,26,12,6,17,16,17,13,8
g_3_xxry8UMC,11.05. 15:30AOT,Limoges U21,JL Bourg U21,91,90,25,15,18,25,8,30,16,25,12,7
g_3_GStu7lxJ,11.05. 15:30,Nancy U21,Gravelines-Dunkerque U21,80,85,24,16,19,21,,21,24,16,24,
g_3_4rzNVXEJ,11.05. 15:30,Roanne U21,Lyon-Villeurbanne U21,91,86,20,24,20,27,,26,19,22,19,
g_3_rZYQUiUP,11.05. 15:30,Saint Quentin U21,Strasbourg U21,74,97,21,10,19,24,,24,31,25,17,
g_3_fHSJTVQr,07.05. 15:30,Lyon-Villeurbanne U21,Gravelines-Dunkerque U21,71,93,17,12,24,18,,23,22,20,28,
g_3_MVncdXN0,07.05. 15:00,Paris U21,Roanne U21,79,100,15,23,21,20,,25,22,28,25,
g_3_W0UmJfVD,04.05. 17:00,Le Mans U21,Limoges U21,80,77,17,23,18,22,,17,23,20,17,
g_3_0Gblbggl,04.05. 16:30,Chalon/Saone U21,Saint Quentin U21,76,83,18,25,17,16,,22,11,20,30,
g_3_Uej5fBhD,04.05. 15:30,Lyon-Villeurbanne U21,Le Portel U21,106,47,27,26,26,27,,12,11,10,14,
g_3_vRXeHYaQ,04.05. 15:00,JL Bourg U21,Nancy U21,78,66,19,19,22,18,,21,15,15,15,
