matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_tQUiCA2Q,22.04. 16:45,Monaco,Lyon-Villeurbanne,90,70,33,16,25,16,,15,17,18,20,
g_3_0CCGO70A,19.03. 17:30,Lyon-Villeurbanne,Strasbourg,85,69,30,14,21,20,,17,28,13,11,
g_3_6kDCPmo4,19.03. 14:30,Monaco,Le Mans,87,78,15,30,22,20,,26,20,20,12,
g_3_IHUpRbGO,18.03. 20:30,Lyon-Villeurbanne,Cholet,85,79,21,18,21,25,,16,15,22,26,
g_3_xETiDPNF,18.03. 18:00,Pau-Orthez,Monaco,78,98,17,20,16,25,,23,24,30,21,
g_3_WEoQfH7l,18.03. 15:30,Le Mans,Dijon,89,77,28,25,21,15,,17,7,20,33,
g_3_IBsMechr,18.03. 13:00,JL Bourg,Strasbourg,71,88,21,18,20,12,,23,24,24,17,
g_3_fcOWwxCR,28.02. 20:30,St. Chamond,Cholet,76,93,19,16,16,25,,29,23,18,23,
g_3_jTmXIzz2,15.02. 20:00,Limoges,JL Bourg,79,94,19,19,15,26,,28,26,25,15,
g_3_d6AbZeKr,15.02. 20:00,Lyon-Villeurbanne,Roanne,89,88,27,27,14,21,,19,21,22,26,
g_3_SpXFsKC2,15.02. 20:00,Strasbourg,Boulazac,101,83,25,31,26,19,,24,20,17,22,
g_3_CxkTJGKe,15.02. 19:00,Monaco,Boulogne-Levallois,107,76,29,29,27,22,,17,21,21,17,
g_3_CYYRvIdL,15.02. 19:00,Pau-Orthez,Le Portel,92,83,20,25,22,25,,27,18,19,19,
g_3_0bVNubsF,14.02. 20:00AOT,Antibes,Dijon,85,89,18,14,24,21,8,22,12,21,22,12
g_3_6yWJtvS8,07.02. 20:00,Nancy,Le Mans,78,86,21,26,21,10,,23,26,19,18,
g_3_fqiMizLF,05.12. 19:00,Antibes,Paris,95,84,30,23,18,24,,27,22,23,12,
g_3_zqpAfxyc,23.11. 20:30,Gravelines-Dunkerque,Roanne,76,86,13,21,19,23,,19,23,23,21,
g_3_EZrEgdj3,23.11. 20:00,Le Portel,Fos-sur-Mer,90,81,15,28,28,19,,25,14,21,21,
g_3_nsW0phDk,23.11. 20:00,Nancy,Nanterre,69,63,23,17,14,15,,14,22,14,13,
