matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_reUDFdOl,16.02. 15:30,Bourges W,Tarbes GB W,77,42,13,25,15,24,,10,14,5,13,
g_3_MoTHEGwe,16.02. 15:30,Lyon W,Lattes Montpellier W,86,74,24,21,21,20,,23,10,19,22,
g_3_xrB0YHBf,15.02. 20:00,Landerneau Bretagne W,Tarbes GB W,69,71,22,19,12,16,,19,13,18,21,
g_3_lIE4XyR0,15.02. 20:00,Lattes Montpellier W,Landes W,59,53,17,15,14,13,,16,6,19,12,
g_3_rLBdZcdl,15.02. 17:00,Bourges W,Toulouse W,89,60,27,28,22,12,,15,17,12,16,
g_3_4UChzvsr,15.02. 17:00,La Roche W,Lyon W,73,92,25,10,20,18,,15,27,28,22,
g_3_C64ZA9sC,14.12. 20:00,La Roche W,Flammes Carolo W,80,79,,,,,,,,,,
g_3_GvBQCVCa,14.12. 20:00AOT,Tarbes GB W,CSP Nantes W,86,82,17,16,18,26,9,23,12,26,16,5
g_3_b30VBkS5,14.12. 20:00,Toulouse W,ESB Villeneuve W,71,67,22,14,11,24,,15,15,19,18,
g_3_6T3wATdI,12.12. 20:00,Landes W,Charnay Bourgogne Sud W,71,47,16,15,22,18,,11,4,10,22,
g_3_xlCMDBcg,12.12. 20:00,Mondeville W,Landerneau Bretagne W,48,67,19,11,10,8,,15,17,20,15,
