matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_84plIeoI,26.04. 18:15,Paris,Le Mans,91,80,28,20,21,22,,26,16,12,26,
g_3_n5Qf0byo,16.03. 15:30,Monaco,Le Mans,99,102,21,34,20,24,,30,22,22,28,
g_3_vaDtO1Ti,15.03. 20:30,Paris,JL Bourg,99,91,32,19,25,23,,24,22,13,32,
g_3_4rYmjeuJ,26.02. 20:00,Le Mans,Cholet,101,82,23,30,31,17,,23,17,18,24,
g_3_dIUuhHA6,25.02. 19:30,Monaco,Lyon-Villeurbanne,83,70,23,23,31,6,,23,23,12,12,
g_3_fsMXPdy1,12.02. 20:00,ASA,JL Bourg,64,65,22,13,16,13,,9,22,14,20,
g_3_zwZor01b,11.02. 20:00,Nanterre,Cholet,84,97,22,21,24,17,,21,33,24,19,
g_3_bFSORI6l,11.02. 20:00,Paris,Dijon,93,78,21,25,25,22,,22,19,16,21,
g_3_O27ZYeOp,11.02. 20:00,Saint Quentin,Lyon-Villeurbanne,54,76,14,8,14,18,,20,16,26,14,
g_3_GdfLdaGi,20.01. 20:00,Dijon,Le Portel,91,82,25,24,19,23,,15,15,28,24,
g_3_dhNftvWA,09.01. 20:00,Poitiers,JL Bourg,89,94,21,19,25,24,,25,25,24,20,
g_3_rPDUhHFG,07.01. 20:30,ASA,Roanne,81,68,20,27,13,21,,21,15,15,17,
g_3_4IQ2vI0N,07.01. 20:30,Pau-Orthez,Paris,78,107,35,18,14,11,,32,27,31,17,
g_3_zaAMfwo4,07.01. 20:00,Ada Blois,Monaco,84,99,26,21,19,18,,21,33,26,19,
g_3_tly3kM5t,07.01. 20:00,Tours,Le Mans,72,94,31,9,18,14,,23,37,15,19,
g_3_lhwN7y85,10.12. 20:00,Levallois,Tours,78,80,20,18,21,19,,21,20,14,25,
g_3_lKaf6OW0,27.11. 18:00,Dijon,Gravelines-Dunkerque,113,70,25,35,29,24,,18,19,16,17,
g_3_zF4EBJ8t,26.11. 19:30,Roanne,La Rochelle,93,75,22,18,24,29,,17,26,22,10,
g_3_tfdn8p2l,12.11. 20:30,ASA,Chalon/Saone,87,66,26,18,23,20,,20,17,9,20,
g_3_dMKFD6vR,12.11. 20:30AOT,Pau-Orthez,Strasbourg,94,86,30,16,15,13,20,16,19,24,15,12
g_3_png3421D,12.11. 20:00,Hyeres-Toulon,Le Mans,77,84,29,14,15,19,,27,15,23,19,
g_3_jPH7FS9E,12.11. 20:00,Quimper,Ada Blois,80,86,22,21,19,18,,28,13,21,24,
g_3_tSZE9cwg,11.11. 17:00,Aix Maurienne,Poitiers,84,97,29,23,15,17,,13,25,29,30,
g_3_Cr4j1onR,16.10. 20:00,Orchies,Chalon/Saone,83,95,28,17,20,18,,22,27,23,23,
g_3_pWAdAOOs,16.10. 19:30,Strasbourg,Nancy,106,66,22,33,25,26,,16,16,19,15,
g_3_IHnX9FUb,15.10. 20:30,Hyeres-Toulon,Antibes,99,72,20,29,23,27,,17,12,24,19,
g_3_CGut8gaB,15.10. 20:30,Pau-Orthez,Limoges,65,61,21,12,12,20,,15,16,12,18,
g_3_xQmVg3v1,15.10. 20:00,Angers,La Rochelle,78,81,37,18,16,7,,16,29,25,11,
g_3_Odv56tO6,15.10. 20:00,Berck/Rang Du Fliers,Levallois,75,79,17,21,23,14,,14,24,24,17,
g_3_QoUPFp1K,15.10. 20:00,Boulogne sur Mer,Gravelines-Dunkerque,85,87,29,22,26,8,,25,32,18,12,
g_3_4EKK0Bio,15.10. 20:00,Feurs,Aix Maurienne,85,101,28,19,24,14,,21,32,33,15,
