matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_CCshTHN9,22.05. 20:45,Lyon W,ESB Villeneuve W,74,68,18,19,16,21,,14,23,14,17,
g_3_hCWzLiwh,20.05. 15:15,Lyon W,ESB Villeneuve W,85,72,20,29,18,18,,14,16,15,27,
g_3_ELXWLXNo,17.05. 20:45,ESB Villeneuve W,Lyon W,67,59,15,17,18,17,,20,19,14,6,
g_3_tKPViqhU,16.05. 20:00,Tarbes GB W,Union Hainaut W,67,58,11,11,24,21,,15,10,14,19,
g_3_6sixDSNu,16.05. 20:00AOT,Toulouse W,Landerneau Bretagne W,92,94,26,15,17,24,10,19,21,19,23,12
g_3_AXQPwaiD,13.05. 20:50,Lyon W,Bourges W,93,73,20,30,24,19,,22,18,22,11,
g_3_SGLRhPxO,13.05. 20:00,Landerneau Bretagne W,Union Hainaut W,81,54,17,26,26,12,,18,13,9,14,
g_3_YgMNg5NH,13.05. 20:00,Toulouse W,Tarbes GB W,80,60,18,20,20,22,,19,10,19,12,
g_3_OEXyoGbt,13.05. 18:45,ESB Villeneuve W,Lattes Montpellier W,73,70,24,18,15,16,,17,13,18,22,
g_3_Ei6MeRh5,10.05. 20:00,Tarbes GB W,Landerneau Bretagne W,56,68,15,10,14,17,,11,18,23,16,
g_3_f3NJfo8B,10.05. 20:00,Union Hainaut W,Toulouse W,78,90,19,20,20,19,,26,24,19,21,
g_3_WtSLvux7,09.05. 20:50,Bourges W,Lyon W,80,67,15,19,22,24,,18,18,13,18,
g_3_Cx582rUD,09.05. 18:45,Lattes Montpellier W,ESB Villeneuve W,60,75,13,12,18,17,,26,14,24,11,
g_3_GdzhtngI,06.05. 20:50,Bourges W,Landes W,86,59,22,22,23,19,,18,15,15,11,
g_3_z17Id7wa,06.05. 20:00,Landerneau Bretagne W,Toulouse W,79,69,20,15,25,19,,16,18,15,20,
g_3_tv8EcmOh,06.05. 20:00,Union Hainaut W,Tarbes GB W,69,64,14,20,16,19,,17,17,9,21,
g_3_Mcsqr8O5,06.05. 20:00,Lyon W,Flammes Carolo W,85,47,25,19,20,21,,9,7,17,14,
g_3_lpqypUgg,06.05. 18:45,Lattes Montpellier W,La Roche W,100,92,25,29,27,19,,26,20,20,26,
g_3_hIkSojPt,06.05. 16:00,ESB Villeneuve W,Angers W,82,58,20,21,25,16,,18,18,12,10,
g_3_pCE5a9gt,03.05. 20:00,Tarbes GB W,Toulouse W,77,53,14,15,21,27,,15,15,10,13,
g_3_Sz4AbT8n,03.05. 20:00,Union Hainaut W,Landerneau Bretagne W,60,72,20,12,12,16,,15,18,22,17,
g_3_YXpmsSwC,02.05. 20:50,Landes W,Bourges W,70,70,24,13,17,16,,16,18,17,19,
g_3_zw30jWGP,02.05. 20:00,Angers W,ESB Villeneuve W,74,103,19,14,18,23,,24,24,30,25,
g_3_Szruql9a,02.05. 20:00,Flammes Carolo W,Lyon W,79,91,19,17,24,19,,22,35,17,17,
g_3_W8lWpAvm,02.05. 18:45,La Roche W,Lattes Montpellier W,79,73,26,15,20,18,,19,14,17,23,
g_3_fmZeu68O,29.04. 20:00,Landerneau Bretagne W,Tarbes GB W,83,57,25,17,25,16,,18,13,12,14,
g_3_r3Sw4koP,29.04. 20:00,Toulouse W,Union Hainaut W,76,78,17,20,18,21,,16,16,29,17,
g_3_Wbm0zTtU,25.04. 20:00AOT,Angers W,La Roche W,107,109,34,19,26,20,8,27,22,24,26,10
g_3_MTFMiUB4,25.04. 20:00,Landerneau Bretagne W,Lyon W,63,82,12,23,14,14,,16,23,24,19,
g_3_rwHIhAdb,25.04. 20:00,Landes W,Union Hainaut W,72,54,16,17,27,12,,19,5,16,14,
g_3_0ERDgjsh,25.04. 20:00,Lattes Montpellier W,Bourges W,65,61,11,22,13,19,,23,15,7,16,
g_3_nBN9fWRo,25.04. 20:00AOT,Tarbes GB W,ESB Villeneuve W,88,91,20,10,23,17,18,18,20,15,17,21
g_3_Y7ZRVnko,25.04. 20:00,Toulouse W,Flammes Carolo W,82,62,25,21,15,21,,19,23,8,12,
g_3_zXgixkCH,19.04. 20:00,Bourges W,Landerneau Bretagne W,77,75,19,19,22,17,,14,19,24,18,
g_3_UZjqvBs5,19.04. 20:00,ESB Villeneuve W,Toulouse W,84,81,24,24,24,12,,17,21,17,26,
g_3_8K2ztXCh,19.04. 20:00,Flammes Carolo W,Angers W,72,92,27,15,15,15,,21,19,28,24,
g_3_ENhey9RN,19.04. 20:00,Lyon W,Landes W,60,62,18,14,14,14,,14,7,20,21,
g_3_nB1vuiSb,19.04. 20:00,Tarbes GB W,La Roche W,74,69,19,20,19,16,,18,16,13,22,
g_3_tAfmwVdB,19.04. 20:00,Union Hainaut W,Lattes Montpellier W,47,87,2,21,9,15,,19,19,28,21,
g_3_zwc1TgTn,15.04. 20:00,Tarbes GB W,Flammes Carolo W,75,81,18,16,22,19,,15,17,20,29,
g_3_MTTHNkcO,09.04. 15:00,Toulouse W,Tarbes GB W,74,66,22,17,15,20,,21,20,15,10,
g_3_lGV9PBSB,08.04. 20:00,Angers W,ESB Villeneuve W,71,82,18,16,21,16,,25,17,18,22,
g_3_S6UDOVsI,08.04. 20:00,La Roche W,Flammes Carolo W,100,59,25,29,21,25,,19,18,13,9,
g_3_vobWtDcn,08.04. 20:00,Landes W,Landerneau Bretagne W,84,79,15,25,21,23,,27,15,18,19,
g_3_zXXLM9CU,08.04. 18:30,Lattes Montpellier W,Lyon W,89,78,20,21,27,21,,26,18,17,17,
g_3_0faSsgrt,07.04. 20:00,Bourges W,Union Hainaut W,65,72,27,13,7,18,,16,23,18,15,
g_3_lt15SDrg,02.04. 16:30,Landes W,Lattes Montpellier W,79,67,19,27,16,17,,20,18,11,18,
