matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_nBiMHWEB,17.05. 20:00,Chartres W,Charnay Bourgogne Sud W,54,55,6,18,20,10,,14,10,17,14,
g_3_4n2HICa5,13.05. 20:00,Charnay Bourgogne Sud W,Chartres W,80,69,16,17,28,19,,16,24,22,7,
g_3_QcrVLKOK,03.05. 20:00,Champagne W,Charnay Bourgogne Sud W,55,65,21,15,8,11,,13,14,17,21,
g_3_8IofGbnr,03.05. 20:00,Graffenstaden W,Chartres W,58,66,15,14,9,20,,17,13,24,12,
g_3_WzqRM09E,29.04. 20:00,Charnay Bourgogne Sud W,Champagne W,71,69,14,20,17,20,,19,14,13,23,
g_3_4lsZKvvR,29.04. 20:00,Chartres W,Graffenstaden W,81,49,19,22,15,25,,10,10,14,15,
g_3_M5PFSJSL,23.04. 16:30,Champagne W,Tronche Meylan W,88,57,16,18,25,29,,10,9,15,23,
g_3_EuQBTaDF,23.04. 15:30,Charnay Bourgogne Sud W,Aulnoye AS W,72,66,16,19,22,15,,14,21,12,19,
g_3_OrFitxS1,19.04. 20:00,Aulnoye AS W,Charnay Bourgogne Sud W,65,62,14,16,18,17,,13,14,13,22,
g_3_rmnIdcCr,19.04. 20:00,Graffenstaden W,Feytiat W,60,53,14,18,14,14,,13,9,17,14,
g_3_C4en2JlL,19.04. 20:00,Mondeville W,Chartres W,59,66,17,8,22,12,,24,15,14,13,
g_3_jk7w4uK8,19.04. 20:00,Tronche Meylan W,Champagne W,63,56,10,18,9,26,,21,13,12,10,
g_3_xn3Z4L42,15.04. 20:00,Champagne W,Tronche Meylan W,71,48,23,15,9,24,,19,8,12,9,
g_3_phGmsICe,15.04. 20:00,Charnay Bourgogne Sud W,Aulnoye AS W,88,48,20,22,19,27,,17,11,9,11,
g_3_YDdr3aZE,15.04. 20:00,Chartres W,Mondeville W,79,50,17,20,28,14,,10,12,9,19,
g_3_tv0j1w4R,15.04. 20:00,Feytiat W,Graffenstaden W,51,65,16,10,12,13,,19,15,10,21,
g_3_jcRzSjoC,08.04. 20:00,Calais W,Graffenstaden W,57,71,18,15,17,7,,15,23,14,19,
g_3_MHZJVYom,08.04. 20:00,Centre Federal BB W,Monaco W,67,58,12,17,19,19,,12,9,11,26,
g_3_rRzGWEWt,08.04. 20:00,Chartres W,Champagne W,68,62,22,22,13,11,,20,11,22,9,
g_3_IqTSTCGa,08.04. 20:00,Feytiat W,Montbrison W,73,61,23,18,10,22,,20,9,22,10,
g_3_C6SWSWV5,08.04. 20:00,Mondeville W,Charnay Bourgogne Sud W,62,53,11,13,20,18,,18,16,10,9,
g_3_4tPOUh1g,08.04. 20:00,Tronche Meylan W,Aulnoye AS W,78,50,12,23,22,21,,18,6,9,17,
g_3_ChmbEXGC,01.04. 20:00,Aulnoye AS W,Centre Federal BB W,58,61,15,17,16,10,,13,16,16,16,
g_3_Crppxy9J,01.04. 20:00,Calais W,Montbrison W,62,86,16,26,10,10,,31,19,23,13,
g_3_Aw61DiWI,01.04. 20:00,Charnay Bourgogne Sud W,Feytiat W,53,44,15,10,15,13,,9,13,14,8,
g_3_jZrlyeOP,01.04. 20:00,Graffenstaden W,Mondeville W,76,69,25,15,21,15,,21,23,15,10,
g_3_vukjGgn0,01.04. 20:00,Monaco W,Chartres W,67,74,19,21,17,10,,26,20,9,19,
g_3_IVmfFD16,01.04. 20:00,Tronche Meylan W,Champagne W,67,86,19,18,10,20,,24,23,18,21,
g_3_jFG2PcPD,25.03. 20:00,Chartres W,Aulnoye AS W,50,56,16,11,11,12,,16,18,11,11,
g_3_ljdwJe2s,25.03. 20:00,Feytiat W,Graffenstaden W,51,60,14,11,12,14,,19,15,13,13,
g_3_M3foHZWg,25.03. 20:00,Mondeville W,Calais W,76,56,17,9,26,24,,16,15,14,11,
g_3_rDesIFHm,25.03. 20:00,Montbrison W,Charnay Bourgogne Sud W,59,63,19,9,16,15,,20,9,16,18,
g_3_CU4BNyfQ,25.03. 15:00,Centre Federal BB W,Tronche Meylan W,65,52,20,21,14,10,,8,17,10,17,
g_3_U5F6OHvK,24.03. 20:00,Champagne W,Monaco W,90,61,28,28,16,18,,11,16,17,17,
g_3_fTz44dml,18.03. 20:00,Aulnoye AS W,Champagne W,63,51,20,11,16,16,,18,8,14,11,
g_3_O8SK0EnD,18.03. 20:00,Calais W,Charnay Bourgogne Sud W,78,82,20,22,16,20,,22,17,29,14,
g_3_pITG1fX6,18.03. 20:00,Graffenstaden W,Montbrison W,67,52,14,14,23,16,,22,6,18,6,
g_3_2gvC2zI0,18.03. 20:00,Mondeville W,Feytiat W,54,52,15,17,16,6,,13,12,9,18,
g_3_ljz83G2f,18.03. 20:00,Tronche Meylan W,Monaco W,68,49,21,13,19,15,,10,21,11,7,
g_3_Gxx05xYs,18.03. 19:00,Centre Federal BB W,Chartres W,43,67,7,8,17,11,,21,9,21,16,
g_3_nNRv4Sy8,11.03. 20:00,Champagne W,Centre Federal BB W,79,45,18,23,23,15,,15,11,7,12,
g_3_zqfX9IPQ,11.03. 20:00,Charnay Bourgogne Sud W,Graffenstaden W,68,59,17,10,16,25,,14,19,13,13,
g_3_8WSz58M1,11.03. 20:00,Chartres W,Tronche Meylan W,64,65,14,17,14,19,,25,5,16,19,
g_3_2VePBveE,11.03. 20:00,Feytiat W,Calais W,84,52,21,28,18,17,,12,11,11,18,
g_3_jehLCKu8,11.03. 20:00,Monaco W,Aulnoye AS W,61,71,14,9,21,17,,16,23,10,22,
g_3_dheTAbAK,11.03. 20:00,Montbrison W,Mondeville W,58,76,11,16,14,17,,21,21,16,18,
