matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_fNFXxUvH,24.06. 20:30,Paris,Monaco,99,93,29,25,19,26,,21,29,31,12,
g_3_EwNmWkcD,22.06. 16:30,Monaco,Paris,80,74,20,20,15,25,,16,27,13,18,
g_3_UiziZqq3,20.06. 20:30,Monaco,Paris,81,78,12,21,30,18,,23,22,15,18,
g_3_2or5Btid,17.06. 20:30,Paris,Monaco,92,67,20,21,29,22,,13,15,17,22,
g_3_rqS3D2Mq,15.06. 16:30,Paris,Monaco,94,82,22,27,25,20,,23,15,23,21,
g_3_xKd4qKAL,10.06. 21:00,Monaco,Lyon-Villeurbanne,91,86,21,29,16,25,,24,27,27,8,
g_3_MRYN1WKk,08.06. 19:00,JL Bourg,Paris,93,103,28,28,19,18,,26,26,23,28,
g_3_hABVheGi,08.06. 16:30,Monaco,Lyon-Villeurbanne,74,64,19,15,21,19,,15,17,16,16,
g_3_xfci7hcS,06.06. 21:00,Paris,JL Bourg,117,103,25,30,31,31,,30,27,23,23,
g_3_0GOqViOp,05.06. 21:00,Lyon-Villeurbanne,Monaco,77,94,12,16,24,25,,21,26,19,28,
g_3_UTgq9ESF,04.06. 21:00,Paris,JL Bourg,100,89,29,23,27,21,,28,25,21,15,
g_3_8r7Bm0vC,03.06. 21:00,Lyon-Villeurbanne,Monaco,94,74,31,18,19,26,,21,24,13,16,
g_3_6ko9pJaS,01.06. 16:30,Monaco,Le Mans,85,76,21,21,19,24,,21,18,14,23,
g_3_AmmnQrA6,31.05. 18:30,Lyon-Villeurbanne,Chalon/Saone,99,75,21,23,21,34,,13,19,23,20,
g_3_WEgvh7H6,31.05. 16:30,Paris,Dijon,114,88,38,25,27,24,,14,18,27,29,
g_3_WY58XUY0,30.05. 20:00,Le Mans,Monaco,88,87,13,20,33,22,,19,15,28,25,
g_3_C89Iylfd,29.05. 21:00,Dijon,Paris,80,79,22,12,19,27,,17,16,22,24,
g_3_WCYFnt0t,29.05. 19:00,Chalon/Saone,Lyon-Villeurbanne,76,69,18,20,15,23,,19,14,24,12,
g_3_z7CaZj4l,28.05. 21:00,Monaco,Le Mans,76,69,18,11,21,26,,20,13,21,15,
g_3_jHkSiaKF,28.05. 19:00,JL Bourg,Cholet,94,89,24,25,26,19,,13,23,28,25,
g_3_veBAwAPq,27.05. 21:00,Paris,Dijon,100,87,33,32,20,15,,19,20,28,20,
g_3_G0b6SxFO,27.05. 19:00,Lyon-Villeurbanne,Chalon/Saone,100,96,21,30,26,23,,29,23,24,20,
g_3_U11JgLk3,26.05. 20:00,Cholet,JL Bourg,71,95,15,15,23,18,,24,16,25,30,
g_3_0E30sfkB,23.05. 20:00,Dijon,Saint Quentin,92,79,29,23,20,20,,26,15,21,17,
g_3_2e9XVHcd,20.05. 20:30,Nancy,Saint Quentin,81,88,23,22,16,20,,31,20,20,17,
g_3_6TFOXwTq,20.05. 20:00,Chalon/Saone,Dijon,106,85,19,36,19,32,,25,16,21,23,
g_3_pnoNhKGa,17.05. 18:00,Chalon/Saone,Monaco,90,65,22,22,30,16,,17,12,23,13,
g_3_IsYfkoA7,17.05. 18:00,JL Bourg,Cholet,86,89,23,25,27,11,,19,24,27,19,
g_3_v96d7JVh,17.05. 18:00AOT,La Rochelle,Le Mans,98,100,18,15,27,28,10,26,27,22,13,12
g_3_lKiEftnm,17.05. 18:00,Le Portel,Nanterre,90,70,25,27,18,20,,26,11,13,20,
g_3_ERxvkxGO,17.05. 18:00,Limoges,Saint Quentin,74,70,17,25,12,20,,24,22,15,9,
g_3_hClVjboC,17.05. 18:00,Lyon-Villeurbanne,Dijon,84,83,23,20,20,21,,10,24,32,17,
g_3_rsDm9u1t,17.05. 18:00,Nancy,Paris,86,105,17,28,24,17,,24,38,25,18,
g_3_IXUtDl2E,17.05. 18:00,Strasbourg,Gravelines-Dunkerque,91,88,26,24,26,15,,22,21,19,26,
g_3_6LgGG5no,13.05. 20:30,Paris,Dijon,95,96,16,29,22,28,,28,28,27,13,
g_3_C0BPmYY2,13.05. 20:00,La Rochelle,Monaco,48,86,16,13,7,12,,23,15,22,26,
g_3_6NnLx8Q1,12.05. 20:00,Le Mans,Lyon-Villeurbanne,97,80,27,20,28,22,,20,18,20,22,
g_3_AegCvUek,11.05. 19:00,Monaco,JL Bourg,73,100,19,10,31,13,,27,28,20,25,
g_3_l2tvgTAr,11.05. 16:30,Nanterre,Strasbourg,76,75,17,22,18,19,,19,25,21,10,
g_3_IJk8bkmL,10.05. 20:30,Gravelines-Dunkerque,Chalon/Saone,78,71,29,14,13,22,,19,23,20,9,
g_3_AHUni7ue,10.05. 20:30,Paris,Le Portel,109,65,29,22,35,23,,10,22,14,19,
g_3_IcEXoC3F,10.05. 18:00,Cholet,Nancy,95,74,28,16,23,28,,29,17,16,12,
g_3_bHZ60BI8,10.05. 18:00,Dijon,Limoges,89,83,21,29,19,20,,21,22,18,22,
g_3_vD2tpjYR,09.05. 20:00,Saint Quentin,La Rochelle,75,59,11,20,21,23,,20,16,9,14,
g_3_fPtutMFd,04.05. 19:00,Cholet,Lyon-Villeurbanne,75,94,5,26,21,23,,17,25,30,22,
g_3_MgRRY48T,04.05. 16:00,Limoges,Paris,71,78,11,26,17,17,,17,21,18,22,
g_3_UalgkQhA,03.05. 20:30,Dijon,Gravelines-Dunkerque,93,77,18,23,30,22,,21,18,20,18,
g_3_2R10m4NM,03.05. 20:30,JL Bourg,Le Portel,98,69,25,24,25,24,,19,12,20,18,
g_3_tv8bTrWj,03.05. 18:00,Chalon/Saone,Strasbourg,86,78,21,17,21,27,,15,20,18,25,
g_3_MBrXsrop,03.05. 18:00,Saint Quentin,Le Mans,89,91,21,25,26,17,,20,25,26,20,
g_3_8p0pinOc,02.05. 20:00,Nancy,Nanterre,96,81,28,26,25,17,,27,20,22,12,
g_3_lMW2rIuQ,29.04. 20:00,Le Mans,JL Bourg,96,92,21,26,26,23,,23,20,22,27,
g_3_tKBsyzYa,27.04. 19:00,Gravelines-Dunkerque,Saint Quentin,91,75,33,21,25,12,,14,23,20,18,
g_3_nHW2v9vh,27.04. 19:00,Le Portel,Cholet,87,80,20,19,23,25,,23,22,15,20,
g_3_ltTJzRwH,27.04. 16:30,Chalon/Saone,Nanterre,107,84,24,24,28,31,,23,21,18,22,
g_3_0MRrZD2C,27.04. 16:30,Monaco,Limoges,91,52,27,20,26,18,,16,4,16,16,
g_3_fszBxm94,25.04. 20:00,Lyon-Villeurbanne,Nancy,92,82,25,31,19,17,,13,25,19,25,
g_3_86DZxd3m,25.04. 20:00,Strasbourg,La Rochelle,71,63,13,20,21,17,,20,16,16,11,
g_3_EVCR9cZ0,20.04. 19:00AOT,Limoges,Gravelines-Dunkerque,110,122,20,24,12,27,27,21,18,19,25,39
g_3_hGOIBJ4l,20.04. 16:30,Dijon,Monaco,77,78,17,21,16,23,,16,19,23,20,
g_3_8hY0Odlf,20.04. 16:30,Paris,Chalon/Saone,100,97,28,22,29,21,,22,24,24,27,
g_3_CQvhQIJs,19.04. 20:30,Nancy,Le Portel,85,78,21,19,24,21,,16,21,18,23,
g_3_MFvHKEmJ,19.04. 20:30,Nanterre,La Rochelle,63,76,23,16,14,10,,18,14,23,21,
g_3_0nBZ7y4D,19.04. 18:00,Le Mans,Strasbourg,90,70,27,19,19,25,,18,15,18,19,
g_3_00j8MzJ6,19.04. 18:00,Saint Quentin,Cholet,71,77,22,15,15,19,,23,16,20,18,
g_3_GfgMVvdK,18.04. 20:30,Lyon-Villeurbanne,JL Bourg,89,80,26,15,22,26,,18,32,14,16,
