matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_rLqkb0jp,23.06. 16:30,Orleans,Rouen,80,62,26,16,19,19,,17,21,11,13,
g_3_rJjJs0CE,19.06. 20:45,Rouen,Orleans,78,63,18,21,27,12,,10,20,12,21,
g_3_UFnFrtc8,16.06. 16:30,Orleans,Rouen,68,62,12,18,14,24,,15,17,13,17,
g_3_I9IRyMld,13.06. 20:00,Orleans,St. Chamond,93,83,21,25,26,21,,21,21,26,15,
g_3_x298eZY9,10.06. 20:00,Gries Oberhoffen,Rouen,74,78,18,22,13,21,,26,20,13,19,
g_3_MB45Vfjb,10.06. 20:00,St. Chamond,Orleans,81,75,37,14,14,16,,21,21,17,16,
g_3_vmF0Wzyh,07.06. 20:00,Orleans,St. Chamond,76,66,25,15,15,21,,15,12,22,17,
g_3_Ob54dFJ3,07.06. 20:00,Rouen,Gries Oberhoffen,96,84,16,27,20,33,,22,15,23,24,
g_3_tzGace4c,04.06. 20:00,Nancy,St. Chamond,83,84,19,30,24,10,,26,13,15,30,
g_3_403yScIi,01.06. 20:00,Ada Blois,Rouen,70,72,20,15,21,14,,18,20,16,18,
g_3_Q94XSw3o,01.06. 20:00,Gries Oberhoffen,Vichy,90,85,23,25,17,25,,23,25,24,13,
g_3_zoPN8zIT,01.06. 20:00,Poitiers,Orleans,64,74,18,12,18,16,,16,19,22,17,
g_3_C6Gk4fQp,01.06. 20:00,St. Chamond,Nancy,104,74,33,24,19,28,,15,23,16,20,
g_3_pdWABxYA,30.05. 20:00,Nancy,St. Chamond,73,70,24,19,13,17,,18,21,7,24,
g_3_65X6CII4,30.05. 20:00,Orleans,Poitiers,81,67,23,19,19,20,,23,12,18,14,
g_3_hMZI9G2N,30.05. 20:00,Rouen,Ada Blois,97,78,24,20,29,24,,22,17,12,27,
g_3_EVzFAdmH,30.05. 20:00,Vichy,Gries Oberhoffen,91,93,20,30,21,20,,30,13,20,30,
