matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_OSMV2g65,10.04. 17:00,TSU,Iverioni,92,81,25,18,24,25,,15,23,17,26,
g_3_WEDrk470,09.04. 15:30,TSU,Batumi,108,88,30,24,25,29,,22,18,21,27,
g_3_pIHnlOM6,09.04. 13:00,Kutaisi,Iverioni,98,106,15,21,24,38,,29,24,22,31,
g_3_vsMQAESu,06.03. 17:00,Gurjaani Delta,Iverioni,67,92,13,22,26,6,,21,27,19,25,
g_3_KjUY8hch,06.03. 16:00,Kutaisi,Orbi,106,100,29,25,26,26,,22,23,25,30,
g_3_SGXt7WR4,05.03. 16:00,Batumi,Margveti,90,79,22,22,23,23,,28,17,18,16,
g_3_OUoHjBsO,05.03. 16:00,TSU,Amra,103,61,31,30,21,21,,12,13,22,14,
g_3_2LpLkVdU,07.02. 16:00,Iverioni,Gurjaani Delta,73,79,20,20,12,21,,17,29,13,20,
g_3_6giCiiSH,07.02. 13:30,Amra,TSU,95,91,30,23,16,26,,21,21,33,16,
g_3_bsTx8CCb,07.02. 11:00,Margveti,Batumi,81,88,20,21,23,17,,25,21,20,22,
g_3_xSvU9Ysn,06.02. 15:30,Orbi,Kutaisi,70,76,17,22,18,13,,21,19,19,17,
g_3_IHGnVhjN,27.01. 16:00,Iverioni,Rashi,118,104,32,35,22,29,,30,21,23,30,
g_3_MkNwXELA,27.01. 16:00,Kutaisi,Vera Tbilisi,83,80,26,22,12,23,,18,16,23,23,
g_3_hAVMzcMo,27.01. 11:00,TSU,TSU Kutaisi,109,87,25,22,23,39,,17,23,28,19,
g_3_ra24IF6H,26.01. 16:00,Rustavi,Margveti,85,81,23,25,26,11,,18,25,11,27,
g_3_lxPVYzib,26.01. 15:00,Orbi,CIU,86,70,23,12,32,19,,13,12,21,24,
g_3_4EjDGgyU,26.01. 11:00,Amra,Astrali,99,96,21,25,31,22,,20,36,15,25,
g_3_8nu5mz6i,25.01. 13:00,Gurjaani Delta,Suchumi,88,73,16,22,30,20,,22,17,20,14,
g_3_Sj2IPWDp,25.01. 12:00AOT,Batumi,VSA,94,87,25,18,21,15,15,18,18,19,21,11
g_3_EPc0JeiB,23.01. 17:00,Margveti,Rustavi,83,74,18,18,21,26,,24,21,12,17,
g_3_6s1MOjTj,23.01. 15:00,Suchumi,Gurjaani Delta,61,94,15,20,8,18,,24,27,24,19,
g_3_W0UQZGyh,23.01. 13:00,CIU,Orbi,80,76,22,21,15,22,,12,14,22,28,
g_3_v7suCDqo,23.01. 11:00,TSU Kutaisi,TSU,80,120,16,15,31,18,,29,33,26,32,
g_3_zgRsWYzH,22.01. 15:00,Rashi,Iverioni,80,94,19,19,22,20,,21,21,26,26,
g_3_Mk18HZLN,22.01. 13:00,Astrali,Amra,63,97,8,13,18,24,,20,33,24,20,
g_3_SSNZXf64,22.01. 11:00,Vera Tbilisi,Kutaisi,76,95,18,20,20,18,,16,32,24,23,
g_3_d8FjUC5T,22.01. 11:00,VSA,Batumi,84,81,26,22,18,18,,19,23,21,18,
