matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_A7NqK8dd,16.04. 17:00,TSU,Kutaisi,76,83,24,17,20,15,,20,21,22,20,
g_3_OEZQz6Fk,15.04. 17:00,TSU,Gurjaani Delta,82,78,19,23,19,21,,19,22,17,20,
g_3_vsbftSiS,15.04. 14:30,VSA,Kutaisi,89,100,22,24,27,16,,27,22,20,31,
g_3_IwlvxhME,26.03. 15:30,TSU,Margveti,118,87,29,28,34,27,,15,15,26,31,
g_3_Eq6CNh7L,26.03. 13:00AOT,Gurjaani Delta,Batumi,104,91,24,19,25,19,17,18,26,18,23,6
g_3_Iy9KHNz0,25.03. 16:00,Kutaisi,Iverioni,97,86,34,24,13,26,,21,17,29,19,
g_3_UH7qGAae,25.03. 15:30,VSA,Rashi,85,73,32,21,16,16,,21,12,26,14,
g_3_AFirIWUr,05.02. 15:30,Rashi,VSA,72,83,15,15,19,23,,19,24,19,21,
g_3_IHC3PEx9,05.02. 15:00,Batumi,Gurjaani Delta,77,75,29,21,13,14,,16,18,22,19,
g_3_OxGBJq6m,04.02. 16:00,Iverioni,Kutaisi,90,87,26,27,19,18,,22,30,12,23,
g_3_xrBiElU7,04.02. 15:00,Margveti,TSU,86,108,21,20,27,18,,29,31,24,24,
g_3_Whl9WMGi,27.01. 16:00,CIU,Iverioni,96,87,21,17,27,31,,27,26,20,14,
g_3_rPL22Xa4,27.01. 13:30,TSU,Griffin,101,77,25,25,30,21,,21,18,19,19,
g_3_z3G2JFL5,27.01. 11:00,Rashi,Amra,100,93,22,28,31,19,,13,31,21,28,
g_3_jZSZHN1b,26.01. 12:00,Batumi,Orbi,69,79,16,23,20,10,,20,21,17,21,
g_3_KEKjEu1N,25.01. 16:00,VSA,Burji,103,54,26,22,33,22,,6,18,16,14,
g_3_SWToNcMt,24.01. 16:00,Kutaisi,Rustavi,108,86,34,38,25,11,,26,16,15,29,
g_3_pWMHSvGG,24.01. 11:00,Margveti,Suchumi,105,93,21,24,29,31,,18,24,19,32,
g_3_4r8JFXKU,23.01. 15:00,Gurjaani Delta,Vera Tbilisi,92,65,28,29,13,22,,19,15,18,13,
g_3_va1N8JOp,22.01. 16:00,Iverioni,CIU,79,66,15,29,17,18,,22,14,17,13,
g_3_M9Xg4gVi,22.01. 12:00,Griffin,TSU,102,98,36,14,27,25,,30,25,20,23,
g_3_lnIfLyig,22.01. 10:00,Amra,Rashi,83,90,27,23,15,18,,15,18,32,25,
g_3_pxQRJqXo,21.01. 15:00,Orbi,Batumi,72,94,22,16,16,18,,27,11,23,33,
g_3_ClHrG1WA,21.01. 14:00,Burji,VSA,76,76,25,20,10,21,,23,19,16,18,
g_3_2iDzGtFD,20.01. 16:00,Rustavi,Kutaisi,84,72,22,20,24,18,,21,12,25,14,
g_3_WU9BHgjI,20.01. 13:00,Vera Tbilisi,Gurjaani Delta,60,89,10,19,18,13,,23,28,19,19,
g_3_x6J9U0o4,20.01. 11:00,Suchumi,Margveti,96,104,21,28,29,18,,22,22,31,29,
