matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_z1RzT7eg,30.05. 16:30,Kutaisi,Tskhum-Apkhazeti,78,82,24,19,14,21,,23,17,22,20,
g_3_dnEyjLC3,28.05. 17:30,Tskhum-Apkhazeti,Kutaisi,86,75,23,27,17,19,,14,21,17,23,
g_3_OfHUzLRI,27.05. 17:00,Tskhum-Apkhazeti,Kutaisi,74,83,27,13,21,13,,20,24,19,20,
g_3_SSNLxsc6,26.05. 14:00,Mgzavrebi Tbilisi,Dinamo Tbilisi,75,65,17,26,20,12,,17,13,20,15,
g_3_p4IQy1CC,24.05. 16:30,Kutaisi,Tskhum-Apkhazeti,82,70,27,15,18,22,,15,26,14,15,
g_3_lxPHwNs0,23.05. 16:30,Kutaisi,Tskhum-Apkhazeti,83,90,23,16,19,25,,20,18,32,20,
g_3_f3kGmUok,20.05. 16:30,Kutaisi,Dinamo Tbilisi,78,74,24,16,19,19,,19,22,11,22,
g_3_tGL6pxlc,18.05. 16:00,Dinamo Tbilisi,Kutaisi,71,63,9,21,20,21,,11,8,16,28,
g_3_Kl3GA5yE,17.05. 16:00,Dinamo Tbilisi,Kutaisi,56,76,20,17,11,8,,13,18,30,15,
g_3_UcVqgw6t,17.05. 14:00,Tskhum-Apkhazeti,Mgzavrebi Tbilisi,98,75,27,31,20,20,,20,27,23,5,
g_3_IqPXoMbD,14.05. 17:00,Mgzavrebi Tbilisi,Tskhum-Apkhazeti,67,75,14,16,14,23,,21,18,15,21,
g_3_vgQTn2q7,14.05. 16:30,Kutaisi,Dinamo Tbilisi,76,84,24,20,16,16,,14,23,25,22,
g_3_AJLPmrU0,13.05. 17:00,Mgzavrebi Tbilisi,Tskhum-Apkhazeti,76,90,24,25,10,17,,18,24,27,21,
g_3_WSMLlOEf,13.05. 16:30,Kutaisi,Dinamo Tbilisi,68,60,24,8,17,19,,13,18,12,17,
g_3_xhzDHVYi,10.05. 17:00,Mgzavrebi Tbilisi,Batumi,97,76,28,22,24,23,,20,20,21,15,
g_3_YNVcJZoD,08.05. 16:30,Batumi,Mgzavrebi Tbilisi,77,94,17,15,18,27,,26,29,21,18,
g_3_IJuWd560,08.05. 14:00,Titebi,Kutaisi,87,93,24,13,33,17,,17,31,18,27,
g_3_WM7PihQo,07.05. 16:30AOT,Batumi,Mgzavrebi Tbilisi,88,82,24,12,22,18,12,17,17,16,26,6
