matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_xtrG5S50,23.06. 18:00AOT,Bayern,Alba Berlin,93,88,15,17,19,25,17,22,24,16,14,12
g_3_rJrC68jf,19.06. 20:30,Alba Berlin,Bayern,77,82,25,21,13,18,,15,30,18,19,
g_3_4Sq87lyl,16.06. 18:00,Bayern,Alba Berlin,74,70,18,18,14,24,,22,15,14,19,
g_3_8lrwsr3L,09.06. 15:00,Oldenburg,Alba Berlin,89,100,25,18,24,22,,28,19,23,30,
g_3_0lI89qLp,08.06. 20:30,Bayern,Vechta,95,80,29,20,28,18,,12,29,19,20,
g_3_UcqZsOmF,05.06. 20:30,Alba Berlin,Oldenburg,79,68,17,15,28,19,,13,16,23,16,
g_3_8dQtEPCT,04.06. 20:30,Vechta,Bayern,71,89,20,18,20,13,,20,24,20,25,
g_3_U5RxF5cN,02.06. 18:00,Bayern,Vechta,98,88,26,26,21,25,,18,24,26,20,
g_3_nZgUr4Y8,02.06. 15:00,Oldenburg,Alba Berlin,93,100,21,23,29,20,,21,25,26,28,
g_3_bFKoiXpk,28.05. 20:30,Bamberg,Vechta,86,90,19,27,19,21,,21,21,28,20,
g_3_GlzBeEso,26.05. 18:00,Bayern,Basketball Braunschweig,87,77,28,14,28,17,,16,24,26,11,
g_3_QJH1Iykb,26.05. 15:00,Alba Berlin,Ulm,100,83,17,33,25,25,,20,23,15,25,
g_3_h6JgKcKo,25.05. 20:30,Vechta,Bamberg,87,78,23,25,25,14,,13,26,18,21,
g_3_WdIcJHZi,25.05. 18:00,Oldenburg,Bonn,97,84,24,25,22,26,,21,25,18,20,
g_3_j3KUFrTa,24.05. 20:30,Basketball Braunschweig,Bayern,74,84,14,21,25,14,,28,18,19,19,
g_3_YR9ZE2r6,22.05. 19:00AOT,Bamberg,Vechta,102,98,11,24,30,24,13,15,16,31,27,9
g_3_p2DwEMcC,21.05. 20:30,Bonn,Oldenburg,87,97,25,21,15,26,,25,18,30,24,
g_3_vPCsDtDI,21.05. 19:00,Ulm,Alba Berlin,83,98,19,24,20,20,,23,24,22,29,
g_3_4nIIIpqs,19.05. 18:30,Vechta,Bamberg,96,85,27,22,27,20,,19,22,28,16,
g_3_rwHMH4bm,19.05. 15:00,Oldenburg,Bonn,105,94,31,22,24,28,,24,32,24,14,
g_3_b5ujNQzQ,18.05. 20:30,Bayern,Basketball Braunschweig,70,59,20,12,22,16,,12,7,19,21,
g_3_CCLQGODg,18.05. 18:00,Alba Berlin,Ulm,107,78,29,31,22,25,,16,27,22,13,
g_3_h2qWaPvQ,12.05. 18:00,Bamberg,Wurzburg,97,65,30,27,16,24,,15,17,19,14,
g_3_4t3yvrI6,12.05. 18:00,Basketball Braunschweig,Bayreuth,100,85,27,20,24,29,,26,22,16,21,
g_3_EBpS05PJ,12.05. 18:00,Bonn,Bayern,102,98,21,32,29,20,,24,27,24,23,
g_3_b32uw2XC,12.05. 18:00,Crailsheim Merlins,Oldenburg,99,87,28,18,26,27,,25,23,26,13,
g_3_CQlSsQIs,12.05. 18:00,Frankfurt,Giessen,82,81,10,24,20,28,,16,17,29,19,
g_3_6mlWtpYm,12.05. 18:00,Jena,Gottingen,92,93,19,23,21,29,,29,22,27,15,
g_3_C66qxMnJ,12.05. 18:00,Ludwigsburg,Alba Berlin,79,80,23,15,24,17,,31,10,18,21,
g_3_pvmzt4mf,12.05. 18:00,Syntainics MBC,Bremerhaven,90,87,21,21,23,25,,20,18,23,26,
g_3_Qk4XvO20,12.05. 18:00,Ulm,Vechta,98,94,23,25,21,29,,21,28,20,25,
g_3_YLAkU6lr,10.05. 20:30AOT,Alba Berlin,Bremerhaven,107,104,31,26,20,21,9,27,32,20,19,6
g_3_4KR0R4Y0,10.05. 20:30,Bayern,Ulm,95,72,19,21,24,31,,16,23,22,11,
g_3_6Z8cSpJf,10.05. 20:30,Jena,Crailsheim Merlins,88,91,27,28,14,19,,29,25,20,17,
g_3_ht8emneK,10.05. 20:30AOT,Oldenburg,Syntainics MBC,118,115,27,29,29,19,14,23,35,24,22,11
g_3_QZF9Pr3D,10.05. 20:30,Wurzburg,Bonn,80,75,23,18,22,17,,20,15,20,20,
g_3_z5c0n6AQ,10.05. 19:00,Bayreuth,Bamberg,79,90,19,12,20,28,,13,30,18,29,
g_3_nqH5QOm7,10.05. 19:00,Gottingen,Ludwigsburg,86,80,25,25,16,20,,19,13,26,22,
g_3_CC9gTQ3l,10.05. 19:00,Vechta,Giessen,92,81,25,6,30,31,,19,21,21,20,
