matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_hYatmRll,14.04. 19:15,Peristeri,Panathinaikos,82,97,16,23,23,20,,24,21,24,28,
g_3_fcdcqqlD,13.04. 16:15,Panionios,Olympiacos,85,91,18,22,17,28,,28,16,28,19,
g_3_0b3lo5J0,12.04. 19:30,AS Karditsas,Promitheas,75,74,15,20,22,18,,16,17,10,31,
g_3_AXhYpdPH,12.04. 17:00,Maroussi,Lavrio,90,85,30,28,17,15,,17,16,18,34,
g_3_dlitqzfU,12.04. 16:00,Aris,Kolossos Rhodes,84,86,19,26,15,24,,22,23,26,15,
g_3_pQ78j0et,12.04. 16:00,PAOK,AEK Athens,94,69,27,14,30,23,,17,16,18,18,
g_3_YDEPncw8,06.04. 16:30,Panathinaikos,Peristeri,88,68,25,22,19,22,,23,12,22,11,
g_3_0zL1f9dE,06.04. 14:15,Olympiacos,Panionios,106,67,22,20,32,32,,17,28,8,14,
g_3_r3tT3eD6,05.04. 19:15,Promitheas,AS Karditsas,80,76,27,25,13,15,,19,19,21,17,
g_3_lI4PnIf5,05.04. 17:00,Lavrio,Aris,75,89,15,22,22,16,,24,23,23,19,
g_3_th1HlvQh,05.04. 16:00,Kolossos Rhodes,Maroussi,99,74,25,23,26,25,,18,31,18,7,
g_3_AyTL5Hrf,05.04. 16:00,AEK Athens,PAOK,89,76,14,29,27,19,,14,18,16,28,
g_3_x8jh73w8,01.04. 19:15,Aris,Peristeri,78,83,16,17,25,20,,25,23,16,19,
g_3_pWfcgIFb,29.03. 19:15,Peristeri,Lavrio,90,77,24,25,20,21,,21,23,17,16,
g_3_x6ikevon,29.03. 16:00,Panionios,Aris,92,78,17,26,28,21,,11,18,27,22,
g_3_zypIw0PO,23.03. 16:00,AEK Athens,Maroussi,104,83,27,24,22,31,,26,21,19,17,
g_3_E1FSc3At,23.03. 16:00,AS Karditsas,Aris,76,82,26,15,18,17,,20,22,21,19,
g_3_MDw2srQa,23.03. 16:00,Kolossos Rhodes,PAOK,84,83,19,18,18,29,,26,22,20,15,
g_3_MRIzdsug,23.03. 16:00,Olympiacos,Panionios,95,64,22,26,20,27,,9,16,20,19,
g_3_rs7qfL95,23.03. 16:00,Panathinaikos,Lavrio,98,70,24,26,20,28,,14,24,11,21,
g_3_2NoAuMfC,23.03. 16:00,Promitheas,Peristeri,86,70,28,12,29,17,,22,10,23,15,
g_3_296yRMuJ,17.03. 19:15,Maroussi,Olympiacos,88,104,19,21,26,22,,24,31,21,28,
g_3_r7jzTrB6,17.03. 16:15,Aris,Panathinaikos,73,83,20,13,18,22,,17,27,23,16,
g_3_2mV0EqdD,16.03. 19:15AOT,Panionios,Promitheas,93,101,25,20,23,19,6,31,18,22,16,14
g_3_rq8mxmlK,16.03. 16:15,Peristeri,Kolossos Rhodes,85,81,20,21,16,28,,16,25,19,21,
g_3_djShG5R0,15.03. 19:15,Lavrio,AEK Athens,79,90,21,14,9,35,,26,24,15,25,
g_3_0OYqIRdl,15.03. 16:00,PAOK,AS Karditsas,71,61,15,19,15,22,,9,17,19,16,
g_3_4hmENmZQ,10.03. 19:15,Aris,Lavrio,82,65,18,25,19,20,,12,16,19,18,
g_3_AghSU4tf,09.03. 16:15,Panathinaikos,Panionios,97,66,27,23,25,22,,16,12,21,17,
g_3_ERbJWQBs,09.03. 13:15,Olympiacos,Kolossos Rhodes,95,76,20,23,25,27,,15,23,20,18,
g_3_GIiK16C7,08.03. 19:15,AEK Athens,Peristeri,96,67,23,23,28,22,,16,17,15,19,
g_3_8Qg5P94E,08.03. 17:00,AS Karditsas,Maroussi,80,67,21,21,27,11,,24,20,11,12,
g_3_f33B3Sse,08.03. 16:00,Promitheas,PAOK,87,76,23,26,19,19,,26,21,8,21,
g_3_dAMm9eEi,03.03. 19:15,Lavrio,AS Karditsas,82,89,24,19,22,17,,27,19,18,25,
g_3_AeeULYcc,02.03. 19:15,Maroussi,Panathinaikos,95,102,32,20,21,22,,20,34,15,33,
g_3_6NlwKCS9,02.03. 16:15,Peristeri,Olympiacos,69,82,22,23,14,10,,20,20,20,22,
g_3_vZi31qeo,01.03. 19:15,PAOK,Aris,75,63,24,15,16,20,,17,19,13,14,
g_3_QkE45DDG,01.03. 16:30,Kolossos Rhodes,Promitheas,89,85,23,26,20,20,,20,21,23,21,
g_3_4zQe7Zr4,01.03. 16:00,Panionios,AEK Athens,75,80,16,13,20,26,,28,23,14,15,
g_3_bHRB3irT,10.02. 16:15,Olympiacos,PAOK,86,60,17,17,27,25,,21,14,8,17,
g_3_tvAGAmYb,09.02. 19:15,AS Karditsas,Peristeri,89,83,20,21,21,27,,22,29,20,12,
g_3_r36X65XN,09.02. 17:00,Lavrio,Maroussi,94,92,27,20,20,27,,24,22,21,25,
g_3_I18rbV5j,09.02. 16:15,Panathinaikos,Kolossos Rhodes,94,82,22,23,31,18,,24,17,19,22,
g_3_KOL7C93n,08.02. 19:15,AEK Athens,Promitheas,91,71,17,25,24,25,,23,12,17,19,
g_3_l4DO8R2B,08.02. 16:00,Aris,Panionios,80,72,24,13,24,19,,20,18,11,23,
g_3_SQvgNMNs,02.02. 19:15,Panionios,AS Karditsas,82,69,17,22,20,23,,17,12,17,23,
g_3_GSlyNDTb,02.02. 16:15,Promitheas,Olympiacos,74,77,25,12,17,20,,24,11,18,24,
g_3_r1yUOZbn,01.02. 19:15,Peristeri,Panathinaikos,84,99,16,25,22,21,,27,23,23,26,
g_3_r36z5u8D,01.02. 17:00,PAOK,Lavrio,69,74,17,17,17,18,,17,22,18,17,
g_3_A9bMSr0K,01.02. 16:00,Maroussi,Aris,73,78,23,9,25,16,,18,15,15,30,
g_3_0vw1L0hf,01.02. 15:30,Kolossos Rhodes,AEK Athens,85,86,22,14,28,21,,18,24,20,24,
g_3_W2BfEqoR,27.01. 19:15,Panionios,Lavrio,86,80,20,21,24,21,,23,20,21,16,
g_3_4WZHHIiJ,26.01. 16:15,Olympiacos,AEK Athens,89,70,17,27,21,24,,24,15,21,10,
