matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_IkjpCHtg,24.01. 12:00,H. Afula,Galil Elyon,87,65,25,22,18,22,,19,20,14,12,
g_3_O86sd5je,13.01. 19:50,Gilboa Galil,Nes Ziona,88,83,20,21,32,15,,24,19,19,21,
g_3_8dtoGQsR,13.01. 17:30,H. Afula,Ironi Kiryat Ata,76,88,14,21,28,13,,19,28,25,16,
g_3_CUnxInDE,12.01. 19:05,Maccabi Ironi Ramat Gan,Bnei Herzliya,89,75,28,16,22,23,,18,15,19,23,
g_3_pOfjfqL7,12.01. 18:45,Elitzur Maccabi Netanya,Hapoel Beer Sheva,80,96,11,22,24,23,,27,28,16,25,
g_3_UcenW685,11.01. 19:55,Hapoel Haifa,Maccabi Tel Aviv,67,106,20,15,20,12,,24,24,27,31,
g_3_dWsuYSwg,11.01. 18:05,Hapoel Tel-Aviv,Hapoel Jerusalem,77,92,30,19,13,15,,29,24,21,18,
g_3_4SRGA45l,10.01. 12:00,Hapoel Holon,Galil Elyon,80,77,22,26,18,14,,17,16,21,23,
g_3_phEMFoOO,06.01. 20:05,H. Afula,Maccabi Tel Aviv,75,87,16,19,20,20,,15,29,19,24,
g_3_A5t8s6y2,06.01. 18:15,Galil Elyon,Hapoel Beer Sheva,60,74,13,20,13,14,,11,12,22,29,
g_3_QDOf59T8,05.01. 19:50,Hapoel Jerusalem,Maccabi Ironi Ramat Gan,86,87,23,25,26,12,,31,18,17,21,
g_3_zHgWZl9t,05.01. 17:35,Hapoel Haifa,Hapoel Tel-Aviv,79,108,25,13,18,23,,32,38,17,21,
g_3_bRM23mbL,04.01. 19:50,Hapoel Holon,Ironi Kiryat Ata,87,72,22,22,27,16,,21,23,19,9,
g_3_IB3ZcRLr,04.01. 18:15,Bnei Herzliya,Gilboa Galil,88,83,17,23,27,21,,25,25,15,18,
g_3_xvT0qS6k,03.01. 12:00,Nes Ziona,Elitzur Maccabi Netanya,91,72,22,20,33,16,,10,25,14,23,
g_3_fcjaMnnA,01.01. 19:00,Maccabi Ironi Ramat Gan,Hapoel Beer Sheva,85,78,15,25,22,23,,17,20,25,16,
g_3_ptlMjAEF,30.12. 19:50,Ironi Kiryat Ata,Maccabi Tel Aviv,90,102,15,26,20,29,,29,27,25,21,
g_3_h6iUllqS,30.12. 17:50,Bnei Herzliya,Nes Ziona,84,86,22,12,24,26,,25,31,17,13,
g_3_ANZwvXU9,30.12. 17:35,Gilboa Galil,Hapoel Holon,79,83,24,25,10,20,,17,16,23,27,
g_3_WxOnxBaM,29.12. 19:50,Elitzur Maccabi Netanya,Hapoel Jerusalem,74,98,24,17,12,21,,32,30,21,15,
g_3_2LEIWlNq,29.12. 17:30,Maccabi Ironi Ramat Gan,H. Afula,85,82,19,28,13,25,,27,19,19,17,
g_3_lEfDhWq3,28.12. 19:50,Galil Elyon,Hapoel Tel-Aviv,64,79,23,0,24,17,,14,22,18,25,
g_3_dK7RUSid,27.12. 12:00,Hapoel Beer Sheva,Hapoel Haifa,81,87,21,21,24,15,,18,21,26,22,
g_3_E9J16IZj,25.12. 19:50,Maccabi Ironi Ramat Gan,Hapoel Tel-Aviv,82,91,23,16,23,20,,23,26,24,18,
g_3_hS4JzbOH,23.12. 19:50,H. Afula,Bnei Herzliya,111,97,24,34,26,27,,22,22,30,23,
g_3_2cWVug0c,23.12. 17:30,Ironi Kiryat Ata,Galil Elyon,85,64,19,20,22,24,,12,19,17,16,
g_3_lQKDH7gC,22.12. 20:00,Hapoel Jerusalem,Maccabi Tel Aviv,101,84,29,17,32,23,,18,20,22,24,
g_3_SKJgt2ft,22.12. 18:30,Gilboa Galil,Hapoel Beer Sheva,78,83,21,16,22,19,,15,12,27,29,
g_3_d0BAxKg5,22.12. 17:30,Maccabi Ironi Ramat Gan,Hapoel Holon,90,88,28,15,25,22,,17,24,22,25,
g_3_lz82vtPh,21.12. 19:30,Elitzur Maccabi Netanya,Hapoel Tel-Aviv,70,96,15,25,14,16,,22,28,24,22,
g_3_OERjIk8j,20.12. 12:00,Nes Ziona,Hapoel Haifa,86,68,15,30,18,23,,11,18,15,24,
g_3_S6vLR2um,16.12. 19:50,H. Afula,Hapoel Haifa,86,74,23,19,20,24,,18,22,15,19,
g_3_OYXTPtAa,16.12. 17:30,Hapoel Beer Sheva,Ironi Kiryat Ata,86,77,20,19,20,27,,19,20,24,14,
g_3_dnWyOKvC,15.12. 19:00,Nes Ziona,Hapoel Tel-Aviv,54,90,9,16,19,10,,25,30,18,17,
g_3_hEPpMb9O,15.12. 17:30,Galil Elyon,Elitzur Maccabi Netanya,69,65,22,20,19,8,,12,18,14,21,
g_3_IXhkXOHP,14.12. 19:50,Maccabi Ironi Ramat Gan,Gilboa Galil,79,83,24,20,16,19,,21,21,17,24,
g_3_GCM5JTOa,14.12. 18:10,Hapoel Holon,Maccabi Tel Aviv,72,79,20,15,21,16,,25,20,17,17,
g_3_MDTdLkfm,14.12. 17:30,Bnei Herzliya,Hapoel Jerusalem,68,66,19,16,13,20,,14,18,9,25,
g_3_CIvs34pd,11.12. 18:30,Hapoel Beer Sheva,Hapoel Holon,81,101,16,25,21,19,,19,29,25,28,
g_3_IwYVBvCT,10.12. 18:00,Maccabi Tel Aviv,Hapoel Haifa,102,87,27,21,24,30,,25,25,16,21,
g_3_Eu0NCZED,09.12. 18:00,Gilboa Galil,Ironi Kiryat Ata,85,60,28,22,15,20,,20,13,11,16,
