matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_dpmJyEfo,13.04. 18:00AOT,Juventus,Jonava,109,115,24,24,25,23,13,22,16,25,33,19
g_3_Q1dmszXN,13.04. 15:50,Mazeikiai,Zalgiris Kaunas,80,105,24,15,23,18,,31,24,20,30,
g_3_nyTvoIXb,12.04. 18:00,Lietkabelis,Siauliai,92,73,24,26,19,23,,27,17,22,7,
g_3_j9ZVnv3n,12.04. 16:00,BC Wolves,Nevezis,94,99,22,27,25,20,,35,10,24,30,
g_3_KlRnqd2B,12.04. 15:50,Neptunas,Rytas,92,85,14,20,34,24,,26,24,21,14,
g_3_0pfMSzIU,06.04. 18:00,Rytas,BC Wolves,92,88,33,15,21,23,,19,26,23,20,
g_3_vV5DUdmI,06.04. 15:50,Zalgiris Kaunas,Lietkabelis,83,79,21,18,18,26,,16,26,20,17,
g_3_YX25WII5,05.04. 18:00,Neptunas,Jonava,97,98,16,24,22,35,,27,34,21,16,
g_3_x69dYvlg,05.04. 15:50,Siauliai,Juventus,86,68,24,16,28,18,,16,20,18,14,
g_3_4hBlz1Jt,05.04. 15:00,Mazeikiai,Nevezis,71,101,21,18,13,19,,22,26,27,26,
g_3_4f6UU5s1,30.03. 18:00,Lietkabelis,BC Wolves,78,64,24,23,14,17,,15,18,15,16,
g_3_jB4xTqCD,30.03. 15:50,Neptunas,Zalgiris Kaunas,67,80,14,22,15,16,,20,14,28,18,
g_3_CdRkxlkR,29.03. 18:00,Juventus,Mazeikiai,80,77,22,20,21,17,,16,26,13,22,
g_3_ruILWRCl,29.03. 16:00,Siauliai,Rytas,82,102,21,21,22,18,,28,23,26,25,
g_3_GUXtvAKE,29.03. 15:50,Jonava,Nevezis,96,89,21,31,20,24,,17,20,26,26,
g_3_GG2dvDFj,26.03. 17:30,Siauliai,BC Wolves,110,89,24,32,31,23,,16,28,18,27,
g_3_OzoeG6S7,23.03. 18:00,BC Wolves,Juventus,87,83,19,26,22,20,,22,24,16,21,
g_3_rRxmISce,23.03. 15:50,Nevezis,Zalgiris Kaunas,80,84,16,18,26,20,,21,20,26,17,
g_3_r3f0RWz9,22.03. 18:00,Jonava,Lietkabelis,92,87,25,17,23,27,,27,19,27,14,
g_3_jTc8PA5L,22.03. 16:00,Rytas,Mazeikiai,102,69,26,27,27,22,,13,22,19,15,
g_3_z1ZvKlTr,22.03. 15:50,Siauliai,Neptunas,91,78,18,26,24,23,,22,16,18,22,
g_3_4KkL3Tr2,17.03. 17:30,BC Wolves,Siauliai,100,84,33,26,17,24,,26,28,12,18,
g_3_CMAtBBjS,16.03. 18:00,Nevezis,Juventus,105,74,23,26,30,26,,18,20,15,21,
g_3_W6iD5kEk,16.03. 15:50,Zalgiris Kaunas,Jonava,89,62,22,19,26,22,,9,20,13,20,
g_3_rsJPEgi3,15.03. 18:00,Mazeikiai,Neptunas,77,96,25,14,20,18,,24,21,22,29,
g_3_4d7YCXLF,15.03. 15:50,Lietkabelis,Rytas,82,75,24,20,15,23,,19,6,27,23,
g_3_I3Rwijad,09.03. 18:00,Siauliai,Jonava,90,94,26,20,21,23,,26,23,19,26,
g_3_MyYUhCUq,09.03. 15:50,Rytas,Zalgiris Kaunas,76,83,14,20,15,27,,24,17,24,18,
g_3_dCuq2G7c,08.03. 18:00,Mazeikiai,BC Wolves,86,106,21,24,14,27,,28,23,29,26,
g_3_Uwgj0fxA,08.03. 15:50,Juventus,Lietkabelis,74,75,20,18,17,19,,23,15,12,25,
g_3_Q5nabY6M,06.03. 17:30,Nevezis,Neptunas,81,83,24,11,20,26,,14,17,28,24,
g_3_dEAkrMGO,02.03. 18:00,Mazeikiai,Siauliai,74,102,21,17,16,20,,21,24,30,27,
g_3_AHzPdLVH,02.03. 15:50,Neptunas,Lietkabelis,72,91,15,19,23,15,,29,15,22,25,
g_3_EksGbs15,02.03. 15:50AOT,Zalgiris Kaunas,Juventus,84,81,21,20,18,11,14,13,22,22,13,11
g_3_txq803Wh,01.03. 18:00,Jonava,BC Wolves,81,77,25,17,20,19,,15,20,8,34,
g_3_nwja2P1t,01.03. 15:50,Rytas,Nevezis,99,98,28,25,24,22,,35,24,16,23,
g_3_zaMtprnC,10.02. 17:30,Juventus,Mazeikiai,92,72,14,23,29,26,,20,19,15,18,
g_3_SYIYo4Ha,09.02. 18:00,Neptunas,Nevezis,94,107,26,24,18,26,,29,27,23,28,
g_3_8W2XmQnm,09.02. 15:50,Zalgiris Kaunas,Siauliai,111,81,29,30,24,28,,25,20,20,16,
g_3_dhZEVrXI,08.02. 18:00,Lietkabelis,Jonava,86,88,25,21,17,23,,19,20,30,19,
g_3_C0H1gnPP,08.02. 15:50,BC Wolves,Rytas,84,88,22,21,18,23,,25,18,25,20,
g_3_lSV6X426,02.02. 18:00,Jonava,Nevezis,87,110,23,17,23,24,,19,37,24,30,
g_3_SCsbZQXg,02.02. 15:50,Zalgiris Kaunas,BC Wolves,97,84,28,36,20,13,,29,16,17,22,
g_3_z5Pjym3s,01.02. 18:00,Lietkabelis,Juventus,90,98,19,23,19,29,,24,23,22,29,
g_3_GKrKt9uK,01.02. 16:00,Siauliai,Rytas,79,89,20,32,14,13,,17,23,28,21,
g_3_OQeYI5mD,01.02. 15:50,Neptunas,Mazeikiai,99,63,21,27,26,25,,17,12,18,16,
