matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_WSxK7fp0,13.06. 18:15,Barcelona,Estudiantes,69,64,24,9,11,25,,11,13,19,21,
g_3_x6wG8zVg,11.06. 20:00,Estudiantes,Barcelona,85,68,21,24,19,21,,18,21,15,14,
g_3_O2ZB9GFm,09.06. 20:30,Estudiantes,Barcelona,82,72,25,24,17,16,,25,14,19,14,
g_3_tvp7Ad0s,07.06. 20:00,Barcelona,Estudiantes,80,74,23,19,22,16,,17,18,13,26,
g_3_vVcuFxhQ,05.06. 20:00,Barcelona,Estudiantes,79,78,25,15,19,20,,33,12,18,15,
g_3_W4byGIxK,02.06. 20:30,Baskonia,Estudiantes,84,97,18,18,30,18,,22,27,19,29,
g_3_hEaXGbND,30.05. 12:15,Estudiantes,Baskonia,91,99,21,21,19,30,,28,21,25,25,
g_3_ltZj86JD,28.05. 20:30,Estudiantes,Baskonia,77,75,20,19,22,16,,17,17,25,16,
g_3_zwVn9n47,27.05. 20:00,Unicaja,Barcelona,74,75,21,23,20,10,,14,17,22,22,
g_3_tGVrASl1,23.05. 12:15,Baskonia,Estudiantes,74,77,10,25,21,18,,25,19,16,17,
g_3_2PWvB8Zf,22.05. 21:00,Barcelona,Unicaja,82,73,19,27,11,25,,12,22,19,20,
g_3_plxzClKl,21.05. 20:30,Baskonia,Estudiantes,87,76,30,28,9,20,,18,14,26,18,
g_3_6cwWCU4r,20.05. 20:30,Barcelona,Unicaja,72,65,23,11,24,14,,13,18,16,18,
g_3_lIj4HAdR,16.05. 12:30,Valencia,Unicaja,68,87,23,19,12,14,,18,14,17,38,
g_3_xrm0IjsL,14.05. 20:00,Gran Canaria,Barcelona,57,60,18,14,13,12,,14,11,17,18,
g_3_fJceJWRE,14.05. 20:00,Unicaja,Valencia,69,58,21,15,16,17,,13,13,20,12,
g_3_GSbiKCC8,13.05. 20:45,Real Madrid,Estudiantes,85,90,17,19,23,26,,22,18,22,28,
g_3_SC59eTZ7,12.05. 20:30,Barcelona,Gran Canaria,83,71,23,12,34,14,,18,10,20,23,
g_3_lM65d9K1,12.05. 20:30,Baskonia,Joventut Badalona,99,76,27,21,30,21,,18,19,25,14,
g_3_6cH0ck5e,12.05. 20:30,Valencia,Unicaja,82,66,21,19,20,22,,16,18,14,18,
g_3_hfDdbVkk,11.05. 20:45,Estudiantes,Real Madrid,73,66,20,23,15,15,,18,14,17,17,
g_3_bXDhaBzq,09.05. 19:00,Gran Canaria,Barcelona,76,57,19,11,21,25,,15,10,14,18,
g_3_M7jPGw6G,09.05. 12:30,Unicaja,Valencia,86,81,15,24,18,29,,18,22,17,24,
g_3_foKSHJjA,09.05. 12:15,Joventut Badalona,Baskonia,74,76,23,10,20,21,,14,26,12,24,
g_3_GfLOIay4,08.05. 19:00,Real Madrid,Estudiantes,70,95,18,16,21,15,,22,29,18,26,
g_3_8UHGKL6i,07.05. 20:30,Barcelona,Gran Canaria,73,72,16,17,16,24,,20,12,27,13,
g_3_6PwYexUj,07.05. 20:30,Baskonia,Joventut Badalona,77,73,18,17,23,19,,23,21,14,15,
g_3_MXLKJuMc,07.05. 20:30,Valencia,Unicaja,91,80,28,18,22,23,,15,19,29,17,
g_3_SYvUdIEp,06.05. 19:45AOT,Estudiantes,Real Madrid,85,87,23,11,23,22,6,19,26,19,15,8
g_3_zsm21b6T,24.04. 20:00,Baloncesto Valladolid,Manresa,91,87,23,21,23,24,,26,23,19,19,
g_3_djlb2viN,24.04. 20:00,Baskonia,Barcelona,84,70,17,25,12,30,,26,14,20,10,
g_3_YB3Y7rNo,24.04. 20:00,Girona,Tenerife CB,92,76,21,28,17,26,,19,14,12,31,
g_3_C22x72xh,24.04. 20:00,Joventut Badalona,Estudiantes,91,95,21,27,27,16,,24,20,32,19,
g_3_Uwcs6Mib,24.04. 20:00,Lleida Basquet,Murcia,95,70,25,22,25,23,,22,17,12,19,
g_3_2iek40MA,24.04. 20:00,Real Betis,Breogan,81,79,24,23,19,15,,25,14,15,25,
g_3_K8Fjqapo,24.04. 20:00AOT,Real Madrid,Fuenlabrada,99,103,15,15,27,26,16,20,28,12,23,20
g_3_8Ueo5t74,24.04. 20:00,Unicaja,Alicante,83,87,28,22,14,19,,27,21,22,17,
g_3_ERbg3KyH,24.04. 20:00,Valencia,Gran Canaria,75,74,21,19,14,21,,14,28,13,19,
g_3_rmOOmuxU,22.04. 20:45,Breogan,Lleida Basquet,84,71,22,19,22,21,,18,15,25,13,
g_3_0OYJlLMN,22.04. 20:00,Barcelona,Valencia,98,82,29,21,19,29,,17,23,14,28,
g_3_E7zCjshB,21.04. 21:00AOT,Alicante,Real Madrid,92,88,20,17,23,21,11,23,21,20,17,7
g_3_MXZFk17H,21.04. 21:00,Murcia,Baskonia,89,98,25,19,22,23,,19,23,29,27,
g_3_zHy8iNx5,21.04. 20:30,Estudiantes,Real Betis,80,67,20,24,15,21,,21,18,18,10,
g_3_hhn3h3Nb,21.04. 20:30,Fuenlabrada,Unicaja,91,83,25,21,13,32,,18,21,19,25,
g_3_pSrefPhn,21.04. 20:30,Gran Canaria,Girona,80,71,14,17,19,30,,20,24,18,9,
g_3_vkragq8h,21.04. 20:30,Manresa,Joventut Badalona,89,86,28,15,13,33,,15,23,24,24,
g_3_6ypie5wt,20.04. 20:00,Tenerife CB,Baloncesto Valladolid,74,81,14,18,22,20,,19,24,18,20,
g_3_61DpzM7U,18.04. 19:00,Joventut Badalona,Murcia,79,75,18,18,20,23,,17,21,16,21,
g_3_SAEty2hO,18.04. 18:30,Baloncesto Valladolid,Breogan,94,99,20,23,15,36,,17,23,25,34,
g_3_YmFxxrwI,18.04. 18:00,Valencia,Baskonia,90,97,27,26,19,18,,25,30,17,25,
g_3_Em8Qvpga,18.04. 12:30,Alicante,Fuenlabrada,85,80,26,21,19,19,,36,12,17,15,
g_3_hv7Uw485,18.04. 12:30,Girona,Barcelona,89,83,18,21,21,29,,17,24,19,23,
g_3_z3dZxONB,18.04. 12:30,Real Madrid,Manresa,78,73,23,22,13,20,,14,23,17,19,
g_3_pE3MuQwg,17.04. 20:45,Lleida Basquet,Estudiantes,92,86,18,22,23,29,,13,20,28,25,
g_3_6N4It6On,17.04. 19:00,Real Betis,Gran Canaria,88,81,17,17,25,29,,19,24,18,20,
g_3_ObFDsn9t,17.04. 19:00,Unicaja,Tenerife CB,96,89,24,21,31,20,,27,21,14,27,
g_3_nwOonS0P,11.04. 19:00,Estudiantes,Baloncesto Valladolid,77,78,21,16,16,24,,23,19,22,14,
g_3_YZZ3NrOO,11.04. 19:00,Manresa,Alicante,67,76,21,13,15,18,,24,24,17,11,
g_3_EXJ2P4gC,11.04. 18:00,Baskonia,Lleida Basquet,109,90,25,27,26,31,,17,31,26,16,
g_3_fqy0OO8I,11.04. 18:00,Murcia,Valencia,78,84,27,17,20,14,,28,21,21,14,
g_3_zsLbQpv6,11.04. 12:30,Breogan,Unicaja,78,85,24,23,16,15,,20,21,18,26,
g_3_SGHjS69g,11.04. 12:30,Fuenlabrada,Girona,76,94,,,,,,,,,,
g_3_tKLfRQOa,11.04. 12:30,Gran Canaria,Joventut Badalona,97,67,23,24,24,26,,21,7,24,15,
g_3_phSoTnfm,10.04. 20:00,Tenerife CB,Real Betis,93,87,25,19,24,25,,33,18,13,23,
g_3_61TsUSvs,10.04. 19:00,Barcelona,Real Madrid,81,78,21,24,16,20,,18,17,24,19,
g_3_021Anye8,04.04. 19:00,Girona,Breogan,112,81,25,34,33,20,,18,17,25,21,
g_3_vg0EoeAE,04.04. 19:00,Joventut Badalona,Tenerife CB,75,77,32,22,13,8,,15,30,23,9,
g_3_bcNRNiI7,04.04. 18:00,Real Madrid,Valencia,92,83,22,26,29,15,,20,19,21,23,
g_3_h0KJPDme,04.04. 12:30,Alicante,Estudiantes,74,73,18,21,19,16,,19,18,23,13,
g_3_nNJNOX21,04.04. 12:30,Unicaja,Manresa,80,70,21,30,13,16,,19,14,20,17,
g_3_E9LFQgYl,03.04. 19:00,Baloncesto Valladolid,Gran Canaria,90,85,19,31,18,22,,28,21,16,20,
