matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_QmuZcybB,05.01. 12:30AOT,Barcelona,Joventut Badalona,90,91,11,25,12,28,14,21,19,13,23,15
g_3_QHbDiKIl,05.01. 12:30,Granada,Gran Canaria,82,97,16,22,23,21,,24,21,25,27,
g_3_d28scteR,05.01. 12:30,Leyma Coruna,Valencia,91,99,30,18,22,21,,28,23,21,27,
g_3_0zFYb2QE,04.01. 21:30,Tenerife,Bilbao,86,75,19,21,27,19,,24,18,15,18,
g_3_pvXQacTb,04.01. 20:45,MoraBanc Andorra,Breogan,93,101,23,20,16,34,,26,29,26,20,
g_3_8tSnyaY7,04.01. 20:45,Unicaja,Basket Zaragoza,85,71,19,20,22,24,,15,18,20,18,
g_3_CEYwwL3e,04.01. 18:00,Forca Lleida,Basquet Girona,85,90,16,19,16,34,,19,24,22,25,
g_3_QczWvsZr,04.01. 18:00,Manresa,Murcia,80,74,19,23,20,18,,29,13,17,15,
g_3_tQbap3BL,02.01. 21:30,Tenerife,Basket Zaragoza,106,97,25,19,27,35,,27,19,29,22,
g_3_YaeinPt9,02.01. 20:30,Murcia,Unicaja,77,89,11,23,21,22,,27,20,22,20,
g_3_IiD4OLl2,02.01. 19:00,Breogan,Manresa,79,88,17,19,16,27,,23,19,22,24,
g_3_xETI1Jbn,02.01. 18:00,Bilbao,MoraBanc Andorra,82,74,19,21,22,20,,17,14,21,22,
g_3_pvFdQsKk,30.12. 20:45,Joventut Badalona,Gran Canaria,89,78,15,23,29,22,,20,25,13,20,
g_3_6erPrjzH,30.12. 18:00,Valencia,Forca Lleida,107,92,26,23,30,28,,26,17,22,27,
g_3_Ya38sGDU,29.12. 20:30,Real Madrid,Barcelona,73,71,21,15,21,16,,15,16,20,20,
g_3_QZa0qxqI,29.12. 17:00,Manresa,Baskonia,80,82,24,19,18,19,,11,20,24,27,
g_3_bVvHpC54,29.12. 12:30,Basket Zaragoza,Basquet Girona,96,68,23,29,23,21,,22,19,9,18,
g_3_6XqaobE5,28.12. 20:45,MoraBanc Andorra,Tenerife,83,92,18,26,22,17,,25,25,22,20,
g_3_xGj8nYzh,28.12. 20:45,Murcia,Granada,84,81,15,30,18,21,,19,17,15,30,
g_3_SlecUjLN,28.12. 18:00,Leyma Coruna,Bilbao,79,100,16,17,24,22,,15,23,24,38,
g_3_A9bMOUro,28.12. 18:00,Unicaja,Breogan,86,77,22,21,28,15,,19,21,19,18,
g_3_fyckWCjB,27.12. 21:30,Gran Canaria,Valencia,97,94,17,19,35,26,,24,14,28,28,
g_3_b93tYYLb,27.12. 19:00,Joventut Badalona,Forca Lleida,92,72,22,28,12,30,,16,22,22,12,
g_3_nVZNFi6U,22.12. 18:30,Valencia,Real Madrid,85,84,17,23,16,29,,9,21,29,25,
g_3_YJoimKqg,22.12. 17:00,Barcelona,MoraBanc Andorra,105,79,17,30,28,30,,23,18,21,17,
g_3_tYWFHDyI,22.12. 17:00,Bilbao,Manresa,88,73,27,17,29,15,,15,21,17,20,
g_3_p6w7JZ65,22.12. 13:00,Gran Canaria,Basket Zaragoza,96,94,22,22,24,28,,27,14,22,31,
g_3_jq0YZfin,22.12. 12:30,Baskonia,Unicaja,88,90,23,17,16,32,,20,22,27,21,
g_3_ChuaLexg,22.12. 12:30,Leyma Coruna,Joventut Badalona,85,94,17,13,29,26,,21,25,23,25,
g_3_00ds3EMO,21.12. 20:45,Forca Lleida,Granada,87,74,14,32,14,27,,23,12,23,16,
g_3_GQojNH7t,21.12. 20:45,Tenerife,Murcia,82,74,19,13,25,25,,14,19,15,26,
g_3_vo8Y4zhC,21.12. 18:00,Breogan,Basquet Girona,77,74,16,26,17,18,,24,8,27,15,
g_3_xhhrktFt,15.12. 18:30,Basket Zaragoza,Barcelona,108,95,16,25,33,34,,18,29,17,31,
g_3_IHvihc86,15.12. 17:00,Joventut Badalona,Tenerife,93,86,26,19,29,19,,22,23,16,25,
g_3_W089EmP8,15.12. 17:00,Murcia,Valencia,88,96,25,23,20,20,,31,24,19,22,
g_3_zgBH8Ihm,15.12. 12:30,Forca Lleida,Bilbao,84,66,18,17,23,26,,20,13,12,21,
g_3_vNPoEvVP,15.12. 12:30,Granada,Baskonia,73,75,20,16,14,23,,18,16,26,15,
g_3_QsrajywJ,15.12. 12:30,Real Madrid,Breogan,106,69,19,24,27,36,,8,21,19,21,
g_3_lxmzdu9s,14.12. 20:45,Basquet Girona,Leyma Coruna,81,98,16,9,23,33,,23,34,15,26,
g_3_d2jrfJwf,14.12. 20:45,Unicaja,Gran Canaria,88,94,17,23,24,24,,17,20,26,31,
g_3_nTCYUxUO,14.12. 18:00,Manresa,MoraBanc Andorra,107,111,26,23,26,32,,26,33,28,24,
g_3_bkDtXwJE,13.12. 20:00,Valencia,Tenerife,96,81,17,25,30,24,,25,13,24,19,
g_3_v7LNjpX1,08.12. 18:30,Real Madrid,Unicaja,90,77,18,21,21,30,,13,21,18,25,
g_3_ruSEh62k,08.12. 17:00,Barcelona,Murcia,86,79,23,22,20,21,,20,20,18,21,
g_3_jsmz0lAF,08.12. 13:00,Gran Canaria,Breogan,73,82,19,22,19,13,,21,18,20,23,
g_3_bZUS1Au3,08.12. 12:30,Bilbao,Baskonia,67,69,14,18,16,19,,20,20,17,12,
g_3_CdyqbSvS,08.12. 12:30,Granada,Joventut Badalona,87,77,26,19,15,27,,20,19,16,22,
g_3_4C9gmBQ9,07.12. 21:00,Leyma Coruna,Manresa,74,89,17,18,18,21,,23,25,18,23,
g_3_jT71okeM,07.12. 20:45,Tenerife,Forca Lleida,91,88,27,23,21,20,,25,21,18,24,
g_3_rRntv7md,07.12. 20:45,Valencia,Basquet Girona,98,78,21,23,26,28,,22,23,15,18,
g_3_QDOPWbaC,07.12. 18:00,MoraBanc Andorra,Basket Zaragoza,79,86,17,20,26,16,,17,25,18,26,
g_3_KGLHYKUa,01.12. 18:30,Joventut Badalona,Real Madrid,80,76,21,19,19,21,,23,22,12,19,
g_3_OlS8zs0m,01.12. 17:00,Baskonia,Valencia,91,116,25,15,23,28,,25,26,36,29,
g_3_rcLpkXec,01.12. 17:00AOT,Forca Lleida,Leyma Coruna,101,106,16,22,29,21,13,15,27,25,21,18
g_3_h25ygkGE,01.12. 12:30,Manresa,Barcelona,85,72,22,29,19,15,,22,16,15,19,
g_3_GjTbRT3j,01.12. 12:30,Murcia,Gran Canaria,63,83,13,22,12,16,,20,21,29,13,
g_3_d6nSWktT,30.11. 20:45,Basket Zaragoza,Bilbao,82,71,26,13,17,26,,15,12,27,17,
g_3_xfNlVoO7,30.11. 20:45,Basquet Girona,MoraBanc Andorra,85,98,12,24,27,22,,31,13,28,26,
g_3_OhlKYBBG,30.11. 18:00,Breogan,Granada,74,92,16,24,22,12,,23,25,21,23,
g_3_UgeBzYt4,30.11. 18:00,Unicaja,Tenerife,84,81,17,19,16,32,,24,10,25,22,
g_3_4S9sX7ge,17.11. 18:30,Barcelona,Valencia,102,99,29,21,21,31,,19,19,29,32,
g_3_296nxQ0B,17.11. 17:00,Basket Zaragoza,Baskonia,86,85,16,22,17,31,,26,17,23,19,
g_3_MTi3xfCi,17.11. 17:00,Bilbao,Joventut Badalona,79,95,19,19,19,22,,22,23,25,25,
g_3_rDLYYTOr,17.11. 17:00,MoraBanc Andorra,Unicaja,89,106,19,17,28,25,,17,31,30,28,
g_3_v5SIUsgo,17.11. 13:00,Gran Canaria,Basquet Girona,89,84,22,20,25,22,,15,22,25,22,
g_3_8Mymz4VN,17.11. 12:30,Real Madrid,Forca Lleida,85,78,28,23,15,19,,13,12,34,19,
g_3_Ue8vvnWb,16.11. 20:45,Tenerife,Manresa,94,86,27,21,27,19,,24,12,23,27,
g_3_YTEVu81n,16.11. 18:00,Granada,Leyma Coruna,80,77,21,20,15,24,,19,24,17,17,
g_3_8lbKYjfJ,16.11. 18:00,Murcia,Breogan,79,63,15,23,22,19,,17,9,17,20,
g_3_YVqxMDAD,15.11. 20:45,Valencia,Basket Zaragoza,111,82,27,27,26,31,,14,14,24,30,
g_3_CUU2vj1L,10.11. 18:30,Breogan,Barcelona,77,70,27,11,18,21,,17,19,20,14,
g_3_G2yftCW8,10.11. 17:00,Baskonia,Forca Lleida,100,99,19,28,35,18,,21,27,22,29,
g_3_nZ9BzDP6,10.11. 17:00,Leyma Coruna,Tenerife,62,87,15,20,8,19,,14,18,21,34,
g_3_pADfveQs,10.11. 12:30AOT,Basquet Girona,Bilbao,100,94,17,19,22,30,12,23,16,22,27,6
