Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Hezonja M.,REA,20,8,1,32:25,-,-,6,12,2,7,2,2,7,2,6,1,1,2,-,-,-
Carter T.,UNI,17,1,1,18:40,-,-,7,11,1,7,-,-,-13,-,1,2,-,1,-,-,-
Tavares E.,REA,16,12,-,24:12,-,-,6,8,-,-,4,5,9,4,8,5,-,1,2,1,-
Musa D.,REA,14,1,-,26:10,-,-,2,3,1,4,7,7,7,-,1,-,1,-,-,-,-
Perry K.,UNI,14,4,1,23:00,-,-,4,10,2,4,-,-,-4,2,2,4,-,2,-,2,-
Llull S.,REA,13,-,1,18:49,-,-,2,4,3,6,-,-,18,-,-,-,-,-,-,-,-
Campazzo F.,REA,12,2,6,32:38,-,-,2,2,1,3,5,5,13,-,2,2,2,3,-,-,-
Osetkowski D.,UNI,12,5,-,21:48,-,-,-,1,4,6,-,-,-4,1,4,5,-,1,-,-,-
Ejim M.,UNI,11,3,-,14:50,-,-,2,2,1,1,4,4,-2,1,2,2,-,-,-,-,-
Balcerowski A.,UNI,8,2,-,17:52,-,-,3,3,-,-,2,5,10,1,1,5,-,-,1,-,-
Diaz A.,UNI,6,3,4,17:43,-,-,-,1,2,4,-,-,-4,1,2,1,-,-,-,-,-
Sima Y.,UNI,6,3,2,18:44,-,-,2,5,-,-,2,2,-11,1,2,1,1,-,1,1,-
Fernando B.,REA,4,4,1,13:23,-,-,2,4,-,-,-,1,-2,1,3,2,-,2,1,-,-
Abalde A.,REA,3,2,-,10:04,-,-,-,-,1,3,-,-,-9,1,1,1,-,1,-,-,-
Kalinoski T.,UNI,3,3,3,14:26,-,-,-,1,1,3,-,-,7,1,2,-,-,-,-,-,-
Feliz A.,REA,2,5,1,15:43,-,-,-,1,-,3,2,2,-1,2,3,2,1,1,-,-,-
Garuba U.,REA,2,9,-,19:05,-,-,1,5,-,1,-,-,-,2,7,3,-,1,-,1,-
Taylor K.,UNI,2,5,-,14:18,-,-,1,3,-,2,-,-,-8,1,4,1,1,-,-,-,-
Barreiro J.,UNI,-,-,1,13:00,-,-,-,-,-,2,-,-,4,-,-,1,1,1,-,-,-
Djedovic N.,UNI,-,1,1,18:53,-,-,-,1,-,1,-,-,-3,-,1,1,1,1,-,-,-
Gonzalez H.,REA,-,-,-,00:02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ndiaye E. J.,REA,-,1,-,06:48,-,-,-,-,-,2,-,-,-5,-,1,-,-,-,-,-,-
Rathan-Mayes X.,REA,-,-,-,00:41,-,-,-,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Tillie K.,UNI,-,-,1,06:46,-,-,-,2,-,2,-,-,-7,-,-,1,-,-,-,-,-
