matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_MkDDfTBc,28.12. 16:00,Darussafaka,Buyukcekmece,82,85,18,20,20,24,,26,18,12,29,
g_3_zavexndT,28.12. 13:30,Mersin SK,Tofas,79,58,19,24,16,20,,14,17,12,15,
g_3_2otmv8RG,27.12. 17:00,Turk Telekom,Bahcesehir Kol.,59,79,9,17,23,10,,27,19,14,19,
g_3_8zBUhyUH,23.12. 17:00,Merkezefendi,Anadolu Efes,63,96,17,17,22,7,,25,28,22,21,
g_3_G0ExiFbU,22.12. 18:30,Bahcesehir Kol.,Fenerbahce,70,82,16,18,15,21,,23,21,19,19,
g_3_AHn5TjDb,22.12. 16:00,Tofas,Turk Telekom,93,82,25,21,20,27,,21,19,17,25,
g_3_0MqWsjSi,22.12. 13:30,Buyukcekmece,Bursaspor,84,87,22,23,26,13,,16,21,27,23,
g_3_rVpDRUsB,22.12. 11:00,Karsiyaka,Manisa,103,91,32,25,21,25,,20,27,19,25,
g_3_KQ6qKnzo,21.12. 18:30,Galatasaray,Darussafaka,100,82,29,26,20,25,,21,34,16,11,
g_3_lrGDP8CN,21.12. 16:00,Besiktas,Petkim Spor,88,80,24,21,20,23,,23,23,16,18,
g_3_8nmvtUd4,21.12. 13:30,Yalovaspor,Mersin SK,93,60,21,14,26,32,,12,12,15,21,
g_3_EkgdVCrn,16.12. 17:00,Yalovaspor,Buyukcekmece,65,85,17,19,17,12,,27,16,21,21,
g_3_veJDdJUh,15.12. 18:30,Anadolu Efes,Bahcesehir Kol.,93,80,24,26,24,19,,19,18,15,28,
g_3_Ua6kZLqK,15.12. 16:00,Manisa,Merkezefendi,80,75,12,27,14,27,,23,14,14,24,
g_3_SflxQH66,15.12. 13:30,Darussafaka,Besiktas,76,91,16,23,18,19,,29,24,22,16,
g_3_C8HLfca5,14.12. 18:30,Fenerbahce,Tofas,90,88,24,26,24,16,,21,19,26,22,
g_3_McoURwxf,14.12. 16:00,Petkim Spor,Karsiyaka,83,82,22,16,26,19,,15,25,24,18,
g_3_QViLTa7s,14.12. 13:30,Mersin SK,Turk Telekom,95,73,22,17,28,28,,19,22,23,9,
g_3_lAxoOeyJ,13.12. 18:30,Bursaspor,Galatasaray,82,105,24,17,21,20,,23,26,21,35,
g_3_SzQfDvN0,09.12. 17:00,Galatasaray,Yalovaspor,79,69,23,17,26,13,,13,18,26,12,
g_3_Y5ffiOhD,08.12. 18:30,Tofas,Anadolu Efes,77,70,18,21,20,18,,17,23,14,16,
g_3_boB5bu0t,08.12. 16:00,Turk Telekom,Fenerbahce,73,85,20,10,23,20,,19,24,24,18,
g_3_6LynF0hl,08.12. 13:30,Besiktas,Bursaspor,86,95,24,26,20,16,,30,26,26,13,
g_3_vBi7Mr0E,07.12. 18:30,Bahcesehir Kol.,Manisa,86,71,19,26,22,19,,22,22,13,14,
g_3_EiO2BIiD,07.12. 16:00,Buyukcekmece,Mersin SK,96,97,23,21,27,25,,18,25,26,28,
g_3_nH4Lbu87,07.12. 13:30,Merkezefendi,Petkim Spor,95,85,20,23,26,26,,16,24,21,24,
g_3_zwoGKMUQ,06.12. 17:00,Karsiyaka,Darussafaka,101,86,20,27,26,28,,18,22,25,21,
g_3_6qEQ95G8,02.12. 17:00,Darussafaka,Merkezefendi,88,68,20,21,21,26,,20,15,22,11,
g_3_M5aE0SVQ,01.12. 18:30,Anadolu Efes,Turk Telekom,86,81,12,29,19,26,,18,23,18,22,
g_3_4Q2we6gl,01.12. 16:00,Mersin SK,Fenerbahce,69,98,16,19,16,18,,27,25,20,26,
g_3_Cj6ogpO0,01.12. 13:30,Yalovaspor,Besiktas,71,91,18,18,17,18,,23,23,19,26,
g_3_bsg52N8r,30.11. 18:30,Bursaspor,Karsiyaka,70,76,24,15,11,20,,17,21,15,23,
g_3_lh162l1E,30.11. 16:00,Petkim Spor,Bahcesehir Kol.,88,92,22,22,19,25,,22,20,26,24,
g_3_67dD01we,30.11. 13:30,Buyukcekmece,Galatasaray,65,76,27,10,11,17,,22,19,20,15,
g_3_E9HY7qoL,29.11. 17:00AOT,Manisa,Tofas,106,109,23,21,24,21,17,25,17,17,30,20
g_3_YqJJvo97,17.11. 18:30,Fenerbahce,Anadolu Efes,86,72,21,28,18,19,,21,14,15,22,
g_3_rk5cixqp,17.11. 16:00,Merkezefendi,Bursaspor,74,88,13,23,17,21,,18,18,28,24,
g_3_4fjhDJ53,17.11. 13:30,Tofas,Petkim Spor,107,99,28,21,26,32,,22,22,24,31,
g_3_vHb6kGDd,17.11. 11:00,Bahcesehir Kol.,Darussafaka,84,73,16,22,24,22,,19,12,18,24,
g_3_Q9v1BczG,16.11. 18:30,Turk Telekom,Manisa,80,85,18,22,18,22,,20,11,17,37,
g_3_hKOu4FSk,16.11. 16:00,Besiktas,Buyukcekmece,95,84,24,27,23,21,,25,23,19,17,
g_3_YZs99y5S,16.11. 13:30,Karsiyaka,Yalovaspor,104,81,34,30,28,12,,25,15,21,20,
g_3_QXMm2gc2,16.11. 11:00,Galatasaray,Mersin SK,101,82,26,27,23,25,,22,15,22,23,
g_3_z3Erc7F5,11.11. 17:00,Yalovaspor,Merkezefendi,90,76,22,18,29,21,,24,19,19,14,
g_3_44R2rT9r,10.11. 16:00,Manisa,Fenerbahce,82,90,21,20,21,20,,24,24,26,16,
g_3_QJFBt7ve,10.11. 13:30,Mersin SK,Anadolu Efes,76,94,20,13,22,21,,24,27,20,23,
g_3_WU7ieopI,10.11. 11:00,Bursaspor,Bahcesehir Kol.,92,80,21,18,26,27,,21,22,23,14,
g_3_C2rQ9paB,09.11. 18:30,Galatasaray,Besiktas,91,88,25,21,18,27,,27,19,25,17,
g_3_r9yADSan,09.11. 16:00,Petkim Spor,Turk Telekom,68,75,19,14,14,21,,20,27,14,14,
g_3_veBagPEU,09.11. 13:30,Darussafaka,Tofas,78,87,15,21,22,20,,21,25,20,21,
g_3_GzkHB6Ub,09.11. 11:00,Buyukcekmece,Karsiyaka,75,82,15,14,25,21,,22,8,24,28,
g_3_Uqz0nj1m,03.11. 18:30,Merkezefendi,Buyukcekmece,80,75,17,27,18,18,,16,15,23,21,
g_3_vNsOkBH8,03.11. 16:00,Fenerbahce,Petkim Spor,66,75,9,24,18,15,,22,15,20,18,
g_3_dCg9r80C,03.11. 13:30,Tofas,Bursaspor,94,71,18,26,23,27,,22,17,13,19,
g_3_zkyXmknL,03.11. 11:00,Anadolu Efes,Manisa,85,73,19,13,36,17,,25,16,21,11,
g_3_8jNR0kGt,02.11. 16:00,Karsiyaka,Galatasaray,94,81,23,23,22,26,,14,23,22,22,
g_3_2kGzaTpg,02.11. 13:30,Besiktas,Mersin SK,72,66,17,14,16,25,,19,8,20,19,
g_3_IRsItnVO,02.11. 11:00,Turk Telekom,Darussafaka,105,68,26,22,24,33,,22,17,11,18,
g_3_lnj1pUVa,01.11. 17:00,Bahcesehir Kol.,Yalovaspor,83,82,18,23,22,20,,24,23,13,22,
g_3_xYFnuZgK,27.10. 18:30,Galatasaray,Merkezefendi,84,78,19,16,20,29,,18,20,25,15,
g_3_I56sU8oJ,27.10. 16:00,Mersin SK,Manisa,97,88,29,24,20,24,,28,17,27,16,
