matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_hUHaBmkK,16.07. 04:00,Los Angeles Sparks W,Washington Mystics W,99,80,26,33,20,20,,22,12,23,23,
g_3_xMZCmpcD,16.07. 02:00,Connecticut Sun W,Indiana Fever W,77,85,28,14,18,17,,29,15,18,23,
g_3_UeW4k6S0,15.07. 04:00,Golden State Valkyries W,Phoenix Mercury W,77,78,20,12,26,19,,16,20,23,19,
g_3_8trdiScl,15.07. 02:00,Chicago Sky W,Minnesota Lynx W,78,91,24,22,17,15,,28,16,24,23,
g_3_rabHbA5E,14.07. 00:00,Los Angeles Sparks W,Connecticut Sun W,92,88,27,20,22,23,,30,19,18,21,
g_3_vRiQdlzR,14.07. 00:00,Seattle Storm W,Washington Mystics W,69,74,10,18,27,14,,16,15,16,27,
g_3_j5BVz7D7,13.07. 21:00,New York Liberty W,Atlanta Dream W,79,72,13,18,24,24,,26,16,11,19,
g_3_fwIMxTre,13.07. 19:00,Indiana Fever W,Dallas Wings W,102,83,28,36,20,18,,27,15,21,20,
g_3_8MJEvkEr,12.07. 22:00,Las Vegas Aces W,Golden State Valkyries W,104,102,23,22,31,28,,21,25,26,30,
g_3_OlrrpBjL,12.07. 19:00,Chicago Sky W,Minnesota Lynx W,87,81,29,28,16,14,,23,21,23,14,
g_3_GOvznXL8,12.07. 04:00,Seattle Storm W,Connecticut Sun W,79,65,10,21,24,24,,16,17,19,13,
g_3_0GdmOTT1,12.07. 01:30,Indiana Fever W,Atlanta Dream W,99,82,21,19,29,30,,23,22,20,17,
g_3_S2buQkak,11.07. 01:30,Washington Mystics W,Las Vegas Aces W,70,68,15,12,23,20,,15,25,15,13,
g_3_lKR7rbFG,10.07. 21:00,Los Angeles Sparks W,Minnesota Lynx W,82,91,26,14,19,23,,22,28,30,11,
g_3_tfOapKp4,10.07. 02:00,Chicago Sky W,Dallas Wings W,87,76,19,26,26,16,,18,19,25,14,
g_3_KvzintGi,09.07. 21:30,Phoenix Mercury W,Minnesota Lynx W,79,71,15,25,12,27,,19,18,20,14,
g_3_hYs5OxOp,09.07. 18:00,Indiana Fever W,Golden State Valkyries W,61,80,23,9,19,10,,21,20,23,16,
