Home Score,Category,Away Score
64,Field Goals Attempted,58
29,Field Goals Made,28
45.3%,Field Goals %,48.3%
26,2-Point Field G. Attempted,38
17,2-Point Field Goals Made,22
65.4%,2-Point Field Goals %,57.9%
38,3-Point Field G. Attempted,20
12,3-Point Field Goals Made,6
31.6%,3-Point Field Goals %,30%
15,Free Throws Attempted,20
12,Free Throws Made,15
80%,Free Throws %,75%
9,Offensive Rebounds,9
22,Defensive Rebounds,29
31,Total Rebounds,38
18,Assists,15
4,Blocks,0
11,Turnovers,17
9,Steals,6
21,Personal Fouls,21
