Home Score,Category,Away Score
69,Field Goals Attempted,65
34,Field Goals Made,31
49.3%,Field Goals %,47.7%
39,2-Point Field G. Attempted,26
26,2-Point Field Goals Made,14
66.7%,2-Point Field Goals %,53.8%
30,3-Point Field G. Attempted,39
8,3-Point Field Goals Made,17
26.7%,3-Point Field Goals %,43.6%
23,Free Throws Attempted,26
18,Free Throws Made,22
78.3%,Free Throws %,84.6%
11,Offensive Rebounds,9
27,Defensive Rebounds,26
38,Total Rebounds,35
26,Assists,21
2,Blocks,2
12,Turnovers,11
6,Steals,5
23,Personal Fouls,22
