Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Howard M.,BAS,36,2,2,36:42,9,19,1,4,8,15,10,10,14,2,-,3,-,2,-,1,-
Sedekerskis T.,BAS,23,12,1,37:47,8,11,4,5,4,6,3,4,7,3,9,1,2,2,-,-,-
Pasecniks A.,PAL,20,6,-,25:21,7,9,7,9,-,-,6,9,-4,2,4,4,-,2,1,-,-
Benite V.,PAL,19,2,2,27:00,7,12,3,4,4,8,1,1,-,1,1,2,1,1,-,-,-
Costello M.,BAS,16,7,3,22:57,6,8,3,4,3,4,1,2,11,1,6,4,1,2,2,-,-
Marinkovic V.,BAS,14,4,2,30:33,6,11,4,6,2,5,-,-,11,1,3,3,-,-,-,-,-
Pineiro I.,PAL,14,10,1,21:45,6,14,5,10,1,4,1,2,-6,2,8,3,1,1,1,1,-
Kamba M.,PAL,13,7,5,30:51,5,10,4,5,1,5,2,3,3,2,5,2,1,1,-,1,-
Van Der Vuurst K.,PAL,12,2,5,24:52,3,8,1,2,2,6,4,4,-6,-,2,3,-,1,-,-,-
Frankamp C.,PAL,8,1,5,20:40,3,8,3,5,-,3,2,2,-2,-,1,2,1,1,-,-,-
Miller-McIntyre C.,BAS,7,5,12,31:28,-,5,-,2,-,3,7,8,17,-,5,5,1,5,-,-,-
Haarms M.,PAL,4,2,3,14:39,2,2,2,2,-,-,-,-,-3,-,2,1,-,-,-,-,-
Hands J.,PAL,2,2,2,11:37,1,5,1,2,-,3,-,-,-1,-,2,-,1,-,-,-,-
Ortega C.,PAL,2,3,1,15:58,-,1,-,-,-,1,2,2,-9,2,1,3,1,2,-,-,-
Raieste S.,BAS,2,-,-,06:57,1,3,1,2,-,1,-,-,2,-,-,1,-,-,-,-,-
Rogkavopoulos N.,BAS,2,-,-,09:08,1,4,1,2,-,2,-,-,-11,-,-,2,-,-,-,-,-
Kotsar M.,BAS,1,1,-,17:03,-,2,-,1,-,1,1,2,-4,-,1,3,-,-,-,1,-
Chiozza C.,BAS,-,-,1,05:48,-,1,-,-,-,1,-,-,-11,-,-,-,-,-,-,-,-
Diez D.,BAS,-,1,-,01:37,-,1,-,-,-,1,-,-,-1,-,1,-,-,-,-,-,-
Ubal A.,PAL,-,1,2,07:17,-,-,-,-,-,-,-,-,-7,1,-,1,-,-,-,-,-
