Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Kravic D.,ZAR,17,6,-,20:55,7,9,7,9,-,-,3,4,-1,2,4,-,1,1,-,1,-
Deck G.,REA,15,2,-,11:12,5,5,2,2,3,3,2,2,8,-,2,2,-,3,-,-,-
Musa D.,REA,13,-,2,20:31,4,7,2,3,2,4,3,4,1,-,-,3,-,1,1,-,-
Watt M.,ZAR,11,4,-,19:05,4,9,4,8,-,1,3,3,-8,1,3,2,1,3,-,-,-
Yusta S.,ZAR,11,5,2,25:38,4,13,2,7,2,6,1,2,-14,3,2,1,2,2,-,2,-
Sulejmanovic E.,ZAR,10,4,-,19:33,5,8,5,7,-,1,-,-,-4,2,2,2,1,-,1,-,-
Delany F.,ZAR,8,4,-,17:50,3,6,1,3,2,3,-,-,-,2,2,1,-,1,-,-,-
Hezonja M.,REA,8,3,2,20:23,2,8,1,3,1,5,3,3,1,1,2,1,2,1,-,1,-
Yabusele G.,REA,8,4,1,19:37,2,9,1,4,1,5,3,3,8,2,2,-,-,2,-,1,-
Campazzo F.,REA,7,4,4,15:03,-,1,-,1,-,-,7,7,9,-,4,2,1,1,-,-,-
Fernandez R.,REA,6,1,1,16:41,2,6,-,-,2,6,-,-,8,-,1,-,2,-,1,-,-
Llull S.,REA,6,1,1,11:38,2,7,-,-,2,7,-,-,3,-,1,2,-,-,-,-,-
Abalde A.,REA,5,2,-,16:28,2,4,1,1,1,3,-,-,2,1,1,-,1,1,-,-,-
Bell-Haynes T.,ZAR,4,3,2,26:43,2,8,2,6,-,2,-,-,-4,1,2,4,1,3,-,2,-
McFadden T.,ZAR,4,1,2,15:16,1,7,1,4,-,3,2,2,-5,-,1,1,-,-,-,2,-
Poirier V.,REA,4,6,1,17:05,2,3,2,2,-,1,-,-,3,-,6,3,-,1,1,-,-
Tavares E.,REA,4,9,1,22:55,2,4,2,4,-,-,-,-,6,7,2,2,2,2,3,-,-
Causeur F.,REA,2,2,-,12:28,1,4,1,3,-,1,-,-,4,-,2,-,1,1,2,-,-
Cuevas D.,ZAR,2,1,3,16:04,1,4,1,2,-,2,-,-,-9,-,1,3,-,-,-,-,-
Mensia J.,ZAR,2,2,-,09:55,1,2,1,2,-,-,-,-,-8,-,2,3,-,3,-,-,-
Adronikashvili R.,ZAR,1,1,-,06:02,-,1,-,1,-,-,1,2,9,-,1,1,-,-,-,-,-
Alocen C.,REA,1,1,3,15:59,-,4,-,2,-,2,1,2,-8,-,1,2,3,1,-,-,-
Gonzalez M.,ZAR,-,2,1,14:22,-,1,-,1,-,-,-,-,5,-,2,2,-,2,1,-,-
Langarita L.,ZAR,-,-,2,08:37,-,1,-,1,-,-,-,-,-6,-,-,-,1,-,-,1,-
