Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Harding J.,MOR,24,1,2,32:46,-,-,10,13,1,3,1,3,-4,-,1,-,-,-,-,-,-
Montero J.,MOR,24,4,6,30:34,-,-,4,6,4,7,4,4,-,1,3,2,1,1,-,-,-
Perez T.,MOR,23,9,1,29:17,-,-,11,14,-,2,1,4,-,4,5,2,-,1,-,-,-
Happ E.,GRC,16,5,1,18:22,-,-,7,9,-,-,2,2,-1,1,4,3,-,-,1,-,-
Salvo M.,GRC,16,1,1,14:28,-,-,2,2,2,3,6,8,13,-,1,3,-,-,-,-,-
Shurna J.,GRC,16,5,1,25:52,-,-,2,3,4,5,-,-,2,2,3,1,-,-,-,-,-
Albicy A.,GRC,15,2,5,35:10,-,-,3,5,2,6,3,6,3,1,1,2,-,2,-,-,-
Slaughter A. J.,GRC,12,-,2,23:03,-,-,3,6,2,6,-,-,-1,-,-,2,-,3,-,-,-
Brussino N.,GRC,10,5,5,27:52,-,-,-,2,2,6,4,6,-5,-,5,4,1,1,-,-,-
Maric M.,MOR,10,8,4,25:03,-,-,5,9,-,-,-,-,-,4,4,3,1,2,1,-,-
Lammers B.,GRC,6,7,1,19:56,-,-,2,5,-,-,2,3,10,5,2,2,2,-,-,-,-
Okoye S.,MOR,5,-,-,25:00,-,-,-,1,1,2,2,2,3,-,-,4,-,2,-,-,-
Pelos P.,GRC,4,4,1,15:48,-,-,2,2,-,3,-,-,-1,2,2,1,-,-,-,-,-
Luz R.,MOR,3,2,2,11:33,-,-,1,1,-,-,1,2,-4,-,2,1,-,1,-,-,-
Landesberg S.,GRC,2,1,1,7:27,-,-,-,1,-,-,2,2,3,1,-,2,2,-,-,-,-
Llovet N.,MOR,2,1,-,8:16,-,-,1,1,-,-,-,-,-3,-,1,3,-,-,-,-,-
Madsen A.,MOR,1,2,1,6:39,-,-,-,1,-,-,1,2,-2,-,2,1,-,-,-,-,-
Andric M.,MOR,-,-,-,10:43,-,-,-,-,-,2,-,-,-5,-,-,2,-,2,-,-,-
Borg T.,MOR,-,-,-,13:13,-,-,-,-,-,1,-,-,-3,-,-,2,1,1,-,-,-
Kljajic J.,GRC,-,1,2,11:56,-,-,-,-,-,1,-,-,2,-,1,2,-,-,-,-,-
Rubio Ninirola J.,MOR,-,1,-,6:49,-,-,-,1,-,-,-,-,-7,-,1,1,-,-,-,-,-
